文件名,编,分编,章,节,内容
烟台市客运出租汽车管理若干规定,,,,,第一条 为了规范客运出租汽车经营服务行为维护客运出租汽车市场秩序促进客运出租汽车行业健康发展根据有关法律、法规结合本市实际制定本规定。
烟台市客运出租汽车管理若干规定,,,,,第二条 本规定所称客运出租汽车包括巡游出租汽车和网络预约出租汽车。巡游出租汽车是指在道路上巡游揽客、站点候客或者以电信、互联网等方式预约揽客喷涂、安装出租汽车标识以符合条件的车辆和驾驶员为乘客提供运输服务按照乘客意愿行驶根据行驶里程和时间计费的客运出租汽车。网络预约出租汽车是指以互联网技术为依托构建服务平台整合供需信息使用符合条件的车辆和驾驶员提供非巡游的预约出租汽车服务的客运出租汽车。
烟台市客运出租汽车管理若干规定,,,,,第三条 交通运输主管部门应当加强对客运出租汽车的监督管理会同相关部门建立联合执法工作机制加强对客运出租汽车经营行为的监督检查依法查处违法违规行为共享执法管理信息维护公平竞争的市场秩序。客运出租汽车经营者和驾驶员应当依法经营诚实守信公平竞争为乘客提供安全、便捷、舒适的客运出租汽车服务。
烟台市客运出租汽车管理若干规定,,,,,第四条 从事客运出租汽车服务的驾驶员应当取得客运出租汽车驾驶员从业资格。申请参加客运出租汽车驾驶员从业资格考试的应当符合下列条件驶经历录无吸毒记录无饮酒后驾驶记录最近连续三个记分周期内没有记满十二分记录通过客运出租汽车驾驶员从业资格考试的可以同时申领《巡游出租汽车驾驶员证》和《网络预约出租汽车驾驶员证》。客运出租汽车驾驶员不再符合第一款规定条件的许可机关应当依法注销并收回客运出租汽车驾驶员从业资格证件无法收回的由许可机关公告作废。
烟台市客运出租汽车管理若干规定,,,,,第五条 从事客运出租汽车经营的车辆应当安装符合国家和行业标准的具有行驶记录功能的卫星定位装置、应急报警装置并根据交通运输主管部门的相关要求安装车内监控等信息化设备。前款信息化装置和设备使用过程中涉及的个人信息数据的处理应当遵守数据安全和个人信息保护等有关法律、法规。
烟台市客运出租汽车管理若干规定,,,,,第六条 交通运输主管部门应当按年度组织开展服务质量信誉考核工作并依据考核结果加强对客运出租汽车经营者和驾驶员的管理。客运出租汽车经营者和驾驶员应当按照交通运输主管部门要求参加服务质量信誉考核工作。
烟台市客运出租汽车管理若干规定,,,,,第七条 交通运输主管部门应当健全客运出租汽车经营服务投诉举报制度公开投诉举报方式及时受理投诉举报。客运出租汽车经营者和驾驶员应当配合调查处理投诉举报事项。
烟台市客运出租汽车管理若干规定,,,,,第八条 客运出租汽车经营者应当遵守下列规定范等教育培训规范驾驶员营运服务行为受理乘客服务和投诉事宜辆技术状况良好设施设备正常运转营运标识完好灾、重大活动保障等政府指令性运输任务时服从相关部门统一调度网络预约出租汽车经营者除遵守前款规定外还应当遵守下列规定网络预约出租汽车经营服务。
烟台市客运出租汽车管理若干规定,,,,,第九条 客运出租汽车驾驶员不得有下列行为费交易
烟台市客运出租汽车管理若干规定,,,,,第十条 任何单位和个人不得擅自在巡游出租汽车以外的机动车上使用我市巡游出租汽车外观或者设置顶灯、计程计价设备、空车标识等巡游出租汽车专用设施。巡游出租汽车退出营运时巡游出租汽车经营者应当改变标志性的外观拆除专用设施。
烟台市客运出租汽车管理若干规定,,,,,第十一条 客运出租汽车驾驶员利用客运出租汽车从事违法活动或者在经营活动中以侮辱、殴打等方式侵害他人合法权益受到行政拘留处罚或者刑事处罚的由交通运输主管部门吊销客运出租汽车驾驶员从业资格证件。
烟台市客运出租汽车管理若干规定,,,,,第十二条 客运出租汽车经营者或者驾驶员在经营过程中有下列情形之一的由交通运输主管部门吊销相应车辆的道路运输证
烟台市客运出租汽车管理若干规定,,,,,第十三条 本规定自公布之日起施行。
