文件名,编,分编,章,节,内容
特殊标志管理条例,,,第一章 总则,,第一条 为了加强对特殊标志的管理推动文化、体育、科学研究及其他社会公益活动的发展保护特殊标志所有人、使用人和消费者的合法权益制定本条例。
特殊标志管理条例,,,第一章 总则,,第二条 本条例所称特殊标志是指经国务院批准举办的全国性和国际性的文化、体育、科学研究及其他社会公益活动所使用的由文字、图形组成的名称及缩写、会徽、吉祥物等标志。
特殊标志管理条例,,,第一章 总则,,第三条 经国务院工商行政管理部门核准登记的特殊标志受本条例保护。
特殊标志管理条例,,,第一章 总则,,第四条 含有下列内容的文字、图形组成的特殊标志不予登记
特殊标志管理条例,,,第一章 总则,,第五条 特殊标志所有人使用或者许可他人使用特殊标志所募集的资金必须用于特殊标志所服务的社会公益事业并接受国务院财政部门、审计部门的监督。
特殊标志管理条例,,,第二章 特殊标志的登记,,第六条 举办社会公益活动的组织者或者筹备者对其使用的名称、会徽、吉祥物等特殊标志需要保护的应当向国务院工商行政管理部门提出登记申请。登记申请可以直接办理也可以委托他人代理。
特殊标志管理条例,,,第二章 特殊标志的登记,,第七条 申请特殊标志登记应当填写特殊标志登记申请书并提交下列文件于粘贴用光洁耐用的纸张印制或者用照片代替长和宽不大于10 厘米、不小于 5 厘米和权限
特殊标志管理条例,,,第二章 特殊标志的登记,,第八条 国务院工商行政管理部门收到申请后按照以下规定处理请之日起 15 日内发给特殊标志登记申请受理通知书并在发出通知之日起 2 个月内将特殊标志有关事项、图样和核准使用的商品和服务项目在特殊标志登记簿上登记发给特殊标志登记证书。特殊标志经核准登记后由国务院工商行政管理部门公告。内发给特殊标志登记申请补正通知书并限其自收到通知之日起15 日内予以补正期满不补正或者补正仍不符合规定的发给特殊标志登记申请不予受理通知书。发给特殊标志登记申请驳回通知书。申请人对驳回通知不服的可以自收到驳回通知之日起 15 日内向国务院工商行政管理部门申请复议。前款所列各类通知书由国务院工商行政管理部门送达申请人或者其代理人。因故不能直接送交的以国务院工商行政管理部门公告或者邮寄之日起的 20 日为送达日期。
特殊标志管理条例,,,第二章 特殊标志的登记,,第九条 特殊标志有效期为 4 年自核准登记之日起计算。特殊标志所有人可以在有效期满前 3 个月内提出延期申请延长的期限由国务院工商行政管理部门根据实际情况和需要决定。特殊标志所有人变更地址应当自变更之日起 1 个月内报国务院工商行政管理部门备案。
特殊标志管理条例,,,第二章 特殊标志的登记,,第十条 已获准登记的特殊标志有下列情形之一的任何单位和个人可以在特殊标志公告刊登之日至其有效期满的期间向国务院工商行政管理部门申明理由并提供相应证据请求宣告特殊标志登记无效或者近似的外观设计专利相同或者近似的
特殊标志管理条例,,,第二章 特殊标志的登记,,第十一条 国务院工商行政管理部门自收到特殊标志登记无效申请之日起 10 日内通知被申请人并限其自收到通知之日起 15 日内作出答辩。被申请人拒绝答辩或者无正当理由超过答辩期限的视为放弃答辩的权利。
特殊标志管理条例,,,第二章 特殊标志的登记,,第十二条 国务院工商行政管理部门自收到特殊标志登记无效申请之日起 3 个月内作出裁定并通知当事人当事人对裁定不服的可以自收到通知之日起 15 日内向国务院工商行政管理部门申请复议。
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十三条 特殊标志所有人可以在与其公益活动相关的广告、纪念品及其他物品上使用该标志并许可他人在国务院工商行政管理部门核准使用该标志的商品或者服务项目上使用。
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十四条 特殊标志的使用人应当是依法成立的企业、事业单位、社会团体、个体工商户。特殊标志使用人应当同所有人签订书面使用合同。特殊标志使用人应当自合同签订之日起 1 个月内将合同副本报国务院工商行政管理部门备案并报使用人所在地县级以上人民政府工商行政管理部门存查。
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十五条 特殊标志所有人或者使用人有下列行为之一的由其所在地或者行为发生地县级以上人民政府工商行政管理部门责令改正可以处 5 万元以下的罚款情节严重的由县级以上人民政府工商行政管理部门责令使用人停止使用该特殊标志由国务院工商行政管理部门撤销所有人的特殊标志登记在规定期限内未报国务院工商行政管理部门备案或者未报所在地县级以上人民政府工商行政管理机关存查的
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十六条 有下列行为之一的由县级以上人民政府工商行政管理部门责令侵权人立即停止侵权行为没收侵权商品没收违法所得并处违法所得 5 倍以下的罚款没有违法所得的处1 万元以下的罚款形或者其组合的或者将其特殊标志用于商业活动的
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十七条 特殊标志所有人或者使用人发现特殊标志所有权或者使用权被侵害时可以向侵权人所在地或者侵权行为发生地县级以上人民政府工商行政管理部门投诉也可以直接向人民法院起诉。工商行政管理部门受理特殊标志侵权案件投诉的应当依特殊标志所有人的请求就侵权的民事赔偿主持调解调解不成的特殊标志所有人可以向人民法院起诉。
特殊标志管理条例,,,第三章 特殊标志的使用与保护,,第十八条 工商行政管理部门受理特殊标志侵权案件在调查取证时可以行使下列职权有关当事人应当予以协助不得拒绝
特殊标志管理条例,,,第四章 附则,,第十九条 特殊标志申请费、公告费、登记费的收费标准由国务院财政部门、物价部门会同国务院工商行政管理部门制定。
特殊标志管理条例,,,第四章 附则,,第二十条 申请特殊标志登记有关文书格式由国务院工商行政管理部门制定。
特殊标志管理条例,,,第四章 附则,,第二十一条 经国务院批准代表中国参加国际性文化、体育、科学研究等活动的组织所使用的名称、徽记、吉祥物等标志的保护参照本条例的规定施行。
特殊标志管理条例,,,第四章 附则,,第二十二条 本条例自发布之日起施行。
