文件名,编,分编,章,节,内容
玉林市优化营商环境规定,,,,,第一条 为了持续优化营商环境保障市场主体合法权益激发市场主体活力推动经济社会高质量发展根据国务院《优化营商环境条例》、《广西壮族自治区优化营商环境条例》等有关法律、法规结合本市实际制定本规定。
玉林市优化营商环境规定,,,,,第二条 市人民政府优化营商环境建设办公室负责统筹推动、组织协调、监督指导优化营商环境日常工作其他有关部门应当按照职责分工做好优化营商环境相关工作。县市、区人民政府应当根据实际情况明确优化营商环境工作的主管部门。
玉林市优化营商环境规定,,,,,第三条 每年11月1日至7日为玉林优化营商环境宣传周市、县市、区、镇人民政府及有关部门开展优化营商环境宣传活动营造开放包容、互利合作、诚实守信、重商亲商的社会氛围。每年 11 月 1 日为玉林企业家日市、县市、区人民政府应当对优秀企业家进行荣誉激励树立优秀企业家典型弘扬企业家精神。
玉林市优化营商环境规定,,,,,第四条 市、县市、区人民政府及其有关部门应当加强用地、用林要素保障力度推行工业用地标准地供地实现获得土地即可开工。在开发区、产业园区内组织开展地质灾害、压覆矿产、环境影响、水土保持、洪水影响、文物考古等评估和普查共享评估成果。
玉林市优化营商环境规定,,,,,第五条 市、县市、区人民政府及其有关部门应当围绕产业发展制定相关规划和引导政策培育产业集群完善产业园区基础设施和公用配套设施建设建立健全产业集群统筹协调和服务保障机制促进产业发展和人居环境改善推进产城融合和新型城镇化建设。
玉林市优化营商环境规定,,,,,第六条 市、县市、区人民政府应当建立金融和保险服务实体经济的激励机制鼓励金融机构开发支持特色产业以及科技创新的金融信贷产品加大对市场主体的信贷投放推动金融产品供需对接、信用信息共享等工作。依法开展政府性融资担保工作扩大政府性融资担保的覆盖面为市场主体融资增信、拓宽融资渠道、降低融资成本提供支持。鼓励引导金融机构为市场主体出口提供担保。
玉林市优化营商环境规定,,,,,第七条 市人民政府应当与海关等口岸管理部门建立协调机制协调解决口岸通关相关问题优化通关监管模式和作业流程提高通关效率降低市场主体通关成本。优化商品跨境流通服务体系支持市场主体做大跨境电商贸易积极开拓海外市场。
玉林市优化营商环境规定,,,,,第八条 市、县市、区人民政府应当建立科技研发、成果转化以及科技创新技术引进的激励机制鼓励企业加大发明创造和知识产权投入推动专利技术转化。市、县市、区人民政府应当加强科技资金预算管理和使用监督及时拨付资金。
玉林市优化营商环境规定,,,,,第九条 市、县市、区人民政府应当建立招商项目评估机制对项目是否符合产业发展要求、生态环境承载能力、投资强度、产值税收等经济社会效益进行综合评估。市、县市、区人民政府应当鼓励、支持各类企业在本市设立总部、区域性总部和研发中心鼓励与本地重点发展产业相关的企业落户本市培育上下游企业的产业链条形成产业集群。市、县市、区人民政府投资促进主管部门应当联合相关部门强化招商推介加强投资促进服务建立健全招商引资统筹协调机制。
玉林市优化营商环境规定,,,,,第十条 市、县市、区人民政府应当加强数字政府建设统筹推进各领域政务数据的归集、发布、应用依托互联网和自助终端设备推进智能审批为市场主体提供高效、便捷的服务。市、县市、区人民政府及其有关部门应当公布惠企政策目录清单符合条件的企业免予申报直接享受惠企政策。不动产登记机构应当与公用事业单位等加强协作推行水电气过户等服务与不动产登记同步办理。开发区、产业园区应当设立服务团队落实服务专员为市场主体无偿提供政务帮办、代办服务。
玉林市优化营商环境规定,,,,,第十一条 鼓励龙头企业建立产业链供应链数智化协作平台共享信息实现供需数据对接和协同生产。支持数智化转型服务商、设备供应商与有关市场主体组建数智化转型联盟分行业研发推广数智化解决方案促进集群内企业协同转型。支持数智化转型服务商、设备供应商规范健康发展提升数智化转型服务市场规模和活力帮助传统企业、中小企业数智化转型。
玉林市优化营商环境规定,,,,,第十二条 市、县市、区人民政府及其有关部门应当建立健全人才引进、培养、选拔评价、激励保障等机制对各类人才创新创业给予政策和资金支持为外来工作人员提供居留、落户、劳动就业、医疗卫生、子女托育入学以及社会保障等便捷服务。市、县市、区人民政府人力资源和社会保障主管部门应当搭建人力资源供需对接平台及时公布人力资源供给与市场需求信息。市、县市、区人民政府工业和信息化、人力资源和社会保障、科技、大数据发展和政务服务、商务、市场监督管理等部门应当按照各自职责组织中小企业各类人员参加培训。市、县市、区人民政府应当大力发展职业教育完善产教融合、校企合作办学体制机制优化职业教育供给结构。
玉林市优化营商环境规定,,,,,第十三条 行政执法部门应当优化监管方式依法审慎、柔性执法。推行远程监管、移动监管等以预警防控为特征的非现场监管推广运用说理教育、劝导示范、行政指导等非强制性方式执法。除了环境保护、食品药品安全、产品质量安全、安全生产、劳动保障等直接涉及公共安全和人民群众生命健康的特殊行业、重点领域外推行执法检查综合查一次制度。多个行政执法部门对同一市场主体实施联合检查的可以由同级人民政府或者其确定的牵头部门组织实施。司法行政部门对行政执法检查活动予以协调和监督。监管部门应当对检查结果实行清单告知不同部门之间监管标准互通、违法线索互联、处理结果互认。
玉林市优化营商环境规定,,,,,第十四条 市、县市、区人民政府及其有关部门应当为市场主体信用修复提供支持帮助市场主体依法修复信用。
玉林市优化营商环境规定,,,,,第十五条 市、县市、区人民政府司法行政部门应当完善一体化公共法律服务平台开展法律咨询、便民查询、法治宣传、法律援助、纠纷调解等服务。鼓励和支持市场主体建立法律顾问制度。
玉林市优化营商环境规定,,,,,第十六条 市、县市、区人民政府及其有关部门应当加强诚信政府、诚信社会体系建设重合同、守信用推动解决涉及市场主体的历史遗留问题定期梳理和解决各类因法律、法规以及政策变化而产生的问题通过兑现政策承诺、采取补救措施等方式解决项目建设、土地使用、拖欠账款等遗留问题。政府及其有关部门负责人对于到任前已经存在且属于其职责范围内的营商环境问题应当积极应对、履职担当不得消极回避、推卸责任损害市场主体合法权益。
玉林市优化营商环境规定,,,,,第十七条 市、县市、区人民政府建立优化营商环境投诉问题清单制度实行动态调整由优化营商环境工作主管部门负责督促办理。涉及企业的历史遗留问题、因法律法规以及政策变化而产生的问题纳入问题清单。
玉林市优化营商环境规定,,,,,第十八条 市、县市、区人民政府应当每年向同级人民代表大会常务委员会报告优化营商环境工作情况。市、县市、区人民政府应当将优化营商环境工作事项纳入督查问效范围建立提醒函制度对重点任务进展缓慢、各类考核评估中发现以及群众反映集中的问题市、县市、区主要负责人对有关单位或者其主要负责人发出提醒函予以提醒督促问题整改。
玉林市优化营商环境规定,,,,,第十九条 本规定自 2025 年 7 月 1 日起施行。
