文件名,编,分编,章,节,内容
玉溪市集中式饮用水水源地保护条例,,,,,第一条 为了加强集中式饮用水水源地保护保障饮用水安全维护公众健康根据《中华人民共和国水污染防治法》《中华人民共和国水法》等法律、法规结合本市实际制定本条例。
玉溪市集中式饮用水水源地保护条例,,,,,第二条 本条例适用于本市行政区域内集中式饮用水水源地的保护和管理。本条例所称集中式饮用水水源地是指进入输水管网送到用户和供水人口一般大于 1000 人的在用、备用和规划水源地包括地表水和地下水饮用水水源地。
玉溪市集中式饮用水水源地保护条例,,,,,第三条 集中式饮用水水源地保护应当遵循保护优先、科学规划、系统治理、属地管理、社会参与、确保安全的原则。
玉溪市集中式饮用水水源地保护条例,,,,,第四条 市、县市、区人民政府负责本行政区域内集中式饮用水水源地保护和管理将集中式饮用水水源地保护纳入国民经济和社会发展规划、国土空间规划和水资源保护规划、重点流域水生态环境保护规划所需经费纳入本级财政预算并建立生态保护补偿机制、保护目标责任制和考核评价机制。跨县市、区的集中式饮用水水源地按照行政区划管辖范围开展水源地保护和管理受益地区人民政府应当支持配合属地人民政府进行保护和管理。
玉溪市集中式饮用水水源地保护条例,,,,,第五条 市人民政府生态环境主管部门负责本行政区域内集中式饮用水水源地水生态环境保护和污染防治的统一监督管理。市、县市、区人民政府水行政主管部门负责本行政区域内集中式饮用水水资源的统一监督管理。市、县市、区人民政府发展改革、工业和信息化、公安、民政、财政、自然资源、住房城乡建设、交通运输、农业农村、文化和旅游、卫生健康、应急管理、市场监管、林业草原等部门按照各自职责做好集中式饮用水水源地保护工作。乡镇人民政府、街道办事处应当做好本辖区内集中式饮用水水源地的保护管理工作。村居民委员会协助乡镇人民政府、街道办事处和有关部门做好饮用水水源地保护工作鼓励在村规民约、居民公约中规定饮用水水源地保护的内容落实保护措施。
玉溪市集中式饮用水水源地保护条例,,,,,第六条 市、县市、区河湖长、林长应当按照有关规定组织开展集中式饮用水水源地定期巡查工作督促有关部门落实保护和管理职责。
玉溪市集中式饮用水水源地保护条例,,,,,第七条 市、县市、区人民政府及其有关部门应当加强饮用水水源地保护和节约用水的宣传教育提高公众参与饮用水水源地保护的意识和能力。报刊、广播电视、网络等媒体应当加强对饮用水水源地保护、节约用水的公益宣传和舆论监督工作。
玉溪市集中式饮用水水源地保护条例,,,,,第八条 任何单位和个人都有保护饮用水水源地的义务有权对污染饮用水水源地、破坏饮用水水源地保护设施的行为进行劝阻、举报。鼓励单位和个人通过捐赠、资助或者志愿服务等形式参与饮用水水源地保护活动。
玉溪市集中式饮用水水源地保护条例,,,,,第九条 市、县市、区人民政府应当根据本行政区域经济社会发展需要和水资源开发利用现状按照优先保障城乡居民饮用水的要求对集中式饮用水水源地进行统筹规划和建设。市、县市、区人民政府应当将符合饮用水水源水质标准水量能够满足城乡饮用水需求的地表水体或者地下水体确定为集中式饮用水水源地优先利用地表水严格控制开采地下水。
玉溪市集中式饮用水水源地保护条例,,,,,第十条 市、县市、区人民政府应当公布本行政区域内集中式饮用水水源地、备用集中式饮用水水源地的名称以及保护区范围实行名录管理。
