文件名,编,分编,章,节,内容
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第一条 为了加强公共安全技术防范保护公民、法人和其他组织的合法权益根据有关法律、行政法规的基本原则结合珠海经济特区实际制定本条例。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内公共安全技术防范的规划、建设、维护、管理、应用及其监督管理。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第三条 本条例所称公共安全技术防范是指运用安全技术防范产品和安全技术防范系统预防、发现、制止违法犯罪维护公共安全的活动。本条例所称安全技术防范产品以下简称技防产品是指具有防抢劫、防盗窃、防爆炸、防入侵、防破坏等功能防止国家、集体、个人财产以及人身安全受到侵害并列入国家技防产品目录的专用产品。本条例所称安全技术防范系统以下简称技防系统是指综合运用技防产品和使用视音频监控、防盗报警、出入口目标识别控制、防爆安检、入侵检测、生物特征识别、计算机通信网络等技术集成的系统。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第四条 公共安全技术防范坚持统筹规划、按需建设、安全共享和规范使用的原则。任何单位和个人不得利用技防产品或者技防系统侵犯公民、法人和其他组织的合法权益。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第五条 市、区人民政府应当统筹公共安全技术防范重点公共区域技防系统的规划建设、资金保障、资源整合与综合利用并将其纳入国民经济和社会发展规划以及社会综合治理体系。横琴新区和经济功能区管理机构履行区人民政府的职责。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第六条 公安机关是本市公共安全技术防范的行政主管部门组织实施本条例。发展和改革、信息化、建设、交通、工商、质量技术监督、安全生产监督等行政管理部门在各自职责范围内做好公共安全技术防范管理工作。
珠海经济特区公共安全技术防范条例,,,第一章 总 则,,第七条 公共安全技术防范行业协会应当加强行业自律配合行政管理部门开展公共安全技术防范管理工作。
珠海经济特区公共安全技术防范条例,,,第二章 规划与建设,,第八条 本市公共安全技术防范重点公共区域和重点单位应当安装技防系统。鼓励公民、法人和其他组织根据自身安全防范需要合理安装、使用技防产品或者技防系统。
珠海经济特区公共安全技术防范条例,,,第二章 规划与建设,,第九条 公共安全技术防范重点公共区域应当包括城市主要出入口、主要道路、桥梁、隧道、人行过街设施、口岸、广场、公园、镇和村的主要路口、治安复杂的路段和路口等。公共安全技术防范重点公共区域的具体范围由市公安机关根据本地实际情况提出报市人民政府确定并向社会公布。公共安全技术防范重点公共区域的技防系统属于市政基础设施。市、区人民政府应当指派有关部门组织规划、建设、维护、管理所需经费按照市、区财政体制予以保障。
珠海经济特区公共安全技术防范条例,,,第二章 规划与建设,,第十条 除政府组织建设公共安全技术防范重点公共区域技防系统外任何单位和个人不得擅自在公共安全技术防范重点公共区域安装技防系统。
