文件名,编,分编,章,节,内容
珠海经济特区海钓安全管理规定,,,,,第一条 为规范海钓行为保障海钓活动安全、有序发展根据有关法律、行政法规的基本原则结合珠海经济特区实际制定本规定。
珠海经济特区海钓安全管理规定,,,,,第二条 本规定适用于本市行政区域内海钓及相关活动的安全监督管理。
珠海经济特区海钓安全管理规定,,,,,第三条 本规定所称海钓是指除渔业捕捞生产以外以休闲娱乐、体育运动为主要目的利用船舶、岸堤、岛礁、矶石、渔旅综合平台等进行的海洋垂钓行为以及其他应当被认定为海钓的行为。
珠海经济特区海钓安全管理规定,,,,,第四条 海钓活动应当将保护人民生命财产安全放在首位树立安全发展理念。海钓安全管理应当坚持安全第一、预防为主、综合治理的原则建立健全安全责任制度从源头上防范和化解安全风险。
珠海经济特区海钓安全管理规定,,,,,第五条 市、区人民政府应当建立健全海钓安全管理统筹协调机制完善海钓活动监督管理体系、海上搜救和应急处置工作体系协调解决海钓安全管理中的重大问题。经济功能区管理机构履行区人民政府管理职责。镇人民政府、街道办事处应当加强对辖区内非法海钓活动的排查配合、协助执法单位查处非法海钓活动协助开展海上搜救、应急处置等工作。
珠海经济特区海钓安全管理规定,,,,,第六条 渔业行政主管部门负责组织实施海钓活动监督管理工作推动相关职能部门及单位实现信息互通监督指导海洋和渔业行政执法工作负责渔业码头的安全监督管理。海事管理机构负责对渔港水域范围外开展海钓活动的船舶的海上交通安全进行监督管理。文化广电旅游体育行政主管部门按照分级分类管理原则对依法举办的海钓赛事活动进行监督指导。公安、海警、交通运输、自然资源、生态环境、市场监管、应急管理、气象等单位按照各自职责做好海钓活动安全监督管理工作。
珠海经济特区海钓安全管理规定,,,,,第七条 钓鱼协会、休闲渔业协会等社会组织应当发挥行业组织自律作用加强行业管理规范行业行为标准开展安全教育培训加强行业纠纷调处。行业协会等组织的发起单位或者个人应当通过手机软件、微信公众号、微信群等平台渠道向会员普及海钓活动安全知识和应急技能推荐较为安全的钓区。
珠海经济特区海钓安全管理规定,,,,,第八条 市、区人民政府可以合理规划建设休闲渔业码头或者设置休闲渔业锚泊区作为海钓活动的集散中心。
珠海经济特区海钓安全管理规定,,,,,第九条 海钓活动的钓区、钓位由市渔业行政主管部门统筹规划设置。区人民政府应当落实属地管理职责通过完善基础设施、组织巡查等方式加强辖区内的钓位管理。
珠海经济特区海钓安全管理规定,,,,,第十条 禁止在下列水域开展海钓活动单位依法确定并公告的其他海域桥区水域全的水域禁钓水域。
珠海经济特区海钓安全管理规定,,,,,第十一条 开展海钓活动的船舶所有人、管理人承担安全生产主体责任应当及时排查整治安全隐患使船舶处于适航状态配合开展安全检查。
珠海经济特区海钓安全管理规定,,,,,第十二条 开展海钓活动的船舶应当符合国家和广东省的相关规定。严禁利用无船名船号、无船舶证书、无船籍港的船舶开展海钓活动。
