文件名,编,分编,章,节,内容
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第一条 为了规范相对集中行政处罚权的实施保障和监督城市管理行政执法部门依法履行职责提高城市管理行政执法效率和水平保护公民、法人和其他组织的合法权益根据《中华人民共和国行政处罚法》、《中华人民共和国行政强制法》和相关法律、行政法规的基本原则结合珠海经济特区实际制定本条例。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内城市管理行政执法部门实施相对集中行政处罚权的活动。其他行政部门依法行使相对集中行政处罚权的适用本条例有关城市管理行政执法的规定。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第三条 本市行政部门依法行使相对集中行政处罚权或者依据本市地方性法规行使其他行政部门行政处罚权的同时行使法律、法规规定的与行政处罚权有关的行政强制措施。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第四条 市人民政府可以根据城市管理的需要对行政处罚权相对集中行使的范围进行调整报省人民政府批准后公布实施。纳入相对集中行政处罚权范围的事项应当与城市管理密切相关一般属于现场易于判断、不需要专业设备和技术检测手段即可定性的事项。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第五条 市人民政府应当加强对城市管理行政执法工作的领导建立和完善城市管理行政执法协调机制。各区人民政府、横琴新区和经济功能区管理机构是本辖区城市管理工作责任主体负责领导和组织本辖区的城市管理行政执法工作。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第六条 市城市管理行政执法部门负责本条例的组织实施统筹、协调、指导、监督区城市管理行政执法部门的执法工作。区城市管理行政执法部门负责本辖区内城市管理行政执法工作并接受市城市管理行政执法部门的业务指导和监督。其他相关行政部门按照各自职责协同做好城市管理行政执法工作。
珠海经济特区相对集中行政处罚权条例,,,第一章 总 则,,第七条 城市管理行政执法部门及其执法人员应当坚持严格、规范、公正、文明执法坚持执法与教育、疏导、服务相结合注重对违法行为的纠正和对违法行为人的教育。
珠海经济特区相对集中行政处罚权条例,,,第二章 执法规范,,第八条 市、区城市管理行政执法部门按照各自职责行使相对集中行政处罚权查处违法行为并对执法行为承担法律责任。
珠海经济特区相对集中行政处罚权条例,,,第二章 执法规范,,第九条 城市管理行政执法活动实行属地管辖由违法行为发生地的区城市管理行政执法部门管辖。区城市管理行政执法部门之间对案件管辖权发生争议的由市城市管理行政执法部门指定管辖。案情重大、复杂或者跨区的案件市级城市管理行政执法部门可以直接管辖。
珠海经济特区相对集中行政处罚权条例,,,第二章 执法规范,,第十条 城市管理行政执法人员通过培训和考试取得行政执法证件方可获得行政执法资格从事行政执法活动。城市管理行政执法人员从事行政执法活动应当统一着装和标识。城市管理行政执法人员从事行政执法活动时不得少于两人并应当向当事人出示行政执法证件。
