文件名,编,分编,章,节,内容
甘孜藏族自治州草原管理条例,,,,,第一条 为保护、建设和合理利用草原维护和改善生态环境确保草原资源永续利用促进畜牧业经济可持续发展提高农牧民生活水平根据《中华人民共和国民族区域自治法》、《中华人民共和国草原法》、《四川省中华人民共和国草原法实施办法》和《甘孜藏族自治州自治条例》等有关法律法规结合甘孜藏族自治州以下简称自治州实际制定本条例。
甘孜藏族自治州草原管理条例,,,,,第二条 本条例适用于自治州行政区域内的草原包括天然草原和人工草地规划、保护、建设、利用和管理活动。
甘孜藏族自治州草原管理条例,,,,,第三条 自治州、县人民政府应当将草原保护、建设和利用纳入国民经济和社会发展规划切实保障投入。自治州、县人民政府草原行政主管部门主管本行政区域内草原监督管理工作依照有关规定编制草原保护、建设和利用发展规划报本级人民政府批准后实施。自治州和县人民政府国土资源、林业、环保、规划建设、水利、发改、财政、公安、工商、交通、旅游等有关部门应当按照职责分工做好草原规划、保护、建设、利用和管理的有关工作。乡镇人民政府应当加强对草原保护、建设和利用情况的监督检查。根据需要设专职或者兼职人员负责具体监督检查工作。村民委员会应当组织、支持农牧民进行草原保护、建设和合理利用。
甘孜藏族自治州草原管理条例,,,,,第四条 自治州、县人民政府应当在草原行政主管部门中设立草原监督管理机构负责草原法律、法规的宣传承担草原保护与执法工作依法查处破坏草原案件承担草原生态、生产能力和草原保护、建设效益的监测核定草原载畜量加强草原自然保护区和草原野生植物资源的保护、管理工作。牧业乡镇、半农半牧乡镇配备草原管护监理员、村配备草原管理员负责草原法律、法规的宣传协助开展草原保护、建设和管理工作负责巡查草原超载过牧、牲畜出栏、轮牧、转场、饲草基地、草原防火、草原基础设施管护。
甘孜藏族自治州草原管理条例,,,,,第五条 自治州实行基本草原保护制度。县级人民政府依法组织开展辖区内的基本草原划定工作。除国家重点工程建设项目外任何单位、组织或个人不得擅自改变基本草原用途。
甘孜藏族自治州草原管理条例,,,,,第六条 自治州、县人民政府应当稳定和完善草原承包经营责任制。任何单位、组织和个人不得非法转让、强占已承包经营的草原。在不改变草原所有权性质、用途不损害农牧民权益的基础上草原承包经营权可以按照自愿、有偿的原则依法流转任何人不得强迫、阻挠。流转的方式包括转包、租赁、转让、互换、股份合作以及符合法律、法规和国家规定的其它形式。原应当经发包方审核同意后向原发证机关申请办理权属变更登记手续营的草原应订立租赁、转包、短期互换协议经发包方核实批准后报县级人民政府草原行政主管部门备案管部门审核同意后方可进行除或终止承包合同1、无力经营或不经营又不流转时间达 3 年以上的2、进行掠夺性经营造成草场退化限期恢复植被无效的3、承包者死亡而无法定继承人的4、承包者违约致使草原承包合同无法继续履行的。
甘孜藏族自治州草原管理条例,,,,,第七条 自治州实行草原禁牧、休牧、轮牧制度县、乡镇人民政府具体实施草原监督管理机构负责监督。上生态十分脆弱的天然草原实行禁牧禁牧最短时限 2 年轻度退化的草场实行休牧休牧最短时限 1 年80的草原解除休牧实行划区轮牧并予以公告。
甘孜藏族自治州草原管理条例,,,,,第八条 自治州实行草畜平衡制度。县级人民政府应当制定草畜平衡实施办法并组织实施。责任制考核牲畜出栏率、商品率、草原载畜量等支持、鼓励和引导农牧民实施人工种草储备饲草饲料降低天然草原放牧强度畜量标准每 3 年负责核定一次草原载畜量并报同级人民政府予以公告畜量及时调整牲畜饲养量不得超载过牧。
甘孜藏族自治州草原管理条例,,,,,第九条 自治州在国家、省政策指导支持下建立草原生态保护奖励补偿机制。对减畜、薪材替代、牲畜配装电子耳标、生态移民、草原综合治理、草原湿地保护、使用草原机械、推行良种、良法等行为实行奖励或补偿对工程建设占用的草原实行补偿。
甘孜藏族自治州草原管理条例,,,,,第十条 在草原上从事矿藏开采、工程建设、经营性活动等征占用草原的应当先行在具有审核审批权限的草原行政主管部门办理审批手续并缴纳草原植被恢复费后依照有关土地管理的法律法规、行政法规办理建设用地的审批手续。草原植被恢复费收取标准由自治州人民政府财政、物价部门会同畜牧、国土等部门共同制定。
