文件名,编,分编,章,节,内容
甘肃省东乡族自治县农村公路条例,,,第一章 总则,,第一条 为了加强农村公路规划、建设、养护和管理改善通行条件方便群众生产生活根据《中华人民共和国公路法》、《甘肃省公路路政管理条例》和《甘肃省农村公路条例》等有关法律法规结合自治县实际制定本条例。
甘肃省东乡族自治县农村公路条例,,,第一章 总则,,第二条 本条例所称农村公路是指自治县境内的县乡村道路。包括其附属的桥梁、隧道和渡口。县道指除国道、省道外的县际间联络公路和县内骨干公路乡道指各乡镇人民政府所在地与乡镇之间和外部的联络公路村道指县道、乡道主干线到村、村与村之间的道路。自治县境内农村公路的规划、建设、养护和管理适用本条例。
甘肃省东乡族自治县农村公路条例,,,第一章 总则,,第三条 自治县境内的农村公路建设、养护和管理实行政府主导、分级管理、明确职能、权责一致的原则注重宣传引导动员全社会参与加快建设步伐。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第四条 农村公路规划应当依据经济和社会发展以及人民群众生产、生活的实际需要按照新农村的要求统筹规划、合理布局、突出重点、分布实施的原则编制。农村公路规划应当与农村经济社会发展相适应与村镇总体规划相协调与县域干线相衔接与农田基本建设、水利改造、环境综合治理相结合统筹安排统一实施。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第五条 县道、乡道规划由县交通主管部门会同有关部门编制县道规划经县人民政府审定后报州人民政府批准省交通主管部门备案乡道规划由县人民政府批准报州交通主管部门备案村道规划由县交通主管部门协助乡镇人民政府组织编制由县交通主管部门批准并备案。农村公路规划建设的项目应当上报省交通主管部门纳入农村公路基础数据管理系统。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第六条 农村公路规划批准后应当严格执行认真组织实施不得随意更改。确需修改的由原编制部门提出修改方案按原程序审批、备案。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第七条 县交通主管部门应当按照因地制宜、科学合理的原则确定农村公路建设标准。县道按照不低于三级公路技术标准、乡道按照不低于四级公路技术标准建设村道建设标准根据当地实际需要和经济条件确定。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第八条 农村公路建设应遵循经济适用、注重环保、分级负责、保证质量的原则。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第九条 县道、乡道建设由县交通主管部门组织实施有关乡镇配合村道建设由乡镇人民政府负责村民委员会按照村民自愿、民主决策、一事一议的方式组织实施。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第十条 县、乡、村道路建设中所涉及的耕地占用、房屋拆迁、树木砍伐等按照《中华人民共和国土地管理法》、《中华人民共和国森林法》和《甘肃省基础设施建设征用土地办法》等法律法规由县人民政府制定补偿和安置方案公告后予以补偿。农村公路建设需要占用荒山荒坡和滩涂地按照有关法律法规的规定办理后任何单位和个人不得阻挠或者非法收取费用。农村公路建设需要挪动水利、电力、通信等公共设施的按照《中华人民共和国公路法》第三十一条的规定办理。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第十一条 农村公路建设应当按照国家规定的基本建设程序和有关规定进行实行法人负责制度、招投标制度、工程监理制度和竣工验收制度。农村公路建设项目符合法定招标条件的依法进行招投标未达到招标条件的按照相关程序议标签订合同。
甘肃省东乡族自治县农村公路条例,,,第二章 规划、设计和建设,,第十二条 农村公路建设应当按照国家有关规定建立健全质量保证体系落实岗位责任制依照公路工程技术标准的要求和合同约定进行设计、施工和监理保证公路工程质量。未经验收或验收不合格的工程不得交付使用。
