文件名,编,分编,章,节,内容
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第一条 为了保障矿山生产安全保护矿山职工的人身安全促进采矿业的发展根据《中华人民共和国矿山安全法》以下简称《矿山安全法》和《中华人民共和国矿山安全法实施条例》以下简称《实施条例》结合本省实际制定本办法。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二条 凡在本省行政区域内从事矿产资源开采活动的单位和个人在矿产资源勘探和矿山设计、建设、生产、闭坑中都必须遵守本办法。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第三条 县级以上地方各级人民政府劳动行政主管部门负责监督检查本办法的贯彻实施对本行政区域的矿山安全工作实施统一监督和综合管理对矿山安全生产行使监察职权。县级以上地方各级人民政府管理矿山企业的部门根据各自的职责对所属矿山企业安全工作进行管理。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第四条 县级以上人民政府劳动行政主管部门的矿山安全监督机构行使下列监督职责法律、法规的贯彻执行工验收以及有关矿山安全的科研成果、产品和新技术的鉴定设施、装置、仪表等的安全性能器材进行检测、检验机构的资格审查认证并委托其开展检测、检验工作督矿山特种作业人员的培训考核发证工作用审查国有矿山企业年度矿山安全技术措施费报表故调查处理报告
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第五条 县级以上人民政府管理矿山企业的主管部门对矿山安全工作行使下列管理职责所属矿山企事业单位对矿山安全法律、法规的贯彻执行动交流推广安全生产经验
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第六条 矿山建设工程项目的初步设计审查和竣工验收必须按照《实施条例》的有关规定进行。对不符合《实施条例》规定的不得办理批准设计、施工、验收、投产的有关手续。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第七条 从事矿山建设工程设计和施工的单位应当依照法律、行政法规的规定取得资质等级证书。施工单位还应当依照法律、行政法规的规定取得施工安全资格证书。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第八条 矿山企业必须依法取得《采矿许可证》、《矿井安全生产条件合格证》和《营业执照》。从事煤炭、黄金等矿产资源开采活动的还必须依法取得专项许可证书。矿山企业应当在依法批准的范围内进行建设、生产及有关活动不得超层、越界建设及生产。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第九条 矿山企业使用的设备、器材、防护用品、检测检验仪器和爆破物品的质量和性能以及作业环境中的有毒有害物质的浓度必须符合国家或行业规定的标准。劳动行政主管部门应在企业自检的基础上依法予以监督和抽查。矿山安全检测、检验机构必须取得省劳动行政主管部门颁发的资格证书依法开展检测、检验工作不得自行扩大检测、检验项目不得随意提高收费标准。禁止无证检测、检验和乱收费。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十条 石油天然气开采的钻井、采油、修井等作业应当根据地质条件和作业环境编制井控程序和措施。钻井作业应当严格按照设计要求施工钻开油气层前必须检查井控装备、钻井液和防火、防硫等措施。采油气井投产前应当装备完整的采油气树、井口及井下安全阀和监测、控制仪器并进行耐压和关闭试验后方可投产。采油气井的射孔、压裂、酸化、采油气作业应当严格按井控操作规程操作对井口失控应当有应急措施。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十一条 矿山企业在矿山闭坑前应当向矿山企业的主管部门提出闭坑报告。在闭坑报告中应当有闭坑后可能引起的有关安全问题的预防措施。劳动行政主管部门参加矿山闭坑报告的审查监督检查闭坑安全措施的落实。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十二条 矿山企业应当依照《实施条例》第二十八条的规定建立、健全安全生产责任制。矿长含矿务局局长、矿山公司经理、井巷工程公司经理下同是矿山企业安全生产的责任者对本企业安全生产工作负全面责任。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十三条 矿长和主管安全生产、技术工作的副矿长以及安全生产管理机构负责人必须经过培训、考核具备安全专业知识具有安全生产和处理矿山事故的能力。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十四条 矿山企业特种作业人员的技术培训、考核和发证由矿山企业主管部门与劳动行政主管部门共同负责按照《实施条例》和国家有关规定执行。禁止特种作业人员无证上岗。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十五条 矿山企业每年从维简费中据实列支 20的专项资金没有维简费的按固定资产折旧费的 20列支用于改善本企业安全生产条件和职工安全培训教育。矿山企业每年应编制安全技术措施专项费用的提取和使用计划年终将计划执行情况向上一级主管部门报告并报当地劳动行政主管部门备案。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十六条 矿山企业必须为井下作业人员和在露天从事危险性较大工作的人员办理工伤保险职工因工伤亡应当按国家和省人民政府有关规定给予抚恤或补偿。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十七条 矿山发生伤亡事故事故现场有关人员必须立即直接或者逐级报告矿山企业负责人。矿山企业负责人接到报告后必须立即赶到事故现场组织抢救尽量减少人员伤亡和财产损失。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十八条 矿山发生重伤、死亡事故后矿山企业必须在 24 小时内向管理矿山企业的主管部门和矿山所在地劳动行政主管部门以及公安、监察、检察等有关部门和工会组织作出报告。管理矿山企业的主管部门和劳动行政主管部门接到事故报告后必须立即报告本级人民政府和各自的上级主管部门。其中一次死亡 3 人以上的矿山事故省劳动行政主管部门应当在报告省人民政府的同时报告国务院有关部门。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第十九条 发生重伤、死亡、重特大死亡事故矿山企业和有关单位应当派专人保护事故现场任何人不得擅自移动和取走现场物品。因抢救人员和国家财产、防止事故扩大而需移动现场部分物品时必须作出标志绘制事故现场图并有详细说明和记录。清理事故现场须经事故调查组同意后方可进行。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十条 矿山事故调查实行分级负责制。山企业负责人或其指定人员组织生产、技术、安全等有关人员以及工会成员参加的事故调查组进行调查事故由矿山企业主管部门会同企业所在地的市、自治州行署的劳动、公安、监察部门和工会组成事故调查组进行调查矿山事故由省级矿山企业主管部门会同同级劳动、公安、监察部门和工会组成事故调查组进行调查政府组织矿山企业主管部门、劳动、公安、监察部门和工会组成事故调查组进行调查的企业发生伤亡事故由当地人民政府授权的有关部门组织调查万元以上的特别重大矿山事故的调查处理工作按国务院有关规定执行。矿山企业发生前款第二、三、四、五项所列伤亡事故各级事故调查组应当邀请人民检察院参加调查也可以邀请其他部门和有关专家参加调查。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十一条 事故调查组在向发生事故的矿山企业和有关单位、有关人员了解有关情况和索取有关资料时有关单位和个人必须如实提供。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十二条 事故调查组在查明事故情况以后如果对事故的分析和事故责任者的处理不能取得一致意见的由劳动行政主管部门提出结论性意见如果仍有不同意见应当报上级劳动行政主管部门商同有关部门处理仍不能达成一致意见的报同级人民政府裁决。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十三条 事故发生的企业及其主管部门或者地方人民政府应当根据事故调查组的调查报告提出处理意见和防范措施的建议并写出《企业职工伤亡事故调查处理报告书》以下简称《报告书》报经劳动行政主管部门审查批复后方可结案。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十四条 矿山伤亡事故调查处理报告按下列程序及权限审批结案审查并批复结案报所在县市劳动行政主管部门备案事故事故发生单位为市、州地区所属及其以下矿山企业的由市、州地区管理矿山企业的主管部门写出《报告书》报所在市、州地区劳动行政主管部门审查批复结案事故发生单位为省属及其以上矿山企业的由矿山企业写出《报告书》报省矿山企业主管部门提出审理意见后并报省劳动行政主管部门审查批复结案州地区所属及其以下矿山的由市、州人民政府、地区行政公署写出《报告书》省属及中央在甘矿山企业的由管理矿山企业的省级主管部门写出《报告书》以上两种《报告书》均应当报省劳动行政主管部门审查批复结案并由省劳动行政主管部门报省人民政府和国务院劳动行政主管部门备案部门将事故调查组的调查处理报告直接报省人民政府审查批复结案并报国务院有关部门备案。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十五条 违反《矿山安全法》、《实施条例》以及本办法规定的由劳动行政主管部门和管理矿山企业的主管部门依照《实施条例》第五十二条、第五十三条、第五十四条、第五十五条、第五十六条的相关规定给予行政处罚构成犯罪的依法追究刑事责任。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十六条 凡需由劳动行政主管部门与矿山企业的主管部门会同执行的事项会同部门在接到主办部门的通知后应在 10 日内作出答复逾期不答复的主办部门可单独执行。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十七条 矿山安全检测、检验机构违反本办法第九条第二款规定的由省劳动行政主管部门责令限期改正直至取消检测、检验资格对有关责任人由其所在单位或上级主管部门给予行政处分构成犯罪的依法追究刑事责任。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十八条 当事人对行政处罚决定不服的可以向作出处罚决定的上一级机关申请复议也可以直接向人民法院起诉。当事人逾期不申请复议也不向人民法院起诉又不履行处罚决定的作出处罚决定的机关可以申请人民法院强制执行。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第二十九条 矿山安全监督人员执行公务时应当出示矿山安全监督证和佩戴专用标志。矿山安全监督人员和安全管理人员滥用职权、玩忽职守、徇私舞弊的由其所在单位或上级机关给予行政处分构成犯罪的依法追究刑事责任。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第三十条 本办法执行中的具体应用问题由省人民政府劳动行政主管部门负责解释。
甘肃省实施《中华人民共和国矿山安全法》办法,,,,,第三十一条 本办法自公布之日起施行。
