文件名,编,分编,章,节,内容
甘肃省实施《中华人民共和国防洪法》办法,,,,,第一条 为了防治洪水防御、减轻洪涝灾害维护人民的生命和财产安全根据《中华人民共和国防洪法》《中华人民共和国水法》《中华人民共和国河道管理条例》等有关法律、行政法规结合本省实际制定本办法。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二条 本省行政区域内从事防洪以及与防洪有关的活动适用本办法。法律、行政法规对从事防洪以及与防洪有关的活动已有规定的依照其规定执行。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三条 防洪工作实行全面规划、统筹兼顾、预防为主、综合治理、局部利益服从全局利益的原则。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第四条 各级人民政府应当加强对防洪工作的统一领导广泛宣传防洪法律、法规提高公民水患意识增强依法防洪的自觉性组织有关部门、单位动员社会力量运用科技手段有计划地进行江河、湖泊治理采取措施加强防洪工程设施和水文、气象、通信等设施建设巩固、提高防洪能力并做好防汛抗洪和洪涝灾害后的恢复与救济工作。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第五条 县级以上人民政府水行政主管部门和应急管理部门在本级人民政府领导下负责本行政区域内防洪的组织、协调、监督、指导等日常工作住房和城乡建设主管部门以及其他有关部门按照各自职责负责有关的防洪工作。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第六条 河道管理实行按水系统一管理和分级管理相结合的原则加强防护确保畅通白龙江、黑河、疏勒河、石羊河、讨赖河等重要河流的主要河段由省人民政府水行政主管部门划定并负责管理的河流、河段分别由所在地的市州人民政府水行政主管部门负责管理人民政府水行政主管部门负责管理。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第七条 防洪规划按照下列规定制定防洪法》第十条的规定执行洪规划由省人民政府水行政主管部门依据流域综合规划、区域综合规划会同有关部门和市州人民政府编制报省人民政府批准段的防洪规划在省人民政府水行政主管部门的统一组织下由所在地的市州人民政府水行政主管部门依据流域综合规划、区域综合规划会同有关部门和县市、区人民政府编制经有关市州人民政府审查后报省人民政府水行政主管部门批准跨县市、区河流、河段的防洪规划由所在地的市州人民政府水行政主管部门依据流域综合规划、区域综合规划会同有关部门和县市、区人民政府编制报本级人民政府批准区人民政府水行政主管部门依据流域综合规划、区域综合规划会同有关部门编制报本级人民政府批准门依据流域防洪规划、区域综合规划会同有关部门和有关地区编制报本级人民政府批准门、自然资源主管部门和其他有关部门依据流域防洪规划、上一级人民政府区域防洪规划编制按照国务院规定的审批程序批准后纳入城市国土空间规划人民政府水行政主管部门会同有关部门依据流域防洪规划、县政府批准纳入乡镇国土空间规划。经批准的防洪规划报上一级人民政府水行政主管部门备案修改防洪规划应当报经原批准机关批准。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第八条 防治洪水应当蓄泄兼施充分发挥水库、湖泊、洼淀和沟道截流工程的调蓄洪水功能实行封山育林退耕还林扩大林草植被涵养水源加强水土流失的综合治理。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第九条 各级人民政府和县级以上人民政府有关部门应当制定防汛应急预案明确防汛抗洪组织体系、职责分工、预防预警、应急响应、险情处置、灾后救济、保障措施等内容。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十条 山洪多发地区的县级以上人民政府应当组织应急管理、水利、自然资源、气象、住房和城乡建设、林业和草原、民政等部门对山洪及山洪可能诱发的山体滑坡、崩塌和泥石流隐患进行全面调查确定易发区和危险区划定重点防治区并进行公告设立永久性标志制定防治规划采取防治措施。乡镇人民政府应当组织制定避险和脱险预案对险情征兆明显地区应当及时组织人员转移。城市、村镇和其他居民点以及工矿企业、铁路和公路的建设布局和设防应当符合国家规定的防洪标准避开山洪威胁和地质灾害易发区、危险区已经建成的应当由当地人民政府或者有关部门有计划地组织搬迁或者采取防御措施建在行洪滩地的应当限期搬迁。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十一条 各级人民政府应当按照防洪规划和防御洪水方案建立并完善防洪体系和水文、气象、通信、预警以及洪涝灾害监测系统提高防御洪水能力加强山洪、泥石流易发地区和涵洞、隧道等的观测、预警、预报设施建设建立健全监测预报和预警制度及时发布监测预警预报信息。洪涝灾害即将发生或者发生的可能性增大时县级以上人民政府应当根据有关法律、行政法规和国家规定的权限和程序发布相应级别的警报决定并宣布有关地区进入预警期同时向上一级人民政府报告必要时可以越级上报并向当地驻军和可能受到危害的毗邻或者相关地区的人民政府通报。宣布进入预警期后县级以上人民政府应当根据可能造成的危害及时启动防汛应急预案依法采取相应的防范和处置措施。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十二条 防洪工程设施应当按照经批准的设计组织施工竣工验收前县级以上人民政府应当按照有关规定划定管理和保护范围并立桩标界予以公告。在防洪工程设施保护范围内禁止爆破、打井、钻探、采石、采矿、淘金、挖砂、取土、建房、建窑、建坟等危害防洪工程设施安全和影响防洪抢险工作的活动。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十三条 在河道管理范围内建设跨河、穿河、穿堤、临河的桥梁、码头、道路、渡口、管道、缆线、取水、排水等工程设施应当符合国家规定的防洪标准、岸线规划、航运要求和其他技术要求不得危害堤防安全、影响河势稳定、妨碍行洪畅通。建设单位应当将工程建设方案报经有管辖权的水行政主管部门审查未经审查同意的建设单位不得开工建设。前款工程设施需要占用河道、湖泊管理范围内土地跨越河道、湖泊空间或者穿越河床的建设单位应当经有关水行政主管部门对该工程设施建设的位置和界限审查批准后方可依法办理开工手续安排施工时应当按照水行政主管部门审查批准的位置和界限进行。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十四条 在内河通航水域或者岸线上设置浮动设施应当符合法律、法规相关规定和防洪总体要求依法办理审批手续。浮动设施从事有关活动应当经交通运输主管部门依法登记具有合法有效的船舶检验证书、登记证书并配备符合国家规定的掌握水上安全技能的人员。浮动设施的配载和系固应当符合国家安全技术规范。浮动设施的所有者或者经营者应当加强对浮动设施的安全管理定期检查维护锚泊或者系泊设施建立健全防汛应急处置机制确保行洪畅通。已经设置的浮动设施影响行洪的县级以上人民政府有关部门应当采取必要的措施予以处置。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十五条 禁止在河道、湖泊管理范围内建设妨碍行洪的建筑物、构筑物倾倒垃圾、渣土从事影响河势稳定、危害河岸堤防安全和其他妨碍河道行洪的活动。禁止在行洪河道内种植阻碍行洪的林木和高秆作物。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十六条 禁止围湖造地。已经围垦的应当按照国家规定的防洪标准进行治理有计划地退地还湖。禁止围垦河道。确需围垦的应当进行科学论证经省人民政府水行政主管部门确认不妨碍行洪、输水后报省人民政府批准需要国家批准的依照法律、法规规定的程序报批。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十七条 护堤护岸的林木由河道、湖泊管理机构组织营造和管理。护堤护岸林木不得任意砍伐。采伐护堤护岸林木的应当依法办理采伐许可手续并完成规定的更新补种任务。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十八条 城市建设应当符合城市防洪规划的要求防洪工程设施建设应当纳入城市国土空间规划。城市人民政府应当组织有关部门依据防洪规划加强对城区防洪排涝工程设施的建设与管理。城市人民政府水行政主管部门应当加强对穿越城区的河道防洪工程的建设与管理。城市建设不得擅自填堵原有河道沟叉、贮水湖塘洼淀和废除原有防洪围堤。确需填堵或者废除的应当经城市人民政府批准。禁止任何单位和个人向排洪沟道堆放、倾倒垃圾等废弃物。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第十九条 各级人民政府应当按照分级管理、分级负责的原则完善水库雨情水情、大坝安全监测设施加强对水库大坝的定期检查和监督管理并建立常态化的安全鉴定工作机制对病险水库采取除险加固措施确保水库安全。大坝出现险情征兆时大坝管理单位应当立即报告大坝主管部门和上级防汛指挥机构并采取抢救措施有垮坝危险时应当采取一切措施向预计的垮坝淹没地区发出警报做好转移工作。水利、电力、农垦、煤炭、地质矿产、有色金属等行业主管部门应当加强对本行业水库、水电站、尾矿坝、淤地坝、灰坝的监督管理督促有关企业采取防洪措施确保库坝及下游安全。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十条 禁止在坝体修建码头、渠道、堆放杂物、晾晒粮草。在大坝管理和保护范围内修建码头、鱼塘的须经大坝主管部门批准并与坝脚和泄水、输水建筑物保持一定距离不得影响大坝安全、工程管理和抢险工作。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十一条 任何单位和个人不得破坏、侵占、毁损水库大坝、堤防、水闸、护岸、抽水站、排水渠系等防洪工程和水文、通信设施以及防汛备用的器材、物料等。水文设施不得擅自移动、占用确需移动或者占用水文设施的建设单位应当征得省人民政府水行政主管部门同意并负责恢复水文设施的原有功能承担相应的费用。任何单位和个人不得干扰防汛通信和雨情、水情采集专用频率不得在水文测验河段内从事采石、挖砂、淘金等影响水文测验作业的活动。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十二条 铁路、公路等工程建设项目应当修建符合防洪安全要求的排洪设施。交通运输部门或者建设管理单位指定的临时道路应当符合行洪安全的要求。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十三条 防汛抗洪工作实行各级人民政府行政首长负责制统一指挥分级分部门负责。各有关部门实行防汛岗位责任制。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十四条 省人民政府设立省防汛指挥机构在国家防汛指挥机构和省人民政府领导下负责领导、组织全省的防汛抗洪工作市州、县市、区人民政府设立防汛指挥机构在上级防汛指挥机构和本级人民政府领导下负责组织、指挥本行政区域内的防汛抗洪工作。县级以上人民政府防汛指挥机构的办事机构是具有行政职能的常设机构具体负责防汛指挥机构日常工作。在汛期乡镇人民政府可以根据防汛抗洪工作需要设立临时防汛指挥机构组织实施本行政区域内的防汛抗洪工作。各级防汛指挥机构的成员单位及其职责由同级人民政府依照法律、法规和相关规定确定。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十五条 县级以上人民政府防汛指挥机构的主要职责并对执行情况进行监督、检查织、指挥本地区的防汛抗洪工作协调处理有关问题及时处理影响安全度汛的有关问题贯彻执行上级防汛调度指令并组织实施洪水调度
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十六条 本省汛期为每年 4 月 15 日至 9 月 30 日。特殊情况下经省防汛指挥机构同意县级以上人民政府防汛指挥机构根据汛情及气候异常变化情况可以宣布提前或者延长本行政区域内的汛期时间。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十七条 防御洪水方案按下列规定制定法》第四十条的规定执行御洪水方案由省防汛指挥机构组织制定报省人民政府批准限分别由市州和县市、区防汛指挥机构制定报本级人民政府批准御洪水方案由当地人民政府制定经省防汛指挥机构审查后报省人民政府批准其他城市的防御洪水方案由所在城市防汛指挥机构制定报本级人民政府批准。经批准的河流、河段和重点城市的防御洪水方案报上一级防汛指挥机构备案。各级防汛指挥机构和承担防汛抗洪任务的部门和单位必须根据防御洪水方案做好防汛抗洪准备工作。未经批准不得变更防御洪水方案。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十八条 水库管理单位应当依法编报汛期调度运用计划。大型水库汛期调度运用计划经市州防汛指挥机构审查后报省防汛指挥机构批准中型水库和重点小型水库汛期调度运用计划由所在地的市州防汛指挥机构批准其余小型水库汛期调度运用计划由所在地的县市、区防汛指挥机构批准。经批准的水库汛期调度运用计划须报上一级防汛指挥机构备案。水库汛期防洪调度指挥权按照批准的汛期调度运用计划规定由相应的防汛指挥机构行使。在建的水库、水电站、闸坝工程的施工度汛方案由施工单位编制经其主管部门同意后报同级防汛指挥机构备案。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第二十九条 在汛期水库、水电站、闸坝和其他水工程设施的运用应当服从防汛指挥机构的调度指挥和监督严格执行已批准的汛期调度运用计划。在汛期水库不得擅自在汛期限制水位以上蓄水其汛期限制水位以上的防洪库容的运用必须服从防汛指挥机构的调度指挥和监督。水库在泄洪前水库管理机构应当及时向防汛指挥机构和下游人民政府通报水情。有关人民政府应当及时做好人员转移和防洪工作。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十条 对河道管理范围内阻碍行洪的障碍物按照谁设障、谁清除的原则由县级以上人民政府水行政主管部门责令限期清除逾期不清除的由县级以上人民政府水行政主管部门组织强行清除所需费用由设障者承担。县级以上人民政府水行政主管部门应当按照管理权限编制河道清淤疏浚方案并组织实施保持行洪畅通。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十一条 县级以上人民政府公安、交通运输等有关部门应当保障防汛指挥车辆和抢险救灾车辆的通行经国务院交通运输主管部门或者省人民政府批准执行抢险救灾任务的车辆免缴车辆通行费。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十二条 在汛期气象、水文部门必须及时向各级防汛指挥机构提供实时气象、水文信息电信部门应当优先提供防汛抗洪通信的服务运输、电力、物资材料供应等有关部门应当优先为防汛抗洪服务。县级以上人民政府防汛指挥机构根据气象、水文部门提供的信息通过新闻媒体等途径向社会发布汛情公告。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十三条 各级人民政府应当根据防汛抢险任务的需要储备必要的防汛抢险物资和资金。储备的防汛物资应当服从上级防汛指挥机构的统一调度。在紧急防汛期防汛指挥机构根据防汛抗洪的需要有权在其管辖范围内调用物资、设备、交通运输工具和人力决定采取取土占地、砍伐林木、清除阻水障碍物和其他必要的紧急措施必要时公安、交通运输等有关部门按照防汛指挥机构的决定依法实施陆地和水面交通管制。依照前款规定调用的物资、设备、交通运输工具等在汛期结束后应当及时归还造成损坏或者无法归还的按照有关规定给予适当补偿或者作其他处理。取土占地、砍伐林木的在汛期结束后依法向有关部门补办手续当地人民政府对取土后的土地组织复垦对砍伐的林木组织补种。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十四条 与防洪有关的水利工程设施采取承包、租赁、股份制或者股份合作制等方式经营的经营者应当承担相应的防洪责任服从防汛指挥机构的防汛调度和监督管理负责工程的安全运行不得降低防汛排水等原设计的基本功能。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十五条 各级人民政府应当按照防洪规划安排防洪工程年度计划并筹措所需资金提高防洪投入的总体水平。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十六条 防洪资金主要用于下列事项设施的建设、维护和修复
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十七条 江河、湖泊的治理和防洪工程设施的建设和维护所需资金按照事权和财权相统一的原则由国家和省、市州、县市、区财政分级承担。城市防洪工程设施的建设和维护所需资金由城市人民政府承担。受洪水威胁地区的铁路、公路、民用机场、矿山、电力、电信、油田、管道等企业、事业单位应当自筹资金根据防洪规划和国家防洪标准的要求兴建防洪自保工程。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十八条 防洪资金必须专款专用任何单位和个人不得截留、挪用防洪、救灾资金和物资。县级以上人民政府审计机关和财政部门应当加强对防洪资金使用情况的监督。
甘肃省实施《中华人民共和国防洪法》办法,,,,,第三十九条 任何单位和个人都有参加防汛抗洪的义务。在遇到防洪抢险等紧急任务时经当地人民政府批准可以临时调用农村和城镇劳动力。
