文件名,编,分编,章,节,内容
益阳市农村村民住房建设管理条例,,,第一章 总则,,第一条 为规范农村村民住房建设及其管理节约集约利用土地改善农村人居环境促进乡村振兴根据相关法律法规结合本市实际制定本条例。
益阳市农村村民住房建设管理条例,,,第一章 总则,,第二条 本条例适用于本市行政区域内城镇开发边界以外集体土地上农村村民住房的新建、改建、扩建及其监督管理。
益阳市农村村民住房建设管理条例,,,第一章 总则,,第三条 农村村民住房建设及其管理应当遵循规划先行、先批后建、一户一宅、相对集中的原则。
益阳市农村村民住房建设管理条例,,,第一章 总则,,第四条 市、县市、区人民政府组织领导本行政区域内农村村民住房建设工作并将村庄规划和示范图集编制、集中居住区公共配套设施建设、建筑风格奖励和补助、执法管理等经费纳入本级财政预算。乡镇人民政府在本行政区域内负责农村村民住房建设的管理、监督和服务工作根据法律、法规授权以及县市、区人民政府有关部门的委托开展村民住房建设执法管理工作。村民委员会应当协助乡镇人民政府做好本村区域内村民住房建设管理和服务工作。
益阳市农村村民住房建设管理条例,,,第一章 总则,,第五条 市、县市、区人民政府农业农村主管部门负责农村村民住房建设的宅基地监督管理服务工作。市、县市、区人民政府自然资源和规划主管部门负责农村村民住房建设的规划、土地利用计划、农用地转用和房屋权属登记等监督管理服务工作。市、县市、区人民政府住房和城乡建设主管部门负责农村村民住房建设的设计、施工等监督管理服务工作。市、县市、区人民政府财政、交通运输、生态环境、水利、林业等部门按照各自职责做好农村村民住房建设的相关管理服务工作。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第六条 村庄规划由乡镇人民政府组织编制。编制村庄规划应当结合乡镇、村人口变化情况以及人居环境现状兼顾中长期发展需要尊重村民意愿科学合理布局体现地方特色保护自然生态环境和历史文化资源符合生态文明建设要求。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第七条 村庄规划应当经村民会议或者村民代表会议讨论同意后由乡镇人民政府报上级人民政府审批。经批准的村庄规划应当严格执行不得擅自修改。确需修改的应当依照法定程序组织修改。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第八条 农村村民住房建设应当符合村庄规划避开地质灾害隐患区、滞行洪区等危险区域。禁止在下列区域进行农村村民住房建设
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第九条 在公路沿线建设住房的其房屋边缘与公路边沟外缘的间距为国道不少于二十米省道不少于十五米县道不少于十米乡道不少于五米。在高速公路沿线建设住房的其房屋边缘与高速公路隔离栅栏的间距不少于三十米。在铁路沿线两侧建设住房的其房屋边缘与最外侧轨道的中心线的距离不少于五十米。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第十条 农村村民一户只能拥有一处宅基地。每一户宅基地占地面积使用耕地不超过一百三十平方米使用荒山荒地不超过二百一十平方米使用原宅基地等其他土地不超过一百八十平方米。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第十一条 农村村民住房建设用地实行计划管理。县市、区人民政府每年应当优先安排农村村民住房建设用地计划指标保障村民住房建设用地需求。
益阳市农村村民住房建设管理条例,,,第二章 规划与用地管理,,第十二条 允许进城落户的村民依法自愿有偿退出宅基地鼓励农村集体经济组织及其成员盘活利用闲置宅基地和闲置住宅。
