文件名,编,分编,章,节,内容
石嘴山市湿地保护条例,,,,,第一条 为了加强湿地保护维护湿地生态功能及生物多样性促进湿地资源可持续利用根据《中华人民共和国湿地保护法》等法律、法规结合本市实际制定本条例。
石嘴山市湿地保护条例,,,,,第二条 本市行政区域内湿地的保护、利用、修复以及相关管理等活动适用本条例。
石嘴山市湿地保护条例,,,,,第三条 市、县区人民政府对本行政区域内的湿地保护负责将湿地保护纳入国民经济和社会发展规划、国土空间规划。湿地保护工作所需经费按照事权划分原则列入预算。市、县区人民政府应当建立湿地保护目标责任制将湿地面积总量管控目标等湿地保护情况纳入生态文明和综合绩效评价内容。乡镇人民政府、街道办事处组织群众做好湿地保护相关工作村居民委员会予以协助。
石嘴山市湿地保护条例,,,,,第四条 市、县区人民政府自然资源主管部门负责湿地保护、利用、修复的监督管理工作。市、县区人民政府水行政主管部门负责河流、湖泊、拦洪库、蓄滞洪区范围内湿地的管理、保护和修复合理配置水资源保障湿地基本生态用水需求。发展改革、财政、住房城乡建设、生态环境、农业农村、文化体育旅游广电等部门按照职责分工做好湿地保护、修复、管理相关工作。
石嘴山市湿地保护条例,,,,,第五条 鼓励单位和个人依法通过捐赠、资助、志愿服务等方式参与湿地保护活动。
石嘴山市湿地保护条例,,,,,第六条 市、县区人民政府自然资源主管部门应当会同有关部门依据国民经济和社会发展规划、国土空间规划、生态环境保护规划和上一级湿地保护规划编制本行政区域内的湿地保护规划报本级人民政府批准后组织实施。经批准的湿地保护规划确需调整的应当按照原批准程序办理。编制湿地保护规划应当遵循自然生态规律科学合理体现本地区特色。湿地保护规划应当与流域综合规划、防洪规划、水资源规划等相衔接。
石嘴山市湿地保护条例,,,,,第七条 沙湖、星海湖、简泉湖、天河湾等重要湿地的管理按照国家和自治区的有关规定执行。重要湿地以外的湿地为一般湿地。一般湿地名录及范围的确定和调整由市、县区人民政府自然资源主管部门会同有关部门提出报本级人民政府批准并发布同时确定每个湿地的管护责任单位。湿地管护责任单位应当履行下列义务并配合湿地保护执法工作案
石嘴山市湿地保护条例,,,,,第八条 市、县区人民政府自然资源主管部门应当按照确定的湿地范围设立湿地保护标志。任何单位和个人不得擅自设置、移动、涂改或者损毁湿地保护标志。
石嘴山市湿地保护条例,,,,,第九条 建设项目选址、选线应当避让湿地无法避让的应当尽量减少占用并采取必要措施减轻对湿地生态功能的不利影响建设项目规划选址、选线审批或者核准时涉及一般湿地的应当按照管理权限征求市、县区人民政府自然资源主管部门的意见。因防洪抢险等突发事件需要占用一般湿地的依照有关法律、法规的规定执行。
石嘴山市湿地保护条例,,,,,第十条 建设项目确需临时占用一般湿地的依照有关法律、法规的规定办理。临时占用湿地的期限一般不得超过二年并不得在临时占用的湿地上修建永久性建筑物。临时占用湿地期满后一年内用地单位或者个人应当恢复湿地面积和生态条件并报原批准部门验收。
石嘴山市湿地保护条例,,,,,第十一条 市、县区人民政府自然资源主管部门应当加强一般湿地动态监测开展评估和预警工作。水行政、生态环境等部门在职责范围内做好湿地水资源、水环境质量的监测、预警工作。自然资源、生态环境、水行政等有关主管部门应当建立湿地监测信息共享机制发布湿地相关信息实现数据共享。禁止侵占、损毁或者擅自移动、改变湿地监测设施和设备。
石嘴山市湿地保护条例,,,,,第十二条 禁止下列破坏湿地及其生态功能的行为源及其他污染湿地的废水、污水倾倒、堆放、丢弃、遗撒固体废物式捕捞过度施肥、投药、投放饵料等污染湿地的种植养殖行为
石嘴山市湿地保护条例,,,,,第十三条 市、县区人民政府应当统筹协调湿地保护和湿地经济发展按照事权划分原则加强对湿地利用活动的分类指导鼓励开展符合湿地保护要求和湿地保护规划的生态体验、生态旅游、生态农业、科研监测、教育宣传等活动适度控制种植养殖等湿地利用规模。开展观鸟、科学研究以及科普活动等应当保持安全距离避免影响鸟类正常觅食和繁殖。市、县区人民政府应当充分考虑湿地生态功能需要引导、扶持单位和个人依法、科学利用湿地周边资源推动湿地周边地区绿色发展。
石嘴山市湿地保护条例,,,,,第十四条 市、县区人民政府对破碎化严重或者功能退化的自然湿地进行综合整治和修复经科学论证对具备恢复条件的湿地因地制宜采取措施恢复湿地生态功能。
石嘴山市湿地保护条例,,,,,第十五条 湿地修复应当按照批准的湿地保护规划、湿地修复方案实施符合国家和自治区有关湿地保护的标准和技术规范维持湿地区域生物多样性及湿地生态系统结构与功能的完整性不得破坏或者影响野生动物栖息环境、破坏自然景观和地质遗址等。
石嘴山市湿地保护条例,,,,,第十六条 违反本条例规定法律法规已有处罚规定的从其规定。
石嘴山市湿地保护条例,,,,,第十七条 违反本条例规定有下列行为之一的由县区人民政府自然资源主管部门予以处罚正逾期未改正的处以五百元以上五千元以下罚款的责令停止违法行为限期恢复原状逾期未恢复的处以五千元以上二万元以下罚款。
石嘴山市湿地保护条例,,,,,第十八条 违反本条例规定对湿地生态环境造成损害的由市、县区人民政府依法追究行为人的修复和赔偿责任。
石嘴山市湿地保护条例,,,,,第十九条 湿地保护行政主管部门、管理机构以及其他有关管理部门的工作人员违反本条例规定在湿地保护管理工作中滥用职权、玩忽职守、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
石嘴山市湿地保护条例,,,,,第二十条 本条例自 2025 年 1 月 1 日起施行。
