文件名,编,分编,章,节,内容
石家庄市医疗卫生设施规划建设管理条例,,,,,第一条 为了加强医疗卫生设施规划和建设管理合理配置和有效利用医疗卫生资源满足人民群众医疗卫生服务需求促进医疗卫生事业发展根据《中华人民共和国城乡规划法》、《中华人民共和国土地管理法》、《中华人民共和国基本医疗卫生与健康促进法》等有关法律、法规结合本市实际制定本条例。
石家庄市医疗卫生设施规划建设管理条例,,,,,第二条 本市行政区域内医疗卫生设施的规划、建设和管理适用本条例。本条例所称医疗卫生设施是指由各级人民政府或者社会资本投资建设的为社会提供医疗和公共卫生服务的医疗卫生机构的建筑物及其附属配套设施。医疗卫生设施的规划、建设和管理应当遵循统筹安排、合理布局、配置优化、平急结合、方便群众的原则。
石家庄市医疗卫生设施规划建设管理条例,,,,,第三条 县级以上人民政府应当加强对本行政区域内医疗卫生设施的规划、建设和管理工作领导将医疗卫生设施的规划、建设和管理工作纳入国民经济和社会发展规划协调解决相关重大问题。
石家庄市医疗卫生设施规划建设管理条例,,,,,第四条 县级以上人民政府卫生健康主管部门会同有关部门负责本条例的组织实施。发展改革、财政、自然资源和规划、生态环境、住房城乡建设、行政审批等部门应当按照各自职责做好医疗卫生设施的规划、建设和管理相关工作。
石家庄市医疗卫生设施规划建设管理条例,,,,,第五条 任何单位和个人有权举报违反医疗卫生设施规划、建设和管理的行为相关部门应当及时受理并组织查处。
石家庄市医疗卫生设施规划建设管理条例,,,,,第六条 县级以上人民政府卫生健康主管部门应当按照职责权限会同自然资源和规划部门依据国土空间规划编制本级医疗卫生设施规划并与医疗卫生服务体系规划相衔接。
石家庄市医疗卫生设施规划建设管理条例,,,,,第七条 医疗卫生设施规划应当明确适用期限、范围和医疗卫生设施的总体布局、设置标准、建设用地保障及其他相关内容。
石家庄市医疗卫生设施规划建设管理条例,,,,,第八条 编制医疗卫生设施规划应当充分调查研究综合考虑规划行政区域内的城乡发展、人口居住状况、医疗需求等因素合理规划医疗卫生资源的分配和布局。
石家庄市医疗卫生设施规划建设管理条例,,,,,第九条 医疗卫生设施规划应当报同级人民政府批准后实施。经批准的医疗卫生设施规划应当严格执行不得擅自修改因城市总体规划调整、国家医疗卫生资源配置政策调整、突发重大公共卫生事件和其他公共利益需要确需修改的应当按照原批准程序办理。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十条 自然资源和规划部门应当按照医疗卫生设施规划确定的用地要求核定医疗卫生设施建设用地的区位和规模。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十一条 县级以上人民政府应当将医疗卫生设施建设用地纳入土地利用总体规划。非营利性医疗卫生设施建设用地由政府划拨营利性医疗卫生设施建设用地以出让方式取得。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十二条 任何单位和个人不得擅自改变医疗卫生设施建设用地的性质和用途因城市基础设施建设等公共利益需要确需改变的应当征求卫生健康主管部门意见调整后的医疗卫生设施规划用地应当在适当区域配置保障医疗卫生设施的用地规模、功能和便民需要并按照法定程序做好规划调整相关工作。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十三条 县级以上人民政府应当加大对医疗卫生设施建设的投入公共卫生设施和政府举办的非营利性医疗卫生设施的建设资金由政府财政予以保障。鼓励和引导社会资本投资建设医疗卫生设施。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十四条 提供基本医疗卫生服务的社区卫生服务中心
石家庄市医疗卫生设施规划建设管理条例,,,,,第十五条 本条例第十四条规定以外的综合医院、专科医院、中医医院和公共卫生机构等医疗卫生设施的建设应当符合国家、行业建设标准。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十六条 建设医疗卫生设施应当符合抗震、消防和环保等标准并建设与其医疗卫生服务能力相适应的停车场、医疗废物收集和无障碍等附属配套设施。附属配套设施建设应当与主体工程同时设计、同时施工、同时投入使用。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十七条 医疗卫生设施建设用地内不得建设与医疗卫生无关的建筑物、构筑物或者其他设施。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十八条 建设医疗卫生设施应当远离下列场所和设施使用、经营场所或者设施施。
石家庄市医疗卫生设施规划建设管理条例,,,,,第十九条 新建的居民住宅小区根据国家和本省有关规定配套建设的社区卫生服务设施应当与建设项目同步规划、同步建设、同步验收、同步交付。
石家庄市医疗卫生设施规划建设管理条例,,,,,第二十条 居民住宅项目配建医疗卫生设施经验收合格后按照有关规定或者合同约定移交辖区人民政府由卫生健康主管部门管理使用。
石家庄市医疗卫生设施规划建设管理条例,,,,,第二十一条 卫生健康、自然资源和规划、住房城乡建设等有关部门工作人员玩忽职守、滥用职权、徇私舞弊的由有关机关依法给予处分构成犯罪的依法追究刑事责任。
石家庄市医疗卫生设施规划建设管理条例,,,,,第二十二条 违反本条例规定的行为法律、法规已有法律责任规定的从其规定。
石家庄市医疗卫生设施规划建设管理条例,,,,,第二十三条 本条例自 2025 年 5 月 1 日起施行。
