文件名,编,分编,章,节,内容
福州市河道采砂管理办法,,,,,第一条 为了加强河道采砂管理确保福州市江河防洪安全根据《中华人民共和国防洪法》、《中华人民共和国水法》、《中华人民共和国矿产资源法》等法律、法规结合本市实际制定本办法。
福州市河道采砂管理办法,,,,,第二条 本办法适用于福州市行政区域内的江河、溪流、湖泊范围内的采砂包括吹砂、挖砂、采石、取土、淘金管理。
福州市河道采砂管理办法,,,,,第三条 福州市水行政主管部门负责本市河道采砂的统一管理。各县市、区水行政主管部门按照职责分工负责本辖区内的河道采砂管理。
福州市河道采砂管理办法,,,,,第四条 河道采砂必须服从河道整治规划保持河势稳定确保行洪及岸滩安全。
福州市河道采砂管理办法,,,,,第五条 市、县市、区水行政主管部门应当根据河道防洪安全的要求会同航道、国土资源等部门共同制订河道采砂规划。河道采砂规划经法定程序批准并向社会公布后实施。
福州市河道采砂管理办法,,,,,第六条 河道采砂实行年度开采总量控制制度。年度开采总量应当逐年递减。水行政主管部门确定的年度采砂总量不得超过河道采砂规划规定的年度采砂控制总量。对每一可采区确定的年度采砂量不得超过该可采区的年度采砂控制数量。
福州市河道采砂管理办法,,,,,第七条 从事河道采砂的应当依法取得河道采砂许可但公民个人自采自用少量砂石的除外。
福州市河道采砂管理办法,,,,,第八条 申请从事河道采砂的应当具备下列条件
福州市河道采砂管理办法,,,,,第九条 河道采砂许可通过招标、拍卖等方式取得。水行政主管部门在组织招标、拍卖前应当征求海事、航道、国土资源等部门的意见。按照招标、拍卖程序确定中标人、买受人后应当作出准予许可的决定在十日内向中标人、买受人发放河道采砂许可证并对其采砂船舶予以登记备案。
福州市河道采砂管理办法,,,,,第十条 河道采砂实行分级许可门许可政主管部门许可。
福州市河道采砂管理办法,,,,,第十一条 河道采砂许可证有效期最长不得超过一年有效期内采砂量达到核定开采数量的发证机关应当注销其河道采砂许可证。禁止伪造、涂改、出租、转让河道采砂许可证。
福州市河道采砂管理办法,,,,,第十二条 河道采砂必须按照许可证核定的范围、数量、作业方式和作业时间进行。采砂作业者应当在采砂作业地点设立明显标志保障通航安全采集的砂石应当在批准的场所内堆放砂石弃碴应当及时清除。河道采砂不得影响航道畅通禁止在航道上堆放砂石。
福州市河道采砂管理办法,,,,,第十三条 水行政主管部门依法收取的河道采砂规费应当主要用于河道、堤防的维护、建设和管理。
福州市河道采砂管理办法,,,,,第十四条 下列范围内禁止采砂围内
福州市河道采砂管理办法,,,,,第十五条 禁止采砂船舶在禁采区停泊。未取得采砂许可的采砂船舶应当在水行政主管部门指定地点集中停泊需离开指定地点的应当向水行政主管部门备案。
福州市河道采砂管理办法,,,,,第十六条 禁止运砂船舶在闽江下游北港河段通航。运输河砂实行准运制度。运砂船舶、车辆应当持有水行政主管部门核发的河砂准运单并按核定的数量、线路、时间运砂。
福州市河道采砂管理办法,,,,,第十七条 水行政主管部门应当按照河道采砂规划规定的年度采砂控制总量要求加强对河道采砂活动的监督和管理及时查处河道采砂违法行为。
福州市河道采砂管理办法,,,,,第十八条 整治河道挖取砂石涉及航道的应当兼顾航运需要并事先征求航道主管部门的意见整治航道挖取砂石应当符合福州市防洪安全需要并事先征求水行政主管部门的意见。如意见不能协商一致时应当报请同级人民政府协调或者裁决。
福州市河道采砂管理办法,,,,,第十九条 违反本办法第七条、第十四条规定未取得河道采砂许可证擅自在河道管理范围内采砂或者在禁采范围内采砂的由水行政主管部门责令停止违法行为扣押违法采砂船舶和违法采砂机具没收违法所得并处以十万元以上三十万元以下的罚款情节严重的没收违法采砂船舶和违法采砂机具构成犯罪的依法追究刑事责任。
福州市河道采砂管理办法,,,,,第二十条 违反本办法第十一条第二款规定的由水行政主管部门没收违法所得并处以一万元以上五万元以下的罚款收缴其河道采砂许可证构成犯罪的依法追究刑事责任。
福州市河道采砂管理办法,,,,,第二十一条 违反本办法第十二条第一款规定的由水行政主管部门责令停止违法行为没收违法所得并处以一万元以上五万元以下的罚款情节严重的吊销其河道采砂许可证。
福州市河道采砂管理办法,,,,,第二十二条 违反本办法第十二条第二款、第三款规定的由水行政主管部门责令停止违法行为限期清除障碍逾期拒不改正的处以一万元以上五万元以下的罚款情节严重的可扣押违法采砂船舶。
福州市河道采砂管理办法,,,,,第二十三条 违反本办法第十五条规定的由水行政主管部门责令其改正情节严重的扣押采砂船舶并处以一万元以上三万元以下的罚款。
福州市河道采砂管理办法,,,,,第二十四条 违反本办法第十六条第一款规定的由海事部门依照相关法律法规予以处罚。违反本办法第十六条第二款规定的由水行政主管部门扣押违法运砂船舶、车辆并处以一万元以上十万元以下的罚款。
福州市河道采砂管理办法,,,,,第二十五条 水行政主管部门和其他有关部门及其工作人员有下列行为之一的对负有责任的主管人员和其他直接责任人员给予行政处分构成犯罪的依法追究刑事责任
福州市河道采砂管理办法,,,,,第二十六条 本办法自公布之日起施行。
