文件名,编,分编,章,节,内容
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第一条 为明确企业事业单位以下简称单位保卫工作责任维护单位治安秩序保障单位工作和生产的顺利进行根据国家有关规定制定本条例。
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第二条 保卫工作是单位管理的重要组成部分实行厂长、经理包括校长、院长、所长等以下简称行政领导负责的原则贯彻依靠群众预防为主确保重点保障安全的方针。
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第三条 单位保卫工作的主要任务是维护单位治安秩序预防违法犯罪和治安灾害事故的发生保护国家、集体和职工生命财产的安全。
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第四条 各级人民政府应加强对单位保卫工作的领导。单位主管机关应负责督促检查单位的保卫工作。
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第五条 单位应根据实际情况建立健全与本单位保卫工作相适应的保卫组织配备保卫人员并报县区或市公安机关备案。保卫组织的设立或撤销保卫人员的配备或调动均应征求县区或市公安机关的意见。
福建省企业事业单位保卫工作责任条例,,,第一章 总 则,,第六条 本条例由公安机关负责监督实施。
福建省企业事业单位保卫工作责任条例,,,第二章 行政领导责任,,第七条 单位行政领导应负责组织制定本单位保卫工作制度建立健全保卫工作责任制并组织实施。单位保卫工作制度应经职工代表大会或者职工大会讨论通过报县区或市公安机关备案。
福建省企业事业单位保卫工作责任条例,,,第二章 行政领导责任,,第八条 单位行政领导应督促有关部门和人员建立健全门卫、值班、会客、保密等制度加强对现金、票证、贵重物品、重要物资、机密资料、枪支弹药、易燃易爆物品等的管理。
福建省企业事业单位保卫工作责任条例,,,第二章 行政领导责任,,第九条 单位行政领导应结合任期目标责任制部署保卫工作做到业务活动与保卫工作同部署、同检查、同考核、同奖惩。
福建省企业事业单位保卫工作责任条例,,,第二章 行政领导责任,,第十条 单位行政领导应定期检查本单位的保卫工作解决保卫工作中存在的问题发现内部治安隐患应及时组织消除本单位无法消除的经公安机关检查确认后应及时向主管机关报告并应采取必要的防范措施。
福建省企业事业单位保卫工作责任条例,,,第二章 行政领导责任,,第十一条 单位行政领导应定期组织人事、劳工、宣传、保卫、保密等部门对职工进行法纪、安全、保密教育。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十二条 单位保卫组织应对单位行政领导负责依靠职工做好保卫工作维护单位治安秩序贯彻执行公安机关依法规定的任务。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十三条 单位保卫组织要加强本单位保卫工作的管理对妨碍单位治安秩序的行为应依法制止。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十四条 单位保卫组织应检查本单位各部门的保卫工作发现内部治安隐患督促其限期消除并向行政领导报告。单位各部门应配合保卫组织做好保卫工作对本部门存在的内部治安隐患应及时消除无法消除的应及时报告行政领导和保卫组织并采取必要的防范措施。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十五条 单位保卫组织应协助当地公安机关加强单位流动人口的管理。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十六条 单位保卫组织对本单位发生的刑事案件和治安灾害事故应按规定向单位行政领导和公安机关报告发生重大刑事案件和重大治安灾害事故应保护现场积极协助公安机关查处。
福建省企业事业单位保卫工作责任条例,,,第三章 保卫组织责任,,第十七条 单位保卫人员应忠于职守履行职责不徇私情依法办事。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第十八条 单位保卫工作人人有责职工应自觉遵守保卫工作制度严守岗位发现内部治安隐患及时报告。单位应建立健全治安保卫委员会开展群众性的治安保卫工作监督单位保卫工作制度的执行。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第十九条 各级人民政府应定期听取公安机关关于单位保卫工作情况的汇报及时解决单位保卫工作中的主要问题。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第二十条 单位主管机关应组织单位搞好保卫工作督促单位建立健全保卫工作制度完善保卫工作体系。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第二十一条 公安机关应负责审查单位保卫工作制度发现与国家法律、法规相抵触的及时予以纠正。公安机关应协助单位培训保卫工作人员指导单位搞好保卫工作。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第二十二条 公安机关可以单独或者会同单位主管机关定期对单位保卫工作进行检查发现内部治安隐患应令其限期消除。公安机关对已经确认的单位不能消除的内部治安隐患应督促有关部门消除并视情向同级人民政府和上级公安机关报告。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第二十三条 各级人民政府和单位主管机关对单位报告的内部治安中不能消除的隐患应及时妥善解决。久拖不决造成严重后果的应追究主管人员的责任。
福建省企业事业单位保卫工作责任条例,,,第四章 监督管理,,第二十四条 单位保卫工作的业务经费应纳入本单位的财务预算。
福建省企业事业单位保卫工作责任条例,,,第五章 奖 惩,,第二十五条 对贯彻执行本条例成绩显著的单位或者个人由单位或者主管机关、公安机关、人民政府给予表彰、奖励。
福建省企业事业单位保卫工作责任条例,,,第五章 奖 惩,,第二十六条 违反本条例有下列行为之一的应分别情况由本单位或者主管机关给予批评教育、行政处分或者罚款。度的上述行为造成财产损失的应依法承担赔偿责任。
福建省企业事业单位保卫工作责任条例,,,第五章 奖 惩,,第二十七条 对单位职工的行政处分或者罚款按《企业职工奖惩条例》规定执行。但在作出处罚决定前应征求本单位工会的意见作出处罚决定后单位工会如有不同意见可以要求复议并可向上级工会和同级劳动管理机关反映。
福建省企业事业单位保卫工作责任条例,,,第五章 奖 惩,,第二十八条 对负有直接责任的单位行政领导的行政处分或者罚款由公安机关提出意见单位主管机关决定或者按照干部管理权限报上级机关决定。发生争议时由作出决定的机关的同级人民政府裁决。
福建省企业事业单位保卫工作责任条例,,,第五章 奖 惩,,第二十九条 本条例第二十六条规定的各项行为违反《中华人民共和国治安管理处罚条例》的由公安机关依照《治安管理处罚条例》予以处罚构成犯罪的由司法机关依法追究刑事责任。
福建省企业事业单位保卫工作责任条例,,,第六章 附 则,,第三十条 机关、团体、中外合资经营企业、中外合作经营企业和外资企业的保卫工作以及乡镇企业的保卫工作应参照本条例执行。
福建省企业事业单位保卫工作责任条例,,,第六章 附 则,,第三十一条 本条例的应用解释权属福建省公安厅。
