文件名,编,分编,章,节,内容
福建省房屋使用安全管理条例,,,第一章 总 则,,第一条 为了统筹发展和安全加强房屋使用安全管理保护公民、法人和其他组织的人身、财产安全维护公共安全和社会秩序根据有关法律、行政法规结合本省实际制定本条例。
福建省房屋使用安全管理条例,,,第一章 总 则,,第二条 本省行政区域内已建成各类房屋的使用安全及其监督管理适用本条例。文物保护单位、历史建筑、风景名胜区、自然保护区、宗教活动场所、传统风貌建筑、人防工程等范围内的房屋使用安全管理房屋的消防、电梯、供水、供电、供热、燃气、通讯、防雷、抗震等专业设施设备的使用安全管理以及违法建设的调查处置法律、法规对其另有规定的从其规定。
福建省房屋使用安全管理条例,,,第一章 总 则,,第三条 房屋使用安全管理遵循预防为主、防治结合、责任明晰、属地管理、安全使用的原则。
福建省房屋使用安全管理条例,,,第一章 总 则,,第四条 县级以上地方人民政府负责本行政区域内房屋使用安全管理工作的组织领导建立房屋使用安全监督管理部门职责分工协调机制统筹解决房屋使用安全管理中的重大问题督促有关部门依法履行监督管理职责。
福建省房屋使用安全管理条例,,,第一章 总 则,,第五条 县级以上地方人民政府住房和城乡建设主管部门负责指导、协调和监督本行政区域内的房屋使用安全管理工作。县级以上地方人民政府发展改革、自然资源、应急管理等有关部门在各自职责范围内做好房屋使用安全监督管理。
福建省房屋使用安全管理条例,,,第一章 总 则,,第六条 房屋安全鉴定、工程建设质量安全、装饰装修、物业管理等行业协会应当加强行业自律协助有关部门做好房屋使用安全管理工作。
福建省房屋使用安全管理条例,,,第一章 总 则,,第七条 地方各级人民政府应当组织开展宣传教育提高公民、法人和其他组织的房屋使用安全意识。任何单位和个人有权投诉、举报危害房屋使用安全的行为。县级以上地方人民政府应当建立和完善房屋使用安全投诉处理机制有关部门应当及时受理、依法处理。
福建省房屋使用安全管理条例,,,第二章 监督管理,,第八条 县级以上地方人民政府应当加强对下级人民政府房屋使用安全管理工作的监督并将房屋安全隐患排查、危险房屋治理等房屋使用安全管理工作作为地方各级人民政府安全生产工作的考核内容。
福建省房屋使用安全管理条例,,,第二章 监督管理,,第九条 设区的市、县市、区人民政府履行下列职责承重结构类型制定改造、修缮等指导意见实施差异化分类管理测金、物资、技术、人员的投入保障
福建省房屋使用安全管理条例,,,第二章 监督管理,,第十条 各有关部门应当依法履行下列房屋使用安全管理职责的政策和技术标准开展本辖区的城市危险房屋管理工作指导农村住房安全、危房改造工作组织开展既有房屋结构安全性问题排查整治对房屋安全鉴定活动实施监督管理等工作律、法规的行为进行监督管理并督促指导有关部门或者乡镇人民政府、街道办事处做好地质灾害风险排查调工作指导用作工矿商贸生产经营场所的房屋使用安全管理全管理以及房屋安全突发事件应急救援工作息化建设等相关工作内其他教育机构的房屋使用安全管理培训机构的房屋使用安全管理场所的房屋使用安全管理产、销售企业生产经营场所的房屋使用安全管理内用作运输经营及管理的房屋使用安全管理构、救助机构等民政服务机构和设施的房屋使用安全管理和旅游设施、艺术职业院校的房屋使用安全管理施、体育职业院校和各级体校的房屋使用安全管理法规的行为进行监督管理场所的房屋使用安全管理所的房屋使用安全管理用房的房屋使用安全管理全管理用安全管理指导监督工作。对新兴行业、领域的房屋使用安全监督管理职责不明确的由县级以上地方人民政府按照业务相近的原则确定监督管理部门。
