文件名,编,分编,章,节,内容
科学技术档案工作条例,,,第一章 总则,,第一条 为了建立、健全科学技术档案工作完整地保存和科学地管理科学技术档案以下简称科技档案充分发挥科技档案在社会主义现代化建设中的作用特制定本条例。
科学技术档案工作条例,,,第一章 总则,,第二条 科技档案是指在自然科学研究、生产技术、基本建设以下简称科研、生产、基建等活动中形成的应当归档保存的图纸、图表、文字材料、计算材料、照片、影片、录像、录音带等科技文件材料。
科学技术档案工作条例,,,第一章 总则,,第三条 科技档案工作是生产管理、技术管理、科研管理的重要组成部分各工业、交通、基建、科研、农林、军事、地质、测绘、水文、气象、教育、卫生等单位以下简称各单位都应当把科技档案工作纳入生产管理工作、技术管理工作、科研管理工作之中加强领导。
科学技术档案工作条例,,,第一章 总则,,第四条 各单位应当按照集中统一管理科技档案的基本原则建立、健全科技档案工作达到科技档案完整、准确、系统、安全和有效利用的要求。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第五条 各单位应当建立、健全科技文件材料的形成、积累、整理、归档制度做到每一项科研、生产、基建等活动都有完整、准确、系统的科技文件材料归档保存。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第六条 各单位应当把科技文件材料的形成、积累、整理和归档纳入科技工作程序和科研、生产、基建等计划中列入有关部门和有关人员的职责范围。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第七条 各单位在对每一项科研成果、产品试制、基建工程或其他技术项目进行鉴定、验收的时候要有科技档案部门参加对应当归档的科技文件材料加以验收。没有完整、准确、系统的科技文件材料的项目不能验收。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第八条 一个科研课题、一个试制产品、一项工程或其他技术项目在完成或告一段落以后必须将所形成的科技文件材料加以系统整理组成保管单位填写保管期限注明密级由课题负责人、产品试制负责人、工程负责人等审查后及时归档。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第九条 凡是需要归档的科技文件材料都应当做到书写材料优良、字迹工整、图样清晰有利于长久保存。
科学技术档案工作条例,,,第二章 科技文件材料的形成和归档,,第十条 科技档案部门有责任检查和协助科技人员做好科技文件材料的形成、积累、整理和归档的工作。
科学技术档案工作条例,,,第三章 科技档案的管理,,第十一条 科技档案部门对接收来的科技档案应当进行分类、编目、登记、统计和必要的加工整理。国务院所属各工业、交通、科研、基建等专业主管机关以下简称专业主管机关应当拟定本专业系统的科技档案分类大纲。
