文件名,编,分编,章,节,内容
秦皇岛市沿海防护林条例,,,第一章 总 则,,第一条 为了践行绿水青山就是金山银山理念加强沿海防护林的规划、建设、管理和保护保障沿海防护林生态安全改善沿海生态环境建设生态文明根据《中华人民共和国森林法》《中华人民共和国环境保护法》等有关法律、法规结合本市实际制定本条例。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第二条 本条例所称沿海防护林是指在本市海岸高潮线起向陆地延伸一千米范围内和本市沿海国有林场范围内建立的以防风固沙、水土保持和生物多样性保护为主要功能的沿海森林生态防御体系具体边界范围由《秦皇岛市沿海防护林保护利用规划》界定。除上述范围外符合全国沿海防护林体系建设工程规划的纵深防护林应当纳入《秦皇岛市沿海防护林保护利用规划》依据国家、省有关法律、法规规定落实建设、管理和保护措施。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第三条 沿海防护林规划、建设、管理和保护实行政府主导、社会参与、生态优先、统一规划、科学管理、严格保护的原则确保沿海防护林生态功能不降低、森林资源不减少。自然保护区、风景名胜区、森林公园、湿地公园等各类保护地内沿海防护林的保护应当同时符合各类保护地的有关法律、法规规定保护标准不一致的应当按照就高不就低的原则执行最严格的规定。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第四条 市、县区人民政府应当将沿海防护林的建设、管理和保护纳入本级国民经济和社会发展规划调整完善财政、投资、产业等配套政策并将建设、管理和保护经费纳入本级财政预算。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第五条 各级人民政府对沿海防护林的建设、管理和保护实行以森林保有量和森林质量为主要内容的目标管理责任制。沿海防护林建设、管理和保护工作成效纳入人民政府领导任期考核内容。市、县区人民政府应当每年 12 月份向本级人民代表大会常务委员会报告当年沿海防护林资源变化和建设、管理、保护工作开展情况。涉及林地转为建设用地的应当在报告中详细说明。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第六条 市、县区林业行政主管部门负责本行政区域内的沿海防护林的规划、建设、管理和保护工作。生态环境、资源规划、海洋、水、应急等行政主管部门应当按照各自职责共同做好沿海防护林的规划、建设、管理和保护工作。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第七条 市、县区人民政府应当将沿海防护林建设纳入植树造林计划积极引导和支持社会力量通过植树造林、抚育管护、认建认养等方式参与沿海防护林建设应当开展沿海防护林科学研究和科普宣传活动推广应用先进技术提高沿海防护林的综合效能。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第八条 任何单位和个人都有保护沿海防护林的义务对破坏沿海防护林的违法行为有权制止和检举。
秦皇岛市沿海防护林条例,,,第一章 总 则,,第九条 在沿海防护林建设、管理和保护工作中成绩显著的单位和个人按照国家有关规定给予表彰、奖励。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十条 市林业行政主管部门应当会同资源规划行政主管部门编制市沿海防护林保护利用规划报市人民政府批准后执行。经批准的沿海防护林保护利用规划不得擅自调整确需调整的应当符合国家、省有关法律、法规和本条例规定并经市人民政府批准。沿海防护林保护利用规划应当依据本条例第二条、第十二条的规定界定保护范围和禁止开发区域。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十一条 县区林业行政主管部门应当依据市沿海防护林保护利用规划制定本行政区域沿海防护林保护利用实施方案经县区人民政府批准后执行并报市林业行政主管部门备案。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十二条 本市下列区域范围内的沿海防护林林地为禁止开发区域严禁不符合沿海防护林功能定位的各类开发建设活动地和划定为公益林的非国有有林地发的区域。本条例实施前前款第一项、第二项、第三项之外的沿海防护林林地已经办理了土地转用手续的可以不纳入禁止开发区域。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十三条 沿海防护林建设应当坚持生态优先的原则采取建设生态景观林的方式建成常绿树种与落叶树种互补、乔木林与灌木林并存、乔灌花草相结合的多树种、多类型、多景观、多功能的森林生态防御体系。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十四条 营造沿海防护林应当执行国家林业行政主管部门发布的有关造林技术规程做到适地适树、细致整地、良种壮苗、密度合理、精心栽植、适时抚育当年成活率应当不低于百分之八十五三年后保存率应当不低于百分之八十。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十五条 沿海防护林建设依据国家沿海防护林体系建设工程规划的标准实施确保沿海防护林断带补齐、窄带加宽、弱带加强。自本市海岸高潮线起向陆地延伸一千米范围内的非林地优先实施造林结合沟、渠、河堤、道路和农田林网等因地制宜完善林带建设。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十六条 市、县区人民政府应当加强沿海防护林的权属管理由不动产登记机构对林地和林地上的森林、林木的所有权、使用权统一登记造册核发证书。
秦皇岛市沿海防护林条例,,,第二章 规划与建设,,第十七条 市、县区人民政府应当建立造林补贴和森林生态效益补偿制度以多种方式对沿海防护林投资建设和管护者给予合理补贴、补偿逐步完善沿海防护林造林投入和管护方式。
