文件名,编,分编,章,节,内容
秦皇岛市电力设施保护条例,,,第一章 总 则,,第一条 为了保护电力设施保障电力建设、生产和供应维护公共利益和公共安全根据《中华人民共和国电力法》《电力设施保护条例》《河北省电力条例》等法律法规结合本市实际制定本条例。
秦皇岛市电力设施保护条例,,,第一章 总 则,,第二条 本条例所称电力设施是指本市行政区域内已建和在建的发电设施、变电设施、电力线路设施以及其他电力设施包括电力调度设施、电动汽车充电设施和电力交易设施等。
秦皇岛市电力设施保护条例,,,第一章 总 则,,第三条 市、县区人民政府应当加强对电力设施保护工作的领导建立完善综合协调和联合执法机制构建政府统一领导、企业依法保护、群众积极参与、全社会大力支持的工作格局。
秦皇岛市电力设施保护条例,,,第一章 总 则,,第四条 市、县区发展和改革部门是电力设施保护的行政主管部门负责本行政区域内电力设施保护的监督、检查、指导、协调和依法查处违法行为等工作。市、县区公安机关负责依法查处破坏电力设施、哄抢或者盗窃电力设施器材的违法犯罪行为。市、县区自然资源和规划、住房和城乡建设、交通运输、水、林业、市场监督管理、应急管理、城市管理综合执法等行政主管部门应当按照各自职责做好电力设施的保护工作。乡镇人民政府、街道办事处应当协助有关部门做好电力设施保护工作。
秦皇岛市电力设施保护条例,,,第一章 总 则,,第五条 电力企业应当保证供电质量符合国家标准。对公用供电设施引起的供电质量问题应当及时处理。电力企业以及其他电力设施所有权人或者管理人应当建立健全安全生产管理制度保证相关资金、技术、设备投入配齐机构和人员制定突发事件应急预案在电力设施遭到重大外力破坏或者发生电力安全事故时应当启动应急预案及时报告电力行政主管部门并尽快恢复电网运行和电力供应。电力企业以及其他电力设施所有权人或者管理人应当按照国家有关标准设置电力设施保护标志或者安全警示标志定期对电力线路、变压器、电表箱等电力设施进行巡视、维护、检修及时消除隐患、排除故障、处理事故保障电力设施的安全和正常运行并保持整洁有序符合市容管理相关规定。电力企业应当有针对性地制定旅游旺季以及重大节假日、重要活动期间保电方案并加强相关重要电力设施的巡视维护保障供电安全。
秦皇岛市电力设施保护条例,,,第一章 总 则,,第六条 电力设施受国家法律、法规保护。任何单位和个人都有保护电力设施安全的义务有权制止危害、破坏电力设施的行为并及时向电力行政主管部门、公安机关或者电力企业投诉、举报。电力行政主管部门和电力企业应当建立投诉、举报受理制度公开投诉、举报电话和电子邮箱等联系方式对投诉、举报及时作出处理。
秦皇岛市电力设施保护条例,,,第二章 电力设施的保护范围和保护措施,,第七条 法律、法规和国家电力行业标准对电力设施保护范围有规定的从其规定未规定的按照以下规定确定保护范围器、升压站以及塔桶等有关辅助设施光伏组件、控制器、蓄电池、升压站、逆变器及其有关辅助设施电站、公共充电桩、计量器及其有关辅助设施监视、复核、预警、信息发布等有关设施及其有关辅助设施。
秦皇岛市电力设施保护条例,,,第二章 电力设施的保护范围和保护措施,,第八条 任何单位和个人不得擅自移动、损坏依法设置的电力设施保护标志或者安全警示标志。
秦皇岛市电力设施保护条例,,,第二章 电力设施的保护范围和保护措施,,第九条 《中华人民共和国电力法》《电力设施保护条例》等法律、法规对危害电力设施的行为和电力设施保护区内的禁止性行为有规定的从其规定同时应当遵守本条例第十条、第十一条、第十二条和第十三条的规定。
秦皇岛市电力设施保护条例,,,第二章 电力设施的保护范围和保护措施,,第十条 任何单位和个人不得从事下列危害发电设施、变电设施、电动汽车充电设施和电力交易设施的行为电站内扰乱生产和工作秩序米区域内修建可能危及电力设施安全的建筑物、构筑物种植可能危及电力设施安全的植物开挖坑渠倾倒垃圾在围墙外侧5 米区域内堆放易燃易爆等可能危及电力设施安全的物品。未经批准在发电厂、变电站、换流站接地极址围墙内施放无人机电水库大坝、引水渠道、露天高压管保护区内倾倒有害化学物品修建可能危及电力设施安全的建筑物、构筑物堆放可能危及电力设施安全的物品发电、供电相关的输水、输油、输汽、供热、排灰设施的安全运行
