文件名,编,分编,章,节,内容
茂名市制定地方性法规条例,,,第一章 总则,,第一条 为规范地方立法活动完善立法程序提高立法质量根据《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国立法法》结合本市实际制定本条例。
茂名市制定地方性法规条例,,,第一章 总则,,第二条 本市制定、修改和废止地方性法规适用本条例。
茂名市制定地方性法规条例,,,第一章 总则,,第三条 制定地方性法规应当遵循立法法的基本原则坚持科学、民主、公开立法不与法律、行政法规和省地方性法规相抵触。制定地方性法规应当具体明确、注重实效符合本地实际突出地方特色具有可执行性。
茂名市制定地方性法规条例,,,第一章 总则,,第四条 市人民代表大会及其常务委员会加强对立法工作的组织协调发挥在立法工作中的主导作用。
茂名市制定地方性法规条例,,,第一章 总则,,第五条 立法经费纳入本级财政预算。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第六条 市人民代表大会常务委员会以下简称常务委员会通过立法规划和年度立法计划等形式加强对立法工作的统筹安排提高立法的及时性和针对性。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第七条 常务委员会编制立法规划和年度立法计划前应当向市人民代表大会代表市人民政府和各区、县级市人民代表大会常务委员会以及其他有关单位和社会公众征集立法建议项目。征集立法建议项目的时间应当不少于三十日。本市行政区域内的国家机关、各政党和各社会团体、各企业事业组织、公民都可以向常务委员会提出立法建议项目。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第八条 向常务委员会提出立法建议项目的应当在城乡建设与管理、环境保护、历史文化保护等方面提出同时提交立法建议书其内容应当包括建议制定地方性法规的名称、立法必要性、可行性、合法性需要解决的主要问题和拟采取的对策。有权提出地方性法规案的机关向常务委员会提出年度立法计划建议项目的应当在每年第三季度提出。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第九条 市人民代表大会有关的专门委员会、常务委员会有关的工作机构应当分别对立法建议项目进行初步审查提出是否列入立法规划和年度立法计划的建议。立法建议项目列入立法规划和年度立法计划前应当进行立项论证。立法建议项目的论证可以邀请相关领域专家学者、实务工作者、人民代表大会代表和有关单位负责人参加。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十条 市人民代表大会常务委员会法制工作机构应当研究代表议案建议、有关方面的意见和论证情况根据经济社会发展和民主法治建设的需要编制立法规划草案和年度立法计划草案。立法规划草案和年度立法计划草案应当向市人民代表大会代表和有关单位征求意见。征求意见的时间应当不少于十五日。常务委员会法制工作机构应当研究人民代表大会代表和有关单位的意见对立法规划草案和年度立法计划草案进行修改。常务委员会编制立法规划和年度立法计划应当加强与省人民代表大会有关的委员会和省人民代表大会常务委员会法制工作机构沟通。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十一条 立法规划和年度立法计划由常务委员会法制工作机构提请市人民代表大会常务委员会主任会议以下简称主任会议决定。年度立法计划应当明确起草单位、初审机构和提交常务委员会审议的时间。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十二条 立法规划和年度立法计划由有关的专门委员会、常务委员会有关的工作机构、市人民政府法制工作机构在各自职责范围内组织实施。常务委员会法制工作机构应当督促立法规划和年度立法计划的落实。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十三条 立法规划和年度立法计划需要调整的由常务委员会法制工作机构提出调整意见报主任会议决定。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十四条 立法规划、年度立法计划及其调整情况应当向社会公布并抄送省人民代表大会常务委员会法制工作机构。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十五条 有权提出地方性法规案的机关或者人员可以组织起草地方性法规草案。其他有关机关、组织、公民可以向有权提出地方性法规案的机关或者人员提出地方性法规草案建议稿。有关部门和单位应当根据年度立法计划的安排按照起草工作要求做好有关地方性法规草案的起草工作按时提出地方性法规草案稿。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十六条 有关的专门委员会、常务委员会有关的工作机构应当提前参与有关方面的地方性法规草案起草工作综合性、全局性、基础性的重要地方性法规草案可以由有关的专门委员会或者常务委员会有关的工作机构组织起草。专业性较强的地方性法规草案可以吸收相关领域的专家参与起草或者委托有关专家、教学科研单位、社会组织起草。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十七条 常务委员会或者市人民政府应当加强对法规起草工作的组织协调必要时可以成立法规起草工作协调机构需要抽调人员参与起草的有关单位应当支持。
茂名市制定地方性法规条例,,,第二章 立法规划、立法计划和法规起草,,第十八条 起草地方性法规草案应当注重调查研究广泛征询社会各界意见。设定行政许可、行政强制措施以及涉及社会公众切身利益等内容的应当依法举行论证会、听证会或者其他方式公开听取意见。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第一节 立法权限,第十九条 下列事项的地方性法规应当由市人民代表大会制定等方面特别重大事项的
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第一节 立法权限,第二十条 下列事项的地方性法规由常务委员会制定的事项作具体规定的在市人民代表大会闭会期间常务委员会可以对市人民代表大会制定的地方性法规进行部分补充和修改但不得同该法规的基本原则相抵触。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十一条 在市人民代表大会期间市人民代表大会主席团、常务委员会、市人民政府、市人民代表大会各专门委员会、一个代表团或者十名以上代表联名可以向市人民代表大会提出地方性法规案。主席团提出地方性法规案的由市人民代表大会审议。常务委员会、市人民政府、各专门委员会提出地方性法规案的由主席团决定列入会议议程。一个代表团或者十名以上代表联名提出地方性法规案的由主席团决定是否列入大会议程或者先交有关的专门委员会审议提出是否列入会议议程的意见再由主席团决定是否列入会议议程。有关的专门委员会审议时可以邀请提案人列席会议发表意见。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十二条 向市人民代表大会提出的地方性法规案在市人民代表大会闭会期间可以先向常务委员会提出经常务委员会会议依照本条例第三章第三节规定的有关程序审议后决定提请市人民代表大会审议由常务委员会向大会全体会议作说明或者由提案人向大会全体会议作说明。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十三条 向市人民代表大会提出地方性法规案应当同时提出法规草案文本及其说明并提供必要的参阅资料。修改法规的还应当提交修改前后的对照文本。法规草案的说明应当包括制定该法规的必要性、可行性、合法性和主要内容以及起草过程中对重大分歧意见的协调处理情况。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十四条 常务委员会决定提请市人民代表大会会议审议地方性法规案的应当在会议举行的一个月前将法规草案发给代表。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十五条 向市人民代表大会提出的地方性法规案在列入会议议程前提案人有权撤回。列入会议议程的地方性法规在交付表决前提案人要求撤回的应当说明理由经主席团同意并向大会报告对该地方性法规案的审议即行终止。
茂名市制定地方性法规条例,,,第三章 立法权限和程序,第二节 市人民代表大会立法程序,第二十六条 列入市人民代表大会会议议程的地方性法规案大会全体会议听取提案人的说明后由各代表团进行审议。各代表团审议地方性法规案时提案人应当派人到会听取意见回答询问。各代表团审议地方性法规案时根据代表团的要求有关机关、组织应当派人到会介绍情况。
