文件名,编,分编,章,节,内容
莆田市分级诊疗促进条例,,,,,第一条 为了深化医药卫生体制改革推动优质医疗资源扩容下沉和均衡配置形成科学合理分级诊疗体系促进基本医疗卫生服务公平可及根据《中华人民共和国基本医疗卫生与健康促进法》等有关法律、法规结合本市实际制定本条例。
莆田市分级诊疗促进条例,,,,,第二条 本市行政区域内基本医疗服务的分级诊疗管理及相关活动适用本条例。
莆田市分级诊疗促进条例,,,,,第三条 分级诊疗工作应当遵循医学科学规律坚持以人为本、群众自愿、统筹城乡、创新机制的原则。
莆田市分级诊疗促进条例,,,,,第四条 市、县区人民政府应当将分级诊疗工作纳入卫生健康发展专项规划所需经费列入本级财政预算。加强统筹协调健全科学、可持续的投入保障机制完善机构自治、行业自律、政府监管、社会监督相结合的综合监督管理和评估机制。卫生健康部门负责本行政区域内分级诊疗行业管理会同医疗保障、市场监督管理部门根据各自职责创新机制、深化改革促进医疗、医保、医药协同发展和治理。发展改革、民政、财政、人力资源和社会保障等部门应当在各自职责范围内保障和促进分级诊疗工作。乡镇人民政府、街道办事处按照职责做好分级诊疗促进工作。
莆田市分级诊疗促进条例,,,,,第五条 市、县区人民政府应当健全完善以强基层为重点的分级诊疗服务体系推行基层首诊、双向转诊、急慢分治、上下联动的分级诊疗模式。县区人民政府应当加强基层医疗卫生机构规划建设推进基层医疗卫生机构服务能力达到国家规定的基本标准或者推荐标准构建15 分钟基本医疗卫生服务圈保障分级诊疗覆盖所有乡镇街道、村社区。
莆田市分级诊疗促进条例,,,,,第六条 引导常见病、多发病和诊断明确、病情稳定的慢性病患者首选基层医疗卫生机构进行日常治疗实行首诊负责制和转诊审核责任制。对于超出基层医疗卫生机构功能定位和服务能力的疾病基层医疗卫生机构应当为患者提供转诊服务。基层医疗卫生机构应当以六周岁以下儿童、孕产妇、老年人、高血压患者、 型糖尿病患者、严重精神障碍患者和肺结核患者等人群为重点定期开展随访、宣教、体检、评估等健康管理服务实施健康信息监测和动态跟踪管理。二级以上医疗机构应当建立转诊绿色通道为转诊患者提供定向预约诊疗、优先接诊等便利服务。
莆田市分级诊疗促进条例,,,,,第七条 卫生健康部门应当会同医疗保障部门建立完善双向转诊管理办法和服务标准规范转诊程序优化转诊流程逐步实现不同级别、不同类别医疗机构之间的有序转诊。建立双向转诊关系的医疗机构间应当签订转诊合作协议明确转诊流程以及双方权利、责任和义务完善转诊服务制度畅通转诊通道。医疗联合体牵头医疗机构应当制定联合体内医疗机构转诊规范并组织实施。
莆田市分级诊疗促进条例,,,,,第八条 卫生健康部门应当明确和落实各级各类医疗机构诊疗服务功能完善治疗、康复、长期护理服务链为患者提供科学、适宜、连续性的诊疗服务。三级医疗机构主要提供急危重症和疑难复杂疾病的诊疗服务。有条件的二级及以下医疗机构主要接收三级医疗机构转诊的急性病恢复期患者、术后恢复期患者及危重症稳定期患者提供常见病、多发病诊疗以及急危重症患者抢救和疑难复杂疾病转诊服务。基层医疗卫生机构和康复医院、护理院等主要为诊断明确、非急危重症的慢性病、康复期、老年病患者、晚期肿瘤患者等提供治疗、康复和护理服务。
莆田市分级诊疗促进条例,,,,,第九条 卫生健康部门应当引导各级各类医疗机构建立目标明确、权责清晰的分工协作机制促进优质医疗资源下沉优化医疗资源配置。根据区域内医疗服务需求科学规划并合理布局市、县区、乡镇街道、村社区各级医疗资源规范城市医疗集团、紧密型县域医疗卫生共同体等医疗联合体建设、运行与管理促进医疗资源统筹管理、集约使用推动医疗机构落实功能定位。鼓励和引导社会力量依法举办医疗卫生机构支持和规范社会力量举办的医疗卫生机构与公立医疗卫生机构开展多种类型的医疗业务、学科建设、人才培养等合作。
莆田市分级诊疗促进条例,,,,,第十条 卫生健康部门应当会同医疗保障等部门以基层医疗卫生机构为主要平台建立以全科医生为主体、全科专科有效联动、医防有机融合的家庭医生签约服务制度。发挥家庭医生在落实分级诊疗中的引导作用鼓励和支持家庭医生为签约居民提供寻医问药、预约诊疗等服务。落实签约居民在就医、转诊、用药、医保等方面的差异化政策逐步形成家庭医生首诊、转诊和下转接诊的服务模式。鼓励二级以上医疗机构全科医生作为家庭医生或者加入家庭医生服务团队在基层医疗卫生机构提供签约、诊疗等服务。
莆田市分级诊疗促进条例,,,,,第十一条 卫生健康部门应当推进联合病房建设建立健全联合病房设置、运行、退出等机制构建新型区域分级诊疗服务体系。服务能力达到国家推荐标准的基层医疗卫生机构可以设置联合病房由县区人民政府给予一次性建设补助。二级医疗机构可根据专科特色设置针对三级医疗机构转诊的联合病房具体方案由市卫生健康部门会同医疗保障部门制定。基层医疗卫生机构负责联合病房硬件建设、人员配备、日常管理等工作。二级以上医疗机构与基层医疗卫生机构签订联合病房服务协议参与联合病房日常管理提供医疗质量安全管理和技术指导加强基层医疗卫生人员业务培训。二级以上医疗机构医疗卫生人员派驻联合病房工作的具体规定由市卫生健康部门制定。
莆田市分级诊疗促进条例,,,,,第十二条 基层医疗卫生机构应当逐步提高康复、护理床位比例根据自身条件和服务需求设置老年护理、安宁疗护床位开展医养结合服务。对经评估符合条件的失能失智的老年人、残疾人、康复期患者或者其他行动不便的人员基层医疗卫生机构可以提供上门治疗、随访管理、康复、护理、安宁疗护、健康指导、家庭病床等服务。鼓励基层医疗卫生机构与周边养老服务机构签订协议在检查检验、人员、服务等方面开展合作共建为老年人提供诊疗、护理、康复等服务。
莆田市分级诊疗促进条例,,,,,第十三条 基层医疗卫生机构应当坚持中西医并重扩大中医药服务供给在治未病、疾病治疗、康复等领域规范开展中医药服务。社区卫生服务中心、乡镇卫生院应当设置中医药科室配备中医师等人员提供中药饮片以及中医适宜技术等中医药服务。社区卫生服务站、村卫生室应当配备常用中成药提供中医药服务。
莆田市分级诊疗促进条例,,,,,第十四条 市人民政府应当建立公立医疗卫生机构医疗服务价格动态调整机制和实行差别化价格政策激励引导医疗机构落实功能定位、患者合理选择就医机构。对于均质化程度高、适合在基层医疗卫生机构诊治的常见病种可不区分医疗机构级别逐步实行同城同病同价促进分级诊疗。按照总量控制、结构调整、有升有降、逐步到位的原则降低药品、耗材、检查等价格合理确定体现医务人员职业特点和技术劳务价值的项目价格。
莆田市分级诊疗促进条例,,,,,第十五条 医疗保障部门应当将符合条件的基层医疗卫生机构纳入基本医疗保险定点范围完善紧密型县域医疗卫生共同体基本医疗保险基金总额付费、结余留用、合理超支分担机制推进分级诊疗基本医疗保险支付方式改革。对按照规定基层首诊和双向转诊的参保人员医疗保障部门应当制定差别化支付政策提高其基本医疗保险报销比例引导分级就诊、有序转诊。对联合病房产生的由基本医疗保险基金支付的医疗费用执行单列或按项目结算机制。
莆田市分级诊疗促进条例,,,,,第十六条 市卫生健康部门应当会同市医疗保障部门建立药品供应保障上下联动机制合理确定基层医疗卫生机构配备使用的药品品种和数量加强基层医疗卫生机构与二级以上医疗机构用药目录衔接提高慢性病、常见病基层就诊的用药便利性推进医疗联合体内药品供应和药学服务同质化。基层医疗卫生机构应当根据辖区患者临床需求将基本药物目录外的慢性病患者医保药品纳入基层医疗卫生机构的采购范围。设置联合病房的应当按照开展的病种在药品配备上参照签订服务协议的上级医疗机构进行同步调整。对联合病房及上级医疗机构转诊患者所使用的非基本药物应当建立保障目录和实行单列考核核算机制。
莆田市分级诊疗促进条例,,,,,第十七条 市、县区人民政府应当深化公立医疗卫生机构薪酬制度改革完善内部薪酬体系和分配办法建立健全适应医疗卫生行业特点的薪酬制度。建立完善以服务数量、质量和患者满意度为核心的绩效管理制度将分级诊疗成效作为城市医疗联合体和紧密型县域医疗卫生共同体成员单位绩效考核评价指标的重要依据合理确定薪酬水平与结构。对设置联合病房的医疗卫生机构可以适当提高绩效工资总量。
莆田市分级诊疗促进条例,,,,,第十八条 市卫生健康部门应当建立基层医疗卫生人员培训、定期免费进修和全科医生培养制度。基层医疗卫生机构应当支持医疗卫生人员参加进修、培训、继续教育及学术交流。公立二级以上医疗机构应当以业务指导、技术支持、人才培养等形式对口帮扶基层医疗卫生机构鼓励和引导执业医师定期定点到基层医疗卫生机构从事多机构执业。二级以上医疗机构的医疗卫生人员到基层医疗卫生机构任职、坐诊巡诊和指导培训等情况应当作为评优评先、职称晋升的依据。对设置联合病房的基层医疗卫生机构县区卫生健康部门应当建立区域内专科医疗卫生人员统筹调配机制。
莆田市分级诊疗促进条例,,,,,第十九条 市、县区人民政府应当组织建设区域性医疗卫生信息平台纵向实现三级、二级和基层医疗机构业务协同与互联互通运用信息技术促进优质医疗卫生资源共享横向实现医疗、医保、医药体系数据共享与业务联动开发面向居民的应用服务推行网上办掌上办。推进医学人工智能辅助诊断等技术在基层的应用。
莆田市分级诊疗促进条例,,,,,第二十条 各级人民政府应当加强分级诊疗制度和政策宣传普及引导全社会树立科学、理性、有序的就医理念推动形成科学有效的分级诊疗格局。广播、电视、报刊、网络平台和手机客户端等大众传播媒介应当开展日常分级诊疗知识宣传加强舆论引导营造促进分级诊疗工作的良好社会氛围。
莆田市分级诊疗促进条例,,,,,第二十一条 卫生健康部门依法开展本行政区域分级诊疗活动的监督检查。医疗保障部门应当加强医疗保障基金使用监管依法打击借分级诊疗政策套取医疗保障基金行为。市场监督管理部门应当加强药品和医用耗材价格、质量监督检查依法查处医疗服务价格违法行为维护药品和医用耗材价格秩序保障药品和医用耗材质量安全。任何组织和个人对违反本条例规定的行为有权向卫生健康部门和其他有关部门投诉、举报有关部门接到投诉、举报后应当依法核实、处理、答复。
莆田市分级诊疗促进条例,,,,,第二十二条 各级人民政府有关部门、医疗卫生机构未履行本条例规定分级诊疗促进工作职责的由本级人民政府或者上级人民政府有关部门责令改正情节严重的对直接负责的主管人员和其他直接责任人员依法给予处分。
莆田市分级诊疗促进条例,,,,,第二十三条 违反本条例规定的行为法律、法规已有法律责任规定的从其规定。
莆田市分级诊疗促进条例,,,,,第二十四条 本条例关于县区人民政府职责的规定适用于湄洲岛国家旅游度假区管理委员会、湄洲湾北岸经济开发区管理委员会。
莆田市分级诊疗促进条例,,,,,第二十五条 本条例自 2025 年 1 月 1 日起施行。
