文件名,编,分编,章,节,内容
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第一条 为了加强渔港和海洋渔业船舶管理发挥渔港功能保护渔港和海洋渔业船舶所有者、经营者、从业人员的合法权益保障海洋渔业生产安全促进海洋渔业可持续发展根据《中华人民共和国渔业法》《中华人民共和国海上交通安全法》《中华人民共和国安全生产法》等法律、法规结合本市实际制定本条例。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第二条 在本市行政区域内从事渔港规划、建设、管理和海洋渔业船舶使用、管理等活动适用本条例。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第三条 市、县市区人民政府应当加强对渔港和海洋渔业船舶管理工作的领导建立协同共治机制推进渔港综合管理改革保障管理工作所需经费督促行政管理部门依法履行职责。鼓励、扶持建立海洋捕捞渔船组织化管理模式。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第四条 市、县市区人民政府渔业行政主管部门负责本行政区域内的渔港、海洋渔业船舶和海洋渔业安全生产的管理工作负责渔港水域内的海上交通安全管理和渔业船舶之间交通事故的调查处理负责渔港水域内非军事船舶和渔港水域外渔业船舶污染海洋环境的监督管理负责保护渔业水域生态环境工作负责调查处理《中华人民共和国海洋环境保护法》第五条第四款规定的渔业污染事故。渔业船舶检验监管部门负责本行政区域国内海洋渔业船舶检验的监督管理工作。渔业船舶检验机构负责海洋渔业船舶的检验工作。海事管理机构按照职责负责辖区内的海上交通安全监督管理工作。公安机关负责渔港和出海船舶、人员的治安管理工作。发展改革、财政、生态环境、自然资源、市场监督管理、海警、海关、应急管理、消防救援等有关单位应当按照各自职责做好渔港、海洋渔业船舶管理的相关工作。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第五条 渔业行政主管部门、渔业船舶检验监管部门、海事管理机构、公安机关等单位应当加强协调配合建立健全信息沟通、通报、共享等协作管理机制提高对渔港和海洋渔业船舶综合监督管理效能。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第一章 总 则,,第六条 市、县市区人民政府应当建立三无船舶的联合认定机制成立联合认定小组。需要联合认定涉渔三无船舶的联合认定小组应当对船舶进行资料审核、实物勘验和数据比对经过集体讨论后形成勘验报告出具联合认定意见。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第七条 县市区人民政府渔业行政主管部门应当根据《辽宁省沿海渔港布局规划》和渔业生产实际编制本行政区域内沿海渔港总体规划报本级人民政府批准后公布实施并报市人民政府渔业行政主管部门备案。渔港总体规划应当符合国土空间规划体现合理利用岸线、土地和海域资源的原则并与海上交通资源规划、江河流域规划、防洪规划以及法律、法规规定的其他有关规划相衔接、协调。编制渔港总体规划应当组织专家论证依法进行环境影响评价并征求发展改革、自然资源、生态环境、海事管理机构、有关军事机关和渔港所在地的乡镇人民政府等单位的意见。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第八条 渔港建设应当符合渔港布局规划和渔港总体规划。渔港工程项目的建设应当执行国家、省有关标准和技术规范符合环境影响评价和安全评价的要求。需要进行防洪评价等其他评价的按照有关法律、法规和国家规定进行。渔业港口工程项目的安全设施和环境保护设施应当与主体工程同时设计、同时施工、同时投入使用。渔港辅助性设施应当与渔港建设同步施工按期投入使用。新建、改建、扩建渔港应当突出避风防灾功能保证码头、防波堤和护岸建设质量完善航标、港口监控系统、港口消防、照明设施和抢险救灾船艇等配套设施设备提高安全保障能力。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第九条 渔港建设使用土地和海域应当按照城乡规划、土地、海域使用、河道和航道管理等法律、法规的规定办理。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第十条 渔港所在地的县市区人民政府渔业行政主管部门应当组织制定渔港章程报本级人民政府批准后公布实施。渔港章程应当包括对渔港的地理位置、航道条件、港池水深、机械设施和装卸能力等情况的说明以及贯彻执行有关渔港管理的法律、法规和国务院渔业行政主管部门规定的具体措施等内容。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第十一条 渔港经营者应当依照有关环境保护法律、法规的规定从事渔港经营履行渔港和渔港水域生态环境保护主体责任。渔港经营者应当采取有效措施落实船舶污染物接收设施配置责任加强渔港接收设施与城市公共转运、处置设施的衔接按照国家有关规定处置渔港生产生活垃圾和污水。不得拒绝接收船舶送交的垃圾、生活污水、含油污水。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第十二条 渔港经营者应当建立船舶进出港登记制度核验进出渔港船舶的身份。不得为三无船舶和涉嫌从事偷渡、走私等违法犯罪行为的船舶提供港口服务。伏季休渔期间渔港经营者应当向渔港所在地的渔业行政主管部门报告船舶进出渔港情况。渔港经营者应当依法公布收费项目和收费标准。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第二章 渔港规划、建设和管理,,第十三条 渔港经营者应当建立健全渔港公共卫生管理制度完善环境卫生管理长效机制维护好各类卫生设施并做好公共卫生健康宣传教育、定期培训、应急演练等工作对渔港落实公共卫生事件控制处置等措施承担主体责任。渔港经营者应当服从各级人民政府及其相关部门发布的决定、命令、通告配合各级人民政府及其相关部门依法采取的各项公共卫生事件预防与处置措施。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十四条 海洋渔业船舶必须具备下列条件方可航行、作业书或登记证书渔船应当取得海洋渔业捕捞许可证其他海洋渔业船舶应当取得相应的专项许可证。300 千瓦以上的海洋渔业船舶还须有油类记录簿洋渔业船员证书持证上岗。在远洋渔业船舶上工作的中国籍船员还应当按照有关规定取得中华人民共和国海员证未取得海洋渔业捕捞许可证的海洋渔业船舶不得从事捕捞活动。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十五条 海洋渔业船舶应当选择经常作业地的一个渔港作为固定停靠港口并报渔港所在地的渔业行政主管部门备案。除紧急避险情形外海洋渔业船舶应当在固定停靠港口停泊、装卸渔获物和补充渔需物资。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十六条 海洋渔业船舶所有者、经营者或者指定代理人应当向船籍港或船舶所在地公安派出所报备船舶照片、船名船号、吨位、船籍港、作业类型和船主、船上负责人姓名以及联系方式等海洋渔业船舶信息。未取得《中华人民共和国海员证》或者《船舶服务簿》的出海船员、渔民应当向船籍港或船舶所在地公安派出所报备姓名、公民身份号码、相片、户籍地址、现住地址、联系方式、紧急联系人以及联系方式等人员信息。海洋渔业船舶和人员信息发生变更的应当在变更后七日内报备变更信息。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十七条 海洋渔业船舶应当在进出渔港前向渔港所在地的渔业行政主管部门报告。船长为海洋渔业船舶进出渔港报告的第一责任人并对报告的真实性负责。海洋渔业船舶进渔港应当报告拟进渔港、拟进港时间、事由、作业海区范围、配员、人员信息和渔获品种、数量等情况。海洋渔业船舶出渔港应当报告拟出港时间、事由、作业海区、配员、人员信息、安全通导、救生和消防安全装备配备、携带网具等情况。渔业行政主管部门接到报告后应当即时将海洋渔业船舶拟进出渔港时间、事由、作业海区范围和随船人员数量、姓名、公民身份号码等信息通报同级公安机关。因天气或应急等特殊原因海洋渔业船舶不能按照规定报告的应当在进出港后二十四小时内补办报告手续。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十八条 海洋捕捞渔船应当按照海洋渔业捕捞许可证关于作业类型、场所、时限、最小网具尺寸、渔具数量和捕捞限额的规定进行捕捞作业。不得越界捕捞。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第十九条 伏季休渔期间海洋捕捞渔船和海洋捕捞辅助船应当在船籍港休渔。未经省渔业行政主管部门确认不得在船籍港以外休渔。伏季休渔期间海洋捕捞渔船和海洋捕捞辅助船应当按照规定的时间回港休渔未经渔业行政主管部门批准不得出港作业。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第二十条 海洋养殖渔船应当在养殖证载明的养殖范围内从事养殖作业。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第二十一条 县市区人民政府应当合理划定海洋休闲渔业海域。海洋休闲渔业海域不得与下列区域交叉或者重合海洋与渔业保护区其他区域。海洋休闲渔船经营者应当在政府划定的海洋休闲渔业海域内经营。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第二十二条 海洋休闲渔船经营者应当依法办理市场主体登记依法公布经营服务收费项目和收费标准。海洋休闲渔船从事海洋渔业捕捞体验和演示活动的应当取得休闲渔业捕捞许可证按照休闲渔业捕捞许可证核定的作业类型、场所、时限、渔具数量和规格、捕捞品种等作业。伏季休渔期间海洋休闲渔船不得从事海洋渔业捕捞体验和演示活动。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第二十三条 海洋渔业船舶所有者和经营者不得利用海洋渔业船舶从事偷渡、走私等违法犯罪活动不得为他人偷渡、走私等违法犯罪活动提供船舶。渔业行政主管部门在监督检查过程中发现海洋渔业船舶涉嫌从事偷渡、走私等违法犯罪活动的应当依法移送有关单位处理。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第三章 海洋渔业船舶管理,,第二十四条 市、县市区人民政府应当加强对涉渔三无船舶清理、取缔工作的领导建立联合执法机制。对涉渔三无船舶联合执法的具体办法由市人民政府制定。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第二十五条 市、县市区人民政府应当加强对海洋渔业安全生产工作的领导建立健全海洋渔业安全生产工作协调机制支持、督促有关单位依法履行海洋渔业安全生产监督管理职责及时协调、解决海洋渔业安全生产监督管理中存在的重大问题实行海洋渔业安全事故责任追究制度。渔业行政主管部门、应急管理部门、渔业船舶检验监管部门、海事管理机构、公安机关等有关单位应当按照各自职责做好海洋渔业安全生产管理的相关工作。乡镇人民政府和街道办事处应当按照职责加强海洋渔业安全生产管理落实海洋渔业安全生产管理制度。居民委员会、村民委员会等基层群众自治组织应当协助做好海洋渔业安全生产管理工作。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第二十六条 渔港经营者的主要负责人是渔港安全生产第一责任人对渔港的安全生产工作全面负责。渔港经营者应当依照法律、法规和有关规定落实安全生产主体责任改善安全生产条件建立健全全员安全生产责任制和安全生产规章制度构建安全风险分级管控和隐患排查治理双重预防机制。应当加强安全生产管理制定安全作业操作规程建立安全生产管理工作台账保障渔港设施、设备正常运行。渔港经营者应当制定渔港生产安全事故应急预案、预防自然灾害预案、公共卫生事件应急预案和法律、法规要求制定的其他预案配备相应人员和装备储备必要应急物资定期开展应急培训和演练。渔港经营者经营、运输、储存、使用危险物品或者处置废弃危险物品必须执行有关法律、法规和国家标准或者行业标准建立专门的安全管理制度采取可靠的安全措施接受有关主管部门依法实施的监督管理。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第二十七条 渔港经营者应当依照《中华人民共和国安全生产法》等法律、法规的规定设置安全生产管理机构或者配备专职、兼职安全生产管理人员。渔港经营者设置的安全生产管理机构以及安全生产管理人员应当恪尽职守依法履行职责。渔港经营者应当在渔港内设置安全保卫机构或者配备专职、兼职安全保卫人员核对、登记进出渔港车辆、人员信息协助公安机关开展渔港内的治安管理工作。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第二十八条 海洋渔业船舶所有者或者经营者是海洋渔业船舶渔业安全生产的第一责任人应当保证安全生产所需的资金投入建立健全安全生产责任制按照规定配备船员和安全设备确保渔业船舶符合安全适航条件并保证船员足够的休息时间。船长是海洋渔业船舶渔业安全生产的直接责任人在组织开展渔业生产、保障水上人身与财产安全、防治海洋渔业船舶污染海域和处置突发事件方面具有独立决定权。海洋渔业船舶所有者或者经营者对渔业行政主管部门依法履行渔业安全生产监督检查职责应当予以配合不得拒绝、阻挠。渔业行政主管部门应当充分运用互联网、大数据等技术手段采取现场检查、远程监管、预警防控、异地委托等方式对海洋渔业船舶渔业安全生产实施监督管理。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第二十九条 海洋渔业船舶进入渔港和渔港水域锚舶、作业应当遵守渔港章程服从渔港调度安排执行渔港安全作业操作规程保持疏散和防火通道畅通安排值班值守人员并采取防风、防火、防碰撞等安全措施。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第四章 海洋渔业安全生产管理,,第三十条 海洋渔业船舶航行和作业不得超越核准的航区和抗风等级。海洋渔业船舶所在地市、县市区人民政府及其渔业行政主管部门启动预防自然灾害预案后海洋渔业船舶应当服从渔业行政主管部门作出的禁止离港、停航、改航、停止作业、返港的指令。渔港经营者应当为进港避风、避险的船舶提供便利。
葫芦岛市渔港和海洋渔业船舶管理条例,,,第五章 法律责任,,第三十一条 违反本条例规定法律、行政法规、辽宁省地方性法规已有法律责任规定的从其规定。
