文件名,编,分编,章,节,内容
衡水市海绵城市建设管理条例,,,第一章 总 则,,第一条 为了推进海绵城市建设规范海绵城市建设管理增强城市防涝能力保护和改善城市生态环境促进人与自然和谐共生根据有关法律、法规结合本市实际制定本条例。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内海绵城市的规划设计、建设管理、运行维护和监督管理等活动。本条例所称海绵城市是指通过加强城市规划建设管理充分发挥建筑、道路和绿地、水系等生态系统对雨水的吸纳、蓄渗和缓释作用有效控制雨水径流实现自然积存、自然渗透、自然净化的城市发展方式。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第三条 海绵城市建设管理应当遵循生态优先、自然循环规划引领、统筹推进政府引导、社会参与因地制宜、建管并重的原则。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第四条 市、县级人民政府应当将海绵城市建设纳入国民经济和社会发展规划统筹推进海绵城市建设管理工作协调解决海绵城市建设管理工作中的重大问题。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第五条 市城市管理部门以及县级人民政府确定的海绵城市建设管理部门是海绵城市建设管理的主管部门负责海绵城市建设的组织协调、技术指导、监督管理等工作。发展改革、财政、数据和政务服务、自然资源和规划、住房城乡建设、水行政、生态环境、交通运输、气象、园林等相关部门和单位应当按照各自职责做好海绵城市建设管理相关工作。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第六条 市、县级人民政府应当鼓励、支持海绵城市科学技术研究推广应用新技术、新工艺、新材料和新设备发挥科学技术在海绵城市建设管理中的支撑作用。
衡水市海绵城市建设管理条例,,,第一章 总 则,,第七条 市、县级人民政府以及有关部门、新闻媒体应当加强海绵城市建设宣传普及海绵城市相关知识引导全社会积极参与海绵城市建设管理活动。
衡水市海绵城市建设管理条例,,,第二章 规划设计,,第八条 海绵城市建设管理主管部门应当会同相关部门编制本级海绵城市专项规划报同级人民政府批准后实施。海绵城市专项规划应当符合国土空间总体规划明确海绵城市建设近、远期目标。道路、绿地、水系、防洪、排水防涝等专项规划编制应当与海绵城市专项规划相衔接。雨水年径流总量控制率等海绵城市建设主要管控指标应当纳入详细规划。
衡水市海绵城市建设管理条例,,,第二章 规划设计,,第九条 自然资源和规划部门供应城市建设用地时应当在规划条件中明确海绵城市建设指标和要求。数据和政务服务、自然资源和规划部门在建设项目立项、可行性研究、建设用地规划许可证、建设工程规划许可证等环节应当审查海绵城市设施建设的必要性、目标、相关措施等内容。
衡水市海绵城市建设管理条例,,,第二章 规划设计,,第十条 建设单位编制或者组织编制建设项目申请报告、项目建议书、可行性研究报告、方案设计、初步设计以及施工图设计时应当按照海绵城市专项规划要求和有关规范、标准明确工程措施、工程造价等内容落实海绵城市建设管控指标。建设项目的方案设计、初步设计、施工图设计应当设置海绵城市设计专篇。对于不需要办理选址、土地划拨或者土地出让的改造提升类项目在项目方案设计阶段建设单位应当根据海绵城市建设管理主管部门意见落实海绵城市建设管控指标。施工图设计文件审查机构应当依法对海绵城市设计内容进行审查。不符合海绵城市技术标准和规范的不得出具施工图审查合格书。
衡水市海绵城市建设管理条例,,,第二章 规划设计,,第十一条 海绵城市设施应当与建设项目主体工程同步设计、同步施工、同步交付使用。
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十二条 海绵城市建设管理主管部门应会同发展改革、财政、数据和政务服务、自然资源和规划、住房城乡建设、城市管理、水行政、生态环境、交通运输、气象、园林等相关部门和单位制定海绵城市建设年度计划报同级人民政府批准后实施。
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十三条 海绵城市建设应当达到以下要求消除滞、收集、净化、利用能力提高染物入河污染消除城市黑臭水体坏的水生态系统修复热岛效应缓解
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十四条 新建、改建、扩建建设项目应当按照下列规定配套建设海绵城市设施系统提高对雨水的积存和滞蓄能力快排、直排方式增强绿色空间对雨水的消纳功能为滞蓄周边区域雨水提供空间合理有序开展水系连通增强水体流动性提高雨洪径流的调蓄调配能力设施因地制宜建设行泄通道提高内涝防治水平
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十五条 新建、改建、扩建建设项目应当落实海绵城市建设管控指标。市人民政府应当根据国家和省有关要求建立海绵城市建设豁免清单制度将受特殊地质、特殊类型等因素约束不能落实海绵城市建设相关要求的建设项目纳入海绵城市建设豁免清单。
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十六条 对符合条件的海绵城市设施建设项目根据建设项目类型、规模、投资类别、风险程度等在保证工程质量安全的前提下依法精简审批环节优化审批流程。
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十七条 城市管理、住房城乡建设、水行政等相关部门应当按照各自职责将海绵城市建设内容纳入建设工程质量监督范围对海绵城市设施的原材料、施工工艺、施工质量等进行监督管理。建设、勘察、设计、施工、工程监理等单位应当执行海绵城市建设各项技术标准依法对建设工程质量负责。
衡水市海绵城市建设管理条例,,,第三章 建设管理,,第十八条 建设单位应当将海绵城市设施纳入工程竣工验收工程竣工验收报告应当写明海绵城市设施建设情况。海绵城市设施专项验收应当纳入工程建设项目竣工阶段联合验收环节验收合格后建设项目方可交付使用。建设单位应当在竣工验收合格之日起三个月内将包含海绵城市建设资料在内的工程档案资料报送城建档案管理机构。
衡水市海绵城市建设管理条例,,,第四章 运行维护,,第十九条 海绵城市设施在国家规定以及合同约定保修期限和保修范围内的由建设单位或者合同约定的单位负责运行维护管理超过保修期限和保修范围的按照下列规定进行运行维护管理场等市政公用基础设施项目的海绵城市设施由相关主管部门或者其委托的单位负责运行维护管理城市设施由所有权人或者其委托的单位负责运行维护管理无物业管理的住宅小区海绵城市设施由所属街道办事处乡镇人民政府负责运行维护管理其委托的单位负责运行维护管理。
