文件名,编,分编,章,节,内容
西安市养老服务促进条例,,,第一章 总 则,,第一条 为了应对人口老龄化满足老年人养老服务需求完善养老服务体系促进养老服务事业健康发展根据《中华人民共和国老年人权益保障法》《陕西省实施〈中华人民共和国老年人权益保障法〉办法》和有关法律法规结合本市实际制定本条例。
西安市养老服务促进条例,,,第一章 总 则,,第二条 本市行政区域内的养老服务及其监督管理工作适用本条例。
西安市养老服务促进条例,,,第一章 总 则,,第三条 本条例所称养老服务是指在家庭成员承担赡养、扶养法定义务的基础上由政府基本公共服务、社会组织的公益性和互助性服务、企业的市场化服务共同组成的为老年人提供的社会化养老服务。
西安市养老服务促进条例,,,第一章 总 则,,第四条 养老服务坚持政府主导、政策扶持、社会参与、市场运作、保障基本、适度普惠的原则建立以居家为基础、社区为依托、机构为补充、医养相结合的养老服务体系。
西安市养老服务促进条例,,,第一章 总 则,,第五条 市、区县人民政府应当将养老服务事业纳入国民经济和社会发展规划将养老服务工作所需经费列入本级财政预算。
西安市养老服务促进条例,,,第一章 总 则,,第六条 市、区县人民政府民政部门是本行政区域内养老服务工作的主管部门负责养老服务的指导、管理和监督等工作。发改、财政、人社、资源规划、住建、卫生健康、审计、公安、市场监管、应急管理、医疗保障、工信、教育、体育、大数据等部门和群团组织按照各自职责做好与养老服务有关的工作。镇人民政府、街道办事处具体组织实施本区域内的养老服务工作。居民委员会、村民委员会应当支持和协助做好养老服务工作。
西安市养老服务促进条例,,,第一章 总 则,,第七条 鼓励支持和引导社会组织、企业和个人等社会力量通过各种形式提供、参与养老服务。
西安市养老服务促进条例,,,第一章 总 则,,第八条 新闻媒体应当积极开展尊重、关心、帮助老年人的宣传教育活动营造敬老、养老、助老的社会氛围。
西安市养老服务促进条例,,,第一章 总 则,,第九条 市、区县人民政府及其有关部门对在养老服务工作中成绩突出的单位和个人应当给予表彰和奖励。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十条 市民政部门应当会同市资源规划部门根据经济社会发展水平、人口老龄化发展趋势和养老服务需求编制养老服务设施专项规划报市人民政府批准后组织实施。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十一条 市人民政府应当将养老服务设施建设用地纳入国土空间规划优先安排养老服务设施建设用地。养老服务设施用地非经法定程序不得改变用途。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十二条 市、区县人民政府应当按照人均用地不少于 01平方米的标准分区分级规划设置养老服务设施。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十三条 新建居住区应当按照规划和标准配套建设养老服务设施并与住宅同步规划、同步建设、同步验收、同步交付使用。已建成居住区无养老服务设施或者现有养老服务设施没有达到规划要求和建设标准的市、区县人民政府应当制定规划和年度计划按照就近方便的原则通过购置、置换、租赁等方式设置。通过配套建设或者购置、置换、租赁方式设置的养老服务设施由所在地民政部门履行监督管理职责确保用于养老服务。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十四条 居住区配套建设的养老服务设施由开发建设单位代为建设的建成后应当无偿移交所在地民政部门。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十五条 市、区县人民政府应当制定政策措施鼓励社会力量对闲置的企业厂房、商业设施及其他可以利用的社会资源进行整合和改造用于养老服务。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十六条 区县人民政府应当通过新建、改建、扩建和租赁等方式加强镇街养老综合服务中心、农村互助幸福院、农村敬老院等养老服务设施建设。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十七条 养老服务设施应当按照公共配套设施和老年人设施的建设标准、设计规范进行建设符合环境保护、无障碍设施设置、消防安全等要求。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十八条 市、区县人民政府应当推动公共建筑和其他公共场所方便老年人活动的无障碍设施建设。市、区县住建部门应当会同城管、民政、财政、卫生健康等部门制定无障碍设施改造计划推动和扶持老年人家庭无障碍设施的改造推进居住区坡道、电梯、扶手、座椅等公共设施的适老化改造。无障碍设施改造由所有权人或者管理人负责。纳入特困供养老年人和高龄、失能、残疾老年人的家庭进行无障碍设施改造服务的按照相关规定享受财政补贴。
西安市养老服务促进条例,,,第二章 服务设施规划与建设,,第十九条 任何单位和个人不得擅自改变养老服务设施用途或者拆除、侵占、破坏养老服务设施。因公共利益需要经批准改变用途或者拆除的应当按照不低于原有规模和标准的要求就近及时补建或者置换。养老服务设施建设期间应当安排过渡用房满足老年人养老服务需求。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十条 居家社区养老服务是指由政府、社会组织、企业和个人依托社区养老服务设施利用社会资源为居家生活的老年人提供的养老服务。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十一条 居家社区养老服务主要包括以下内容市、区县人民政府应当根据老年人口自然增长和经济社会发展水平逐步增加居家社区养老服务内容扩大服务对象范围优先为特困供养老年人、计划生育特殊家庭老年人和经济困难的孤寡、失能、残疾、高龄老年人提供养老服务。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十二条 居家养老服务中心站、老年人日间照料中心等居家社区养老服务组织应当具备与服务内容相适应的场所、设施设备和工作人员制定服务细则明确服务项目、服务内容以及收费标准等并在显著位置进行公示接受相关部门、服务对象和社会公众监督。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十三条 市、区县人民政府应当加强居家社区养老服务设施建设充分考虑老年人接受服务的便利性和服务半径等因素分片区设置居家社区养老服务设施均衡覆盖城乡社区。居家社区养老服务设施由镇人民政府、街道办事处负责运营管理也可以通过委托管理等方式无偿或者低偿交由专业组织、机构运营管理。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十四条 市、区县人民政府应当加强卫生、文化、教育、体育等设施与养老服务设施的功能衔接发挥公共服务设施的养老服务作用。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十五条 镇人民政府、街道办事处应当落实政府购买服务、经费补贴等扶持政策推动养老服务设施建设协调做好区域内居家社区养老服务的其他工作。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十六条 居民委员会、村民委员会应当做好本辖区老年人基本信息登记工作调查养老服务需求宣传养老服务政策支持和协助各类养老服务组织开展养老服务活动。居民委员会、村民委员会应当自行组织或者委托社会组织采取上门探望、电话询问等方式开展老年人日常探访活动了解老年人特别是困难家庭和单独居住老年人的生活状况防范并及时发现意外风险。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十七条 鼓励机关、团体、企业事业单位和其他社会组织开放相关场所为邻近居住的老年人提供就餐、文化、健身、娱乐等服务。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十八条 倡导家庭成员与老年人共同生活或者就近居住承担照料责任。老年人患病住院治疗期间其子女的用人单位应当支持护理照料给予独生子女每年累计二十天、非独生子女每年累计十天的护理时间护理期间享受与正常工作期间相同的工资福利待遇。
西安市养老服务促进条例,,,第三章 居家社区养老服务,,第二十九条 鼓励邻里互助养老、结对帮扶提倡健康老年人为患病、残疾、独居老年人提供帮助。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十条 市、区县人民政府应当有计划、分层级、分类别推动养老机构建设满足老年人多样化的养老服务需求。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十一条 设立养老机构应当符合国家有关规定依法办理登记手续并向民政部门备案。鼓励支持社会组织、企业和个人以独资、合资、合作、联营、参股等方式举办养老机构。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十二条 设立养老机构应当符合养老机构相关规范和技术标准符合环境保护、消防安全、卫生防疫、食品安全等要求具备适应老年人生活需求的居住用房、医疗康复用房、公共服务用房和室内外活动场所并配备适合老年人安全保护要求的设施设备及用具。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十三条 养老机构应当按照国家标准、规定以及服务协议为老年人提供集中住宿、生活照料、康复护理、精神慰藉、文化娱乐等服务。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十四条 政府举办的养老机构和公建民营养老机构在满足特困供养老年人养老需求的前提下剩余床位可以向社会开放优先保障计划生育特殊家庭老年人以及经济困难的孤寡、失能、残疾、高龄老年人的养老服务需求。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十五条 养老机构应当建立入住评估制度做好老年人健康状况评估根据老年人的生活自理能力实施分级分类服务。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十六条 养老机构应当参照国家统一的养老机构服务合同示范文本与老年人或者其代理人签订服务合同明确权利、义务保障双方合法权益。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十七条 政府运营的养老机构按照非营利原则实行政府定价或者政府指导价公建民营养老机构服务收费项目和标准由运营者依据委托合同合理确定社会力量举办的养老机构服务收费项目和标准由经营者自主确定。养老机构应当将收费项目和标准等内容在收费场所显著位置进行公示接受社会监督。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十八条 养老机构应当配备与服务、运营相适应的从业人员。按照国家规定实行职业、专业技术资格管理的岗位其从业人员应当取得相应资格。养老护理员应当接受专业技能培训。养老机构应当加强从业人员职业道德教育养老机构及其从业人员应当尊重老年人的民族风俗、宗教信仰和人格尊严不得歧视、侮辱、虐待、遗弃老年人。
西安市养老服务促进条例,,,第四章 机构养老服务,,第三十九条 养老机构应当按照国家和省、市有关规定建立健全安全、消防、卫生、食品药品、设施设备等安全管理制度配备安全管理人员定期开展安全检查及时消除安全隐患。养老机构应当制定突发事件应急预案定期组织演练。
