文件名,编,分编,章,节,内容
西安市授予荣誉市民称号规定,,,,,第一条 为了鼓励和表彰在本市经济建设、社会发展和对外交流合作等方面做出突出贡献的人士根据《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》和有关法律、法规的规定结合本市实际制定本规定。
西安市授予荣誉市民称号规定,,,,,第二条 本规定适用于授予外国人、华侨和其他市外人士西安市荣誉市民称号。
西安市授予荣誉市民称号规定,,,,,第三条 凡遵守中华人民共和国法律、法规并具备下列条件之一的可以授予西安市荣誉市民称号作建立友好城市关系方面贡献突出的政策、环境保护、合理开发利用资源等方面提出重要建议贡献突出的面贡献突出的业方面贡献突出的献突出的好的
西安市授予荣誉市民称号规定,,,,,第四条 符合授予西安市荣誉市民称号条件的由区县人民政府、市人民政府各工作部门以及其他市级工作机构推荐。推荐单位应当填写由市人民政府统一印制的《西安市荣誉市民推荐书》。被推荐人是外国人或者华侨的向市人民政府外事侨务行政主管部门推荐被推荐人是其他市外人士的向有关市级主管部门推荐。
西安市授予荣誉市民称号规定,,,,,第五条 授予西安市荣誉市民称号按下列程序办理部门推荐个工作日内征求有关方面意见进行必要审查并向社会公示对符合条件的报市人民政府委员会提出授予西安市荣誉市民称号的议案荣誉市民称号的决定。审议决定前可以交有关专门委员会进行初审提出审议意见定由市长向被授予西安市荣誉市民称号的人士颁发荣誉市民证书和证章。
西安市授予荣誉市民称号规定,,,,,第六条 西安市荣誉市民证书和证章由市人民政府统一制作。西安市荣誉市民证书由市长签署。
西安市授予荣誉市民称号规定,,,,,第七条 西安市荣誉市民可以享受下列礼遇和待遇礼遇供的便利和服务
西安市授予荣誉市民称号规定,,,,,第八条 市人民政府及有关部门应当向西安市荣誉市民提供本市经济社会发展的有关信息与其保持经常联系加强对西安市荣誉市民事迹的宣传。
西安市授予荣誉市民称号规定,,,,,第九条 西安市荣誉市民因触犯法律受到刑事追究或者有其他有损于荣誉市民称号行为造成严重后果或者影响恶劣的由市人民政府提请市人民代表大会常务委员会撤销其西安市荣誉市民称号。
西安市授予荣誉市民称号规定,,,,,第十条 本规定自 2009 年 1 月 7 日起施行。
