文件名,编,分编,章,节,内容
贵州省企业工资集体协商条例,,,第一章 总 则,,第一条 为规范企业工资集体协商维护劳动关系双方的合法权益促进劳动关系和谐稳定根据《中华人民共和国劳动法》、《中华人民共和国劳动合同法》、《中华人民共和国工会法》等法律、法规规定结合本省实际制定本条例。
贵州省企业工资集体协商条例,,,第一章 总 则,,第二条 在本省行政区域内开展企业工资集体协商适用本条例。
贵州省企业工资集体协商条例,,,第一章 总 则,,第三条 本条例所称工资集体协商是指职工方与企业方依法就企业内部工资分配制度、工资分配形式、工资收入水平、工资支付办法等劳动报酬事项进行平等协商、签订工资集体合同的行为。
贵州省企业工资集体协商条例,,,第一章 总 则,,第四条 企业与职工应当依法开展工资集体协商。职工应当支持企业依法生产经营管理合法地开展工资集体协商。工会代表职工与企业开展工资集体协商维护职工的合法权益。
贵州省企业工资集体协商条例,,,第一章 总 则,,第五条 工资集体协商应当遵循合法、公开、平等、诚信的原则兼顾职工和企业双方利益保障职工实际工资水平与企业劳动生产率、经济效益相适应。
贵州省企业工资集体协商条例,,,第一章 总 则,,第六条 县级以上人民政府应当将推进工资集体协商作为重要工作职责建立激励约束机制促进工资集体协商工作依法有序进行。乡镇人民政府、街道办事处社区应当督促本地区企业开展工资集体协商。
贵州省企业工资集体协商条例,,,第一章 总 则,,第七条 县级以上人民政府人力资源和社会保障行政部门负责指导、协调和监督工资集体协商工作。县级以上总工会和产业工会对职工开展工资集体协商进行指导、帮助对工资集体合同的签订和履行进行监督。企业联合会企业家协会、工商业联合会、商会、行业协会等企业代表组织应当引导、支持、帮助企业开展工资集体协商工作。人力资源和社会保障行政部门、工会和企业代表组织应当通过协调劳动关系三方机制定期共同研究处理工资集体协商中的重大问题。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第八条 工资集体协商开始前应当确定双方协商代表协商双方的代表人数应当对等每方 3 至 9 人。协商代表不得相互兼任。企业中女职工占职工总数 10以上的使用劳务派遣工占职工总数达 8的应当有女职工、劳务派遣工协商代表。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第九条 工会工作人员不得担任企业方的代表企业负责人、出资人、人力资源部门负责人不得担任职工方代表。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十条 企业方协商代表由企业法定代表人确定。职工方协商代表由企业工会提名并经职工代表大会或者职工大会通过。尚未建立工会的企业职工方协商代表由上一级工会指导企业职工民主推荐并经半数以上职工同意。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十一条 协商双方各自确定一名首席代表。企业方首席代表由法定代表人担任或者书面委托其他协商代表担任。职工方首席代表由企业工会主席负责人或者其书面委托的其他协商代表担任。尚未建立工会的从职工方协商代表中推举产生。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十二条 协商代表应当真实反映和代表本方的意愿履行下列职责
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十三条 协商代表应当保守在工资集体协商过程中知悉的商业秘密维护企业正常的生产、工作秩序不得采取威胁、收买、欺骗等手段干扰工资集体协商影响协商结果。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十四条 企业应当为协商代表提供参加工资集体协商所必需的工作条件和工作时间提供与协商相关的信息资料。协商代表参加工资集体协商视为正常劳动。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十五条 协商代表的任期与工资集体合同期限相同。职工方协商代表在任期内除法律、法规规定的情形外企业不得解除与其的劳动合同。企业确因工作需要变更职工方协商代表工作岗位的应当事先征求企业工会或者上级工会的意见并征得本人同意。
贵州省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十六条 职工方协商代表未依法履行职责的职工代表大会或者职工大会有权进行更换。尚未建立职工代表大会或者职工大会的企业经半数以上职工同意可以变更职工方协商代表。
贵州省企业工资集体协商条例,,,第三章 工资集体协商内容,,第十七条 工资集体协商应当包括下列内容间的工资待遇约责任等
贵州省企业工资集体协商条例,,,第三章 工资集体协商内容,,第十八条 双方协商确定的劳动定额标准应当是 90以上的职工在正常条件下和法定工作时间或者劳动合同约定的时间内能够完成的工作量。
贵州省企业工资集体协商条例,,,第三章 工资集体协商内容,,第十九条 开展工资集体协商应当以下列因素作为协商依据
贵州省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十条 企业方与职工方均有权提出工资集体协商要求。提出方应当向对方发出协商要约书明确协商的时间、地点、内容等。对方应当在收到要约书之日起 20 日内予以书面答复并在答复后 10 日内进行协商。企业 13 以上的职工提出工资集体协商要求的企业工会应当向企业方发出协商要约书。企业工会未向企业方发出协商要约书的上级工会有权代为向企业方发出协商要约书。企业尚未建立工会的职工方可以在上一级工会指导帮助下提出工资集体协商要约。
贵州省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十一条 工资集体协商应当采用协商会议的形式。协商会议由双方首席代表轮流主持首次会议由要约方首席代表主持。
贵州省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十二条 在工资集体协商会议召开 5 日前协商双方应当提供与协商内容相关的信息和资料。企业方应当提供的信息和资料包括上年度营业收入、净利润、职工工资总额和职工平均工资、社会保险费用缴纳情况等。
