文件名,编,分编,章,节,内容
贵州省华侨捐赠公益事业条例,,,,,第一条 为鼓励华侨捐赠规范捐赠和受赠行为保护捐赠人、受赠人和受益人的合法权益促进公益事业的发展根据《中华人民共和国公益事业捐赠法》等法律、法规的规定结合本省实际制定本条例。
贵州省华侨捐赠公益事业条例,,,,,第二条 捐赠人在本省行政区域内捐赠财产用于教育、科学、文化、卫生、体育、扶贫济困、救助灾害、生态环境保护、公共设施建设等公益事业的适用本条例。
贵州省华侨捐赠公益事业条例,,,,,第三条 本条例所称捐赠人是指华侨、华侨社会团体、华侨投资企业。本条例所称受赠人是指本省行政区域内依法成立的公益性社会团体、公益性非营利的事业单位。捐赠人要求县级以上人民政府及其部门作为受赠人的县级以上人民政府及其部门应当将受赠财产转交公益性社会团体、公益性非营利的事业单位用于公益事业或者按照捐赠人的意愿处置但是不得以本机关为受益对象。
贵州省华侨捐赠公益事业条例,,,,,第四条 捐赠应当遵循自愿和无偿的原则。任何单位和个人不得劝募或者摊派不得以捐赠为名从事营利活动。捐赠人捐赠的财产应当是其有权处分的合法财产。捐赠和受赠行为应当符合法律、法规的规定不得违背社会公德的要求不得损害社会公共利益和他人的合法权益。
贵州省华侨捐赠公益事业条例,,,,,第五条 受赠财产受法律保护任何单位和个人不得挪用、侵占、贪污、损毁。
贵州省华侨捐赠公益事业条例,,,,,第六条 各级人民政府支持和保护华侨捐赠活动。县级以上人民政府侨务行政主管部门负责华侨捐赠的监督管理、指导协调工作其他有关部门依照各自职责做好华侨捐赠工作。
贵州省华侨捐赠公益事业条例,,,,,第七条 捐赠人和受赠人可以就捐赠财产的种类、数量、质量、用途、方式等内容签订书面捐赠协议。捐赠建设工程项目的应当签订书面捐赠协议对工程项目的资金、建设、验收、移交、管理和使用作出约定。捐赠人和受赠人应当依法履行捐赠协议。
贵州省华侨捐赠公益事业条例,,,,,第八条 捐赠人有权自行决定捐赠财产的种类、数量、用途、方式和受赠人。受赠人不得擅自改变捐赠财产的性质和用途。确需转让或者改变用途的应当事先征得捐赠人同意并报侨务行政主管部门。捐赠人有权了解捐赠财产的使用情况和捐赠建设工程项目的建设、使用情况并提出意见。对捐赠人提出的意见受赠人应当及时答复。捐赠人可以委托或者指定有关单位或者个人对其捐赠财产的使用、管理进行监督。捐赠人有权要求县级以上人民政府或者有关部门纠正违反本条例规定的行为。
贵州省华侨捐赠公益事业条例,,,,,第九条 捐赠完成后受赠人应当于30日内将受赠情况报同级人民政府侨务行政主管部门。
贵州省华侨捐赠公益事业条例,,,,,第十条 受赠人接受捐赠后应当向捐赠人出具合法、有效的收据将受赠财产登记造册建立健全财务会计制度和受赠财产使用制度进行有效使用和妥善管理。受赠人应当公开受赠财产的使用、管理情况并定期向捐赠人和政府有关部门报告受赠财产的使用、管理情况接受监督必要时政府有关部门可以对其受赠财产使用情况进行审计。不是受益对象的受赠人应当对受赠财物的使用承担相应的协调服务和管理责任。
