文件名,编,分编,章,节,内容
贵州省大数据发展应用促进条例,,,第一章 总 则,,第一条 为推动大数据发展应用运用大数据促进经济发展、完善社会治理、提升政府服务管理能力、服务改善民生培育壮大战略性新兴产业根据有关法律、法规的规定结合本省实际制定本条例。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第二条 本省行政区域内大数据发展应用及其相关活动应当遵守本条例。本条例所称大数据是指以容量大、类型多、存取速度快、应用价值高为主要特征的数据集合是对数量巨大、来源分散、格式多样的数据进行采集、存储和关联分析发现新知识、创造新价值、提升新能力的新一代信息技术和服务业态。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第三条 大数据发展应用应当坚持统筹规划、创新引领政府引导、市场主导共享开放、保障安全的原则。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第四条 省人民政府坚持应用和服务导向推进大数据发展应用先行先试积极引进和培育优势企业、优质资源、优秀人才促进大数据产业核心业态、关联业态、衍生业态协调发展加快推进国家大数据综合试验区和大数据产业发展聚集区、大数据产业技术创新试验区、大数据战略重点实验室、大数据安全与管理工程、跨境数据自由港等建设发展形成大数据资源汇集中心、企业聚集基地、产业发展基地、人才创业基地、技术创新基地和应用服务示范基地。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第五条 省人民政府统一领导全省大数据发展应用工作市、州和县级人民政府负责本行政区域内大数据发展应用工作。县级以上人民政府应当将大数据发展应用纳入本行政区域国民经济和社会发展规划协调解决大数据发展应用的重大问题。县级以上人民政府信息化行政主管部门负责大数据发展应用的具体工作县级以上人民政府其他部门按照各自职责做好大数据发展应用相关工作。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第六条 省人民政府信息化行政主管部门会同有关部门按照适度超前、合理布局、绿色集约、资源共享的原则编制本省大数据发展应用总体规划报省人民政府批准后公布实施。市、州和县级人民政府以及省人民政府有关行政主管部门编制本区域、本部门、本行业大数据发展应用专项规划的应当与省大数据发展应用总体规划相衔接并报省人民政府信息化行政主管部门备案。
贵州省大数据发展应用促进条例,,,第一章 总 则,,第七条 县级以上人民政府及其部门应当加强大数据发展应用宣传教育提高全社会大数据发展应用意识和能力。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第八条 省、市、州人民政府可以设立大数据发展应用专项资金用于大数据发展应用研究和标准制定、产业链构建、重大应用示范工程建设、创业孵化等县级人民政府根据需要可以相应设立大数据发展应用专项资金。依法设立大数据发展基金引导社会资本投资大数据发展应用。鼓励金融机构创新金融产品完善金融服务支持大数据发展应用鼓励社会资金采取风险投资、创业投资、股权投资等方式参与大数据发展应用鼓励、支持符合条件的大数据企业依法进入资本市场融资。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第九条 县级以上人民政府可以确定本行政区域大数据发展应用重点领域制定支持大数据产业发展、产品应用、购买服务等政策措施。县级以上人民政府应当结合本行政区域大数据发展应用重点领域制定大数据人才引进培养计划积极引进领军人才和高层次人才加强本土人才培养并为大数据人才开展教学科研和创业创新等活动创造条件。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十条 县级以上人民政府应当根据土地利用总体规划和大数据发展应用总体规划、专项规划保障大数据项目建设用地对新增大数据项目建设用地优先列入近期城乡规划、土地利用年度计划年度内新增建设用地优先用于大数据建设项目。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十一条 符合国家税收优惠政策规定的大数据企业享受税收优惠。大数据高层次人才或者大数据企业员工年缴纳个人所得税达到规定数额的按照有关规定给予奖励具体办法由省人民政府制定。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十二条 鼓励高等院校、教学科研机构和企事业单位以设立研发中心、技术持股、期权激励、学术交流、服务外包、产业合作等方式积极利用国内外大数据人才资源。鼓励高等院校、科研机构、职业学校与企业合作开展大数据发展应用技术研究建立大数据教育实践、创新创业和培训基地。支持高等院校大数据学科建设开设大数据相关课程。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十三条 省人民政府应当整合资源、加大投入加快信息基础设施建设推动省内通信网络互联互通提高城乡宽带、移动互联网覆盖率和接入能力推进全省通信骨干网络扩容升级提升互联网出省带宽能力。鼓励、支持网络通信运营企业加快骨干传输网、无线宽带网及新一代移动互联网建设和改造升级优化网络通信基础设施布局提高网络通信质量降低网络通信资费。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十四条 省人民政府应当组织有关部门、教学科研机构等积极开展大数据发展应用相关标准研究推动建立地方、行业大数据发展应用标准体系。鼓励大数据企业研究制定大数据发展应用相关标准。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十五条 政府投资的大数据工程应当进行项目需求分析科学确定项目建设内容和投资规模严格项目审批程序并按照国家有关规定加强项目全过程管理。公共机构已建、在建信息平台和信息系统应当依法实现互联互通不得新建孤立的信息平台和信息系统、设置妨碍互联互通的技术壁垒。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十六条 省人民政府信息化行政主管部门会同相关部门制定公共数据资源分级分类管理办法依法建立健全公共数据采集制度。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十七条 任何单位或者个人不得非法采集涉及国家利益、公共安全、商业秘密、个人隐私、军工科研生产等数据采集数据不得损害被采集人的合法权益。通过公共平台可以获得的共享数据公共机构不得向相关单位和个人重复采集上级部门和单位不得要求下级部门和单位重复上报法律法规另有规定的除外。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十八条 培育数据交易市场规范交易行为。数据资源交易应当遵循自愿、公平和诚实信用原则遵守法律法规尊重社会公德不得损害国家利益、社会公共利益和他人合法权益。数据交易应当依法订立合同明确数据质量、交易价格、提交方式、数据用途等内容。推行数据交易合同示范文本。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第十九条 鼓励和引导数据交易当事人在依法设立的数据交易服务机构进行数据交易。数据交易服务机构应当具备与开展数据交易服务相适应的条件配备相关人员制定数据交易规则、数据交易备案登记等管理制度依法提供交易服务。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第二十条 县级以上人民政府应当加强社会治理大数据应用推动简政放权提升宏观调控、市场监管与公共服务等决策、管理、服务能力。实施数据铁笼规范权力行使对公共权力、公共资源交易、公共资金等实行全过程监督。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第二十一条 县级以上人民政府应当推进信息化与农业、工业、服务业等产业深度融合推动现代山地特色高效农业、大健康、旅游、新型建筑材料等领域大数据应用提升相关产业大数据资源的分析应用能力培育互联网金融、大数据处理分析等新业态推动产业转型升级。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第二十二条 县级以上人民政府应当在社会保障、公共安全、人居环境、劳动就业、文化教育、交通运输、综合治税、消费维权等领域开展大数据应用优化公共资源配置提高公共服务水平。推进大数据精准扶贫建设涉农数据交换与共享平台实现涉农基本数据动态化、数字化、常态化精准管理。
贵州省大数据发展应用促进条例,,,第二章 发展应用,,第二十三条 县级以上人民政府应当积极支持大数据关键技术、解决方案、重点产品、配套服务、商业模式创新和应用研究培养大数据骨干企业推动大众创业、万众创新。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十四条 省人民政府按照统一标准、依法管理主动提供、无偿服务便捷高效、安全可靠的原则制定全省公共数据共享开放措施推动公共数据率先共享开放。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十五条 数据共享开放应当维护国家安全和社会公共安全保守国家秘密、商业秘密保护个人隐私保护数据权益人的合法权益。任何单位和个人不得利用数据共享开放从事违法犯罪活动。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十六条 全省统一的大数据平台以下简称云上贵州汇集、存储、共享、开放全省公共数据及其他数据。除法律法规另有规定外公共机构信息系统应当向州并与其他公共机构共享。鼓励其他信息系统向云上贵州迁移其他数据汇集、存储在云上贵州并与他人共享、向社会开放。由省人民政府另行制定。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十七条 实行公共数据开放负面清单制度。除法律法规另有规定外公共数据应当向社会开放依法不能向社会开放的公共数据目录应当向社会公布。依法不能向社会开放的公共数据涉及特定公民、法人和其他组织重大利益关系的经申请可以向该特定对象开放。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十八条 公共数据共享开放应当符合统一的格式标准内容应当真实、准确、完整。通过共享开放获取的公共数据与纸质文书原件具有同等效力。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第二十九条 实行公共数据共享开放风险评估制度。提供公共数据的单位应当按照法律法规和保密、安全管理等规定对公共数据进行风险评估保证共享开放数据安全。公共数据进行风险审核发现可能存在风险时应当及时告知提供单位提供单位应当及时处理并予以反馈。
贵州省大数据发展应用促进条例,,,第三章 共享开放,,第三十条 鼓励单位和个人对共享开放的数据进行分析、挖掘、研究开展大数据开发和创新应用。
贵州省大数据发展应用促进条例,,,第四章 安全管理,,第三十一条 省人民政府建立数据安全工作领导协调机制统筹协调和指导本省数据安全保障和监管工作。省大数据安全主管部门会同有关部门制定数据安全等级保护、风险测评、应急防范等安全制度加强对大数据安全技术、设备和服务提供商的风险评估和安全管理建立健全大数据安全保障和安全评估体系。
贵州省大数据发展应用促进条例,,,第四章 安全管理,,第三十二条 大数据采集、存储、清洗、开发、应用、交易、服务单位应当建立数据安全防护管理制度制定数据安全应急预案并定期开展安全评测、风险评估和应急演练采取安全保护技术措施防止数据丢失、毁损、泄露和篡改确保数据安全。发生重大数据安全事故时应当立即启动应急预案及时采取补救措施告知可能受到影响的用户并按照规定向有关主管部门报告。
贵州省大数据发展应用促进条例,,,第四章 安全管理,,第三十三条 鼓励大数据保护关键技术和大数据安全监管支撑技术创新和研究支持科研机构、高等院校和企业开展数据安全关键技术攻关推动政府、行业、企业间数据风险信息共享。
贵州省大数据发展应用促进条例,,,第五章 法律责任,,第三十四条 公共机构及其工作人员违反本条例第十五条第二款、第十七条第二款、第二十五条、第二十六条第二款、第二十七条第一款、第二十八条第一款、第二十九条第一款规定的由其上级主管部门或者监察机关对直接负责的主管人员和其他直接责任人员依法给予行政处分。
贵州省大数据发展应用促进条例,,,第五章 法律责任,,第三十五条 国家机关及其工作人员违反本条例规定或者玩忽职守、滥用职权、徇私舞弊妨碍大数据发展应用工作尚不构成犯罪的由其上级主管部门或者监察机关对直接负责的主管人员和其他直接责任人员依法给予行政处分。
贵州省大数据发展应用促进条例,,,第五章 法律责任,,第三十六条 违反本条例规定非法采集、销售涉及国家利益、公共安全和军工科研生产等数据的按照有关法律法规的规定处罚。非法采集、销售涉及商业秘密或者个人隐私数据尚不构成犯罪的由县级以上人民政府有关行政主管部门没收违法所得并可处以违法所得 1 倍以上 10 倍以下罚款没有违法所得的处以 1 万元以上 10 万元以下罚款。
贵州省大数据发展应用促进条例,,,第五章 法律责任,,第三十七条 违反本条例规定的其他行为有关法律法规有处罚规定的从其规定。
贵州省大数据发展应用促进条例,,,第六章 附 则,,第三十八条 本条例下列用语的含义为行职责收集、制作、使用的数据。的国家机关、事业单位和团体组织。电、燃气、通信、民航、铁路、道路客运等企业。
贵州省大数据发展应用促进条例,,,第六章 附 则,,第三十九条 本条例自 2016 年 3 月 1 日起施行。
