文件名,编,分编,章,节,内容
贵州省节约用水条例,,,第一章 总 则,,第一条 为了珍惜水资源节约用水提高用水效率促进经济社会可持续发展根据《中华人民共和国水法》和有关法律、法规的规定结合本省实际制定本条例。
贵州省节约用水条例,,,第一章 总 则,,第二条 本条例适用于本省行政区域内的节约用水及其监督管理等活动。
贵州省节约用水条例,,,第一章 总 则,,第三条 节约用水坚持节水优先、统一规划、总量控制、合理配置、高效利用的原则建立政府主导、部门协同、市场调节、公众参与的节约用水机制。
贵州省节约用水条例,,,第一章 总 则,,第四条 县级以上人民政府应当将节约用水纳入国民经济和社会发展规划发展节水型工业、农业和服务业加强节约用水管理建立节约用水目标责任考核制度建设节水型社会。乡镇人民政府、街道办事处协助开展节约用水工作。鼓励村民委员会、居民委员会制定村规民约和居民公约引导村民、居民节约用水。
贵州省节约用水条例,,,第一章 总 则,,第五条 省人民政府水行政主管部门负责全省节约用水工作组织编制节约用水规划并监督实施组织制定节约用水标准指导和推动节水型社会建设。省人民政府发展和改革部门负责节约用水规划、指标与国民经济和社会发展规划的协调衔接建立健全有利于促进节约用水的价格机制。省人民政府住房和城乡建设主管部门负责指导城镇节约用水工作制定城市建设和市政公用事业方面的节水制度、办法和标准推进节水型城市建设。省人民政府工业和信息化主管部门负责指导工业节约用水工作推广使用节水技术、设备和工艺。省人民政府农业农村主管部门负责指导农业节约用水工作和开展高效节水灌溉建设推广先进农业节水技术。省人民政府教育主管部门负责大学、中学、小学学生节约用水教育提高节约用水意识。省人民政府机关事务主管部门负责指导公共机构节约用水工作。省人民政府其他部门按照职责分工做好节约用水相关工作。市县两级人民政府水务、发展改革、住房城乡建设、工业和信息化、农业农村、教育、公共机构节能等主管部门按照职责分工负责本行政区域内节约用水工作。
贵州省节约用水条例,,,第一章 总 则,,第六条 任何单位和个人都有节约用水的义务对浪费水资源的行为有权举报。县级以上人民政府水行政主管部门应当建立举报制度向社会公布举报方式接到举报后及时调查处理并向举报人反馈处理结果。
贵州省节约用水条例,,,第一章 总 则,,第七条 县级以上人民政府及其相关部门应当通过开展世界水日、中国水周、城市节约用水宣传周等主题宣传活动加强节约用水宣传教育营造亲水、惜水、节水的良好氛围增强全民节约用水意识使节约用水成为每个单位、每个家庭、每个人的自觉行动。广播、电视、报刊、网络等新闻媒体应当加强节约用水公益宣传和舆论监督。学校、宾馆、商场、车站、机场、公园、医院等公共场所应当设置节约用水宣传标语、标志牌宣传节约用水知识。
贵州省节约用水条例,,,第一章 总 则,,第八条 对节约用水成绩显著的单位和个人由县级以上人民政府按照国家和省有关规定予以表彰和奖励。
贵州省节约用水条例,,,第二章 节约用水管理,,第九条 县级以上人民政府根据经济社会发展需要、水资源状况和上级节水规划组织编制本行政区域的节水规划。
贵州省节约用水条例,,,第二章 节约用水管理,,第十条 本省实行区域用水总量和强度控制制度建立省、市、县三级行政区域用水总量和强度控制指标体系。县级以上人民政府水行政主管部门应当依据本行政区域年度用水总量和强度控制指标制定年度用水计划并组织实施。
贵州省节约用水条例,,,第二章 节约用水管理,,第十一条 需要开展水资源论证的规划和项目应当将节约用水评价作为水资源论证的内容促进水资源优化配置和高效利用。缺水地区应当严格限制高耗水工业项目建设和高耗水服务业。
贵州省节约用水条例,,,第二章 节约用水管理,,第十二条 新建、扩建、改建的建设项目应当制订节水措施方案配套建设节水设施。节水设施应当与主体工程同时设计、同时施工、同时投入使用。用水单位应当加强节水设施运行维护管理不得擅自停止使用节水设施。
贵州省节约用水条例,,,第二章 节约用水管理,,第十三条 本省用水定额由省人民政府有关行业主管部门提出经同级水行政、标准化主管部门审核同意后由省人民政府公布并报国务院水行政、标准化主管部门备案。本省用水定额应当根据水资源状况、技术进步和经济社会发展水平适时修订。
贵州省节约用水条例,,,第二章 节约用水管理,,第十四条 供水单位应当对计量设施定期检查、维护和轮换计量设施有损坏的应当及时更换确保正常使用并不得收取任何费用。县级以上人民政府水行政主管部门根据用水总量和强度控制指标要求确定本行政区域的重点监控用水单位名录并实行重点监控。
