文件名,编,分编,章,节,内容
贵州省食盐管理条例,,,第一章 总 则,,第一条 为了加强食盐管理确保食盐质量和供应安全保护公民身体健康根据《中华人民共和国食品安全法》《食盐专营办法》《食盐加碘消除碘缺乏危害管理条例》和有关法律、法规的规定结合本省实际制定本条例。
贵州省食盐管理条例,,,第一章 总 则,,第二条 本省行政区域内从事食盐生产、采购、运输、存储、销售、储备等活动适用本条例。
贵州省食盐管理条例,,,第一章 总 则,,第三条 本条例所称食盐是指直接食用和制作食品所用的盐。加碘食盐和未加碘食盐应当符合国家食用盐标准。
贵州省食盐管理条例,,,第一章 总 则,,第四条 食盐实行专营管理。省人民政府盐业主管部门负责食盐行政许可和行业管理工作市、州人民政府和县级人民政府盐业主管部门负责本行政区域内食盐的行业管理工作。省人民政府市场监管部门负责食盐质量安全管理和行政执法监督工作协调跨区域行政执法组织查处重大案件市、州人民政府和县级人民政府市场监管部门负责本行政区域内食盐质量安全管理和行政执法工作。省人民政府卫生健康主管部门负责确定本省执行的食盐碘含量国家标准、食盐碘含量监测和碘缺乏地区划定工作市、州人民政府和县级人民政府卫生健康主管部门负责本行政区域内碘缺乏危害的防治和监测工作。省人民政府物资储备部门负责政府食盐储备工作市、州人民政府和县级人民政府可以根据当地实际情况开展政府食盐补充储备工作。县级以上人民政府有关职能部门应当按照各自职责依法做好食盐管理相关工作。
贵州省食盐管理条例,,,第一章 总 则,,第五条 各级人民政府应当加强食盐安全和合理补碘、合理用盐等科学用盐的宣传教育普及食盐安全知识鼓励社会组织、基层群众性自治组织、食盐生产经营者开展食盐安全法律、法规以及食盐安全标准和知识的普及工作倡导健康的饮食方式增强消费者食盐安全意识和自我保护能力。新闻媒体应当开展食盐安全和科学补碘的法律、法规以及食盐安全标准和知识的公益宣传并对食盐安全违法行为进行舆论监督。
贵州省食盐管理条例,,,第二章 生产经营,,第六条 从事食盐生产应当取得食盐定点生产企业证书。食盐实行定点批发制度。未取得食盐定点批发企业证书的企业不得经营食盐批发业务。
贵州省食盐管理条例,,,第二章 生产经营,,第七条 食盐定点批发企业应当在食盐定点批发企业证书核定的区域从事批发业务。食盐定点批发企业不得委托个人或者没有食盐批发资质的单位开展批发经营。
贵州省食盐管理条例,,,第二章 生产经营,,第八条 食盐定点批发企业应当从食盐定点生产企业或者其他食盐定点批发企业购进食盐食盐零售经营者应当从食盐定点批发企业购进食盐。食盐定点批发企业和食盐零售经营者应当查验供货者相关许可证和出厂食盐质量检测报告取得增值税发票。食盐定点批发企业应当建立食盐采购记录制度。如实记录购进食盐的品种、名称、规格、数量、生产日期或者生产批号、保质期、进货日期以及供货者名称、地址、联系方式等内容并保存相关凭证。食盐定点批发企业应当建立食盐销售记录制度。如实记录销售食盐的品种、名称、规格、数量、生产日期或者生产批号、保质期、销售日期以及购货者名称、地址、联系方式等内容并保存相关凭证。食盐采购、销售的记录和相关凭证保存期限不得少于 2 年。
贵州省食盐管理条例,,,第二章 生产经营,,第九条 食盐定点批发企业应当建立食盐追溯体系保证销售食盐来源可追溯流向可查询。省人民政府盐业主管部门应当督促食盐定点批发企业建立食盐电子追溯体系利用信息技术手段加强食盐安全监管。
贵州省食盐管理条例,,,第二章 生产经营,,第十条 本省零售的加碘食盐应当按照国家有关规定实行小包装包装规格不超过 1000 克。包装物必须符合有关食品安全标准。
