文件名,编,分编,章,节,内容
贵港市立法条例,,,第一章 总则,,第一条 为了规范本市的立法活动提高立法质量发挥立法的引领和推动作用全面推进贵港法治建设根据宪法和《中华人民共和国地方各级人民代表大会和地方各级人民政府组织法》《中华人民共和国立法法》《广西壮族自治区立法条例》的规定结合本市实际制定本条例。
贵港市立法条例,,,第一章 总则,,第二条 本市地方性法规的制定、修改、解释和废止以及审查市人民政府制定的规章适用本条例。
贵港市立法条例,,,第一章 总则,,第三条 制定地方性法规应当遵循《中华人民共和国立法法》规定的基本原则不得同宪法、法律、行政法规和自治区地方性法规相抵触。
贵港市立法条例,,,第一章 总则,,第四条 制定地方性法规应当根据本市的具体情况和实际需要适应本市经济社会发展和全面深化改革的要求科学合理地规定公民、法人和其他组织的权利和义务、国家机关的权力和责任。
贵港市立法条例,,,第一章 总则,,第五条 立法工作所需经费应当列入本级预算。
贵港市立法条例,,,第二章 立法权限,,第六条 市人民代表大会及其常务委员会可以对城乡建设与管理、环境保护、历史文化保护等方面的下列事项制定地方性法规要根据本市的实际情况作出具体规定的事项家尚未制定法律或者行政法规自治区尚未制定地方性法规的根据本市具体情况需要制定地方性法规的事项。法律对设区的市制定地方性法规的事项另有规定的从其规定。
贵港市立法条例,,,第二章 立法权限,,第七条 规定本市特别重大事项的地方性法规应当由市人民代表大会通过。
贵港市立法条例,,,第二章 立法权限,,第八条 在市人民代表大会闭会期间常务委员会可以对市人民代表大会制定的地方性法规进行部分修改但是不得同该地方性法规的基本原则相抵触。
贵港市立法条例,,,第二章 立法权限,,第九条 市人民代表大会及其常务委员会通过的地方性法规报自治区人民代表大会常务委员会批准后施行。
贵港市立法条例,,,第三章 立法规划和法规草案起草,,第十条 市人民代表大会及其常务委员会应当加强对地方性法规立法工作的组织协调发挥在立法工作中的主导作用。
贵港市立法条例,,,第三章 立法规划和法规草案起草,,第十一条 常务委员会通过编制立法规划和年度立法计划加强立法工作统筹。常务委员会法制工作机构负责编制立法规划和年度立法计划并按照常务委员会的要求督促立法规划和年度立法计划的落实。
贵港市立法条例,,,第三章 立法规划和法规草案起草,,第十二条 常务委员会每届任期第一年编制地方性法规立法规划由主任会议通过并向社会公布。编制立法规划应当遵循突出重点、区分轻重缓急、量力而行、积极而为的原则认真研究代表议案和建议广泛征集意见科学论证评估根据经济社会发展和民主法治建设的需要确定立法项目提高立法的及时性、针对性。
贵港市立法条例,,,第三章 立法规划和法规草案起草,,第十三条 常务委员会法制工作机构应当在每年第四季度向市人民政府及其有关部门、市人民代表大会各专门委员会、县级人民代表大会常务委员会、市人民代表大会代表公开征集下一年度的立法计划项目。年度立法计划项目包括立法审议项目和立法调研项目。本市人民团体、其他组织和个人可以向常务委员会提出制定有关的地方性法规的建议项目。
贵港市立法条例,,,第三章 立法规划和法规草案起草,,第十四条 编制年度立法计划应当遵循统筹协调、突出重点、急需先立、保证质量的原则。常务委员会法制工作机构应当会同有关的专门委员会、常务委员会有关的工作机构、市人民政府有关的部门对各方面提出的立法计划项目建议进行研究、论证、评估并征求常务委员会组成人员及县级人民代表大会常务委员会、人民政府意见于每年十二月拟订下一年度的立法计划草案报请自治区人民代表大会常务委员会征求意见后由主任会议通过印发各有关的机关和组织执行并向社会公布。年度立法计划需要调整的应当由常务委员会法制工作机构提出意见报主任会议决定。
