文件名,编,分编,章,节,内容
辽宁省义务教育条例,,,,,第一条 为了保障适龄儿童、少年享有平等接受义务教育的权利保证义务教育的实施根据《中华人民共和国义务教育法》等有关法律、法规结合本省实际制定本条例。
辽宁省义务教育条例,,,,,第二条 本省义务教育阶段的基本学制为小学、初中九年制或者九年一贯制。蒙古族、朝鲜族小学可以实行七年制蒙古族、朝鲜族初中实行三年制。
辽宁省义务教育条例,,,,,第三条 义务教育实行省人民政府统筹规划实施、县含县级市、区下同人民政府为主管理的体制。设区的市以下简称市人民政府负责本行政区域内义务教育的实施管理工作。教育行政部门负责本行政区域内义务教育的具体实施工作。财政、人事、发展改革、建设、公安、文化、卫生、体育、司法行政等有关行政部门在各自职责范围内做好义务教育的相关实施工作。乡镇人民政府、街道办事处和村民委员会、居民委员会以及社会团体应当协助教育行政部门开展适龄儿童、少年入学、防止辍学、家庭教育和学校周边环境治理等工作支持义务教育的实施。适龄儿童、少年的父母或者其他法定监护人应当依法保证适龄儿童、少年接受义务教育。
辽宁省义务教育条例,,,,,第四条 义务教育不收学费、杂费。义务教育所需要的经费、师资、校舍和设施等由政府提供保障。
辽宁省义务教育条例,,,,,第五条 县以上人民政府教育督导机构应当依法对推行素质教育和均衡发展等义务教育工作情况进行督导上一级人民政府应当将督导结果作为评价下一级人民政府义务教育实施工作的重要依据。
辽宁省义务教育条例,,,,,第六条 适龄儿童、少年免试就近入学。城市学校应当按照划定的学区招生并将招生结果向社会公布。不得采取或者变相采取笔试、面试等测试形式选拔学生入学不得将各种竞赛、社会各类考试成绩和证书或者捐助作为入学的条件不得擅自跨学区招生。
辽宁省义务教育条例,,,,,第七条 市、县教育行政部门应当按照公平、公开和有利于就近入学的原则合理拟定学区划分方案报本级人民政府批准实施并向社会公布接受社会监督。
辽宁省义务教育条例,,,,,第八条 适龄儿童、少年的父母或者其他法定监护人持身份证、户口簿和市、县教育行政部门规定的其他证明材料到学区对应学校办理入学手续。进城务工人员的适龄子女可以在居住地接受义务教育。由父母或者其他法定监护人持本人身份证、居住证明、就业证明向居住地的县教育行政部门提出申请由其按照就近入学的原则指定学校接收。接收学校不得以额外招生为由收取接收费用。前款所称就业证明是指工作单位出具的劳动关系或者人事关系证明材料或者个体工商户营业执照、街道办事处出具的自谋职业证明材料。
辽宁省义务教育条例,,,,,第九条 学校应当按照国家有关规定投保学生意外伤害校方责任保险所需经费由学校公用经费支出。
辽宁省义务教育条例,,,,,第十条 学校必须按国家规定的标准每年组织学生进行一次身体健康检查所需经费由学校公用经费支出。
辽宁省义务教育条例,,,,,第十一条 省人民政府应当按照国家规定的办学标准制定学校建设的具体标准并组织实施。市、县人民政府不得降低标准。学校建设应当符合国家规定的选址要求和建设标准确保学生和教职工的安全。
辽宁省义务教育条例,,,,,第十二条 市、县教育、建设、国土资源、发展改革等有关部门应当根据学校设置规划合理确定学校布局依法保障义务教育需要的建设用地。有关行政监管部门必须严格监督学校建设的工程设计和施工质量确保符合抗震设防和消防安全等方面的标准和要求。根据学校设置规划新建居民区需要建设学校的应当与居民区同步设计、同步建设、同步投入使用。
辽宁省义务教育条例,,,,,第十三条 市、县人民政府应当统筹学校布局的调整和危房改造工作结合本地区实际需要加强标准化九年一贯制寄宿制学校建设。建设标准化九年一贯制寄宿制学校应当符合省级标准。
辽宁省义务教育条例,,,,,第十四条 审批学校周边建设项目应当符合城乡规划、环境保护和学校安全的要求。不得擅自拆迁和占用学校校舍、场地。确需拆迁或者占用的应当经教育行政主管部门同意依法办理相关审批手续按照先建设后拆迁的原则在保持校园完整性的前提下就近补偿建设或者重新建设。补偿建设或者重新建设的用地面积不得少于原用地面积学校的存量资产不得减少。
辽宁省义务教育条例,,,,,第十五条 省教育行政部门应当统筹规划特殊教育学校的布局和发展。市、县人民政府应当按照国家和省的规定根据需要设置接收适龄残疾儿童、少年的特殊教育学校并达到省规定的标准。
辽宁省义务教育条例,,,,,第十六条 市人民政府可以根据需要设置专门学校接收有法律规定的严重不良行为的适龄少年完成义务教育。专门学校的名称纳入普通学校序列。
辽宁省义务教育条例,,,,,第十七条 对未完成义务教育的未成年犯和被采取强制性教育措施的未成年人进行义务教育由执行机关负责实施所需经费按照执行机关隶属关系由其本级人民政府予以保障所在地的市教育行政部门负责业务监督、指导。对未完成义务教育的服刑期满和解除强制性教育措施的未成年人可以在居住地学校或者专门学校继续完成义务教育。
辽宁省义务教育条例,,,,,第十八条 对违反学校管理制度的学生学校应当给予批评教育情节严重的可以给予纪律处分但不得责令转学不含转入专门学校、退学或者开除学生。对有法律规定的严重不良行为的适龄少年其父母或者其他法定监护人以及学校可以按照有关法律规定将其转送专门学校接受义务教育。学校将学生转送专门学校的应当向教育行政部门出具该学生严重不良行为的证明材料和品行评价报告经校长签署意见并附公安派出所、居民村民委员会的意见报县教育行政部门审查同意。
辽宁省义务教育条例,,,,,第十九条 学校不得擅自向学生收费。由学校实施的服务性收费、代收费项目和标准必须经省财政、物价、教育行政部门审查报省人民政府审定并公布后方可实施。学生家长因学生管理教育事宜有权与学校、教师交涉但不得干扰学校正常的教学秩序不得以任何借口和形式伤害教师。
辽宁省义务教育条例,,,,,第二十条 学校应当按照国家有关规定结合师生比例均衡编班和配备教师并向学生家长公布。学校逐步实行小班化教学。
辽宁省义务教育条例,,,,,第二十一条 省教育行政部门应当会同有关部门加强中小学师资培养采取措施吸引优良生源接受师范教育从事义务教育工作。教育行政部门等有关部门应当执行国家统一的义务教育教师职务制度。对在教育教学上有突出成绩的教师优先评聘高一级职务。
辽宁省义务教育条例,,,,,第二十二条 省教育行政部门应当加强统筹协调拓宽教师交流渠道优化教师资源配置重点做好农村、贫困地区、少数民族地区和薄弱学校的教师资源配备加大对口支援力度鼓励并组织城市中小学教师到农村任教。高等学校毕业生取得教师资格后到农村学校从事义务教育工作的享受优惠待遇。具体优惠办法由省教育行政部门会同有关部门制定。
辽宁省义务教育条例,,,,,第二十三条 县以上人民政府应当按照国家有关规定保障教师享受工资福利和社会保险待遇改善教师工作和生活条件完善农村教师工资经费保障机制。确保教师的平均工资水平不低于当地公务员的平均工资水平。省人民政府应当逐步提高中小学班主任津贴标准。学校应当组织教师至少每两年进行一次身体健康检查所需经费按照隶属关系由县级以上同级财政承担。
