文件名,编,分编,章,节,内容
辽宁省人力资源市场条例,,,第一章 总 则,,第一条 为了规范人力资源市场活动促进人力资源合理流动和优化配置促进高质量充分就业服务经济社会健康发展根据《中华人民共和国就业促进法》《人力资源市场暂行条例》等法律、行政法规结合本省实际制定本条例。
辽宁省人力资源市场条例,,,第一章 总 则,,第二条 在本省行政区域内通过人力资源市场求职、招聘和开展人力资源服务适用本条例。
辽宁省人力资源市场条例,,,第一章 总 则,,第三条 加强人力资源开发利用健全统一规范的人力资源市场体系坚持党的全面领导实施就业优先战略和人才强省战略坚持服务发展、市场主导、政府促进、规范有序的原则。
辽宁省人力资源市场条例,,,第一章 总 则,,第四条 省、市、县含县级市、区下同人民政府应当将人力资源市场建设纳入国民经济和社会发展规划将公共人力资源服务经费纳入本级财政预算加强统筹协调和政策引导优化人力资源市场环境促进人力资源市场发展。乡镇人民政府、街道办事处应当协助做好人力资源市场相关工作。
辽宁省人力资源市场条例,,,第一章 总 则,,第五条 省、市、县人民政府人力资源社会保障行政部门负责本行政区域内人力资源市场的管理工作。发展改革、教育、公安、财政、农业农村、商务、退役军人事务、市场监督管理、营商环境、税务等部门在各自职责范围内做好人力资源市场的相关管理工作。工会、共青团、妇联、残联等群团组织依照法律、法规及其章程规定组织开展公益性就业服务提供就业创业服务和帮助。
辽宁省人力资源市场条例,,,第一章 总 则,,第六条 省人民政府人力资源社会保障行政部门应当组织开展人力资源服务标准化建设加强人力资源服务标准的推广与应用建立人力资源服务机构分类和评估指标体系发挥人力资源服务标准在行业引导、服务规范、市场监管等方面的作用。
辽宁省人力资源市场条例,,,第一章 总 则,,第七条 省、市、县人民政府人力资源社会保障行政部门会同有关部门积极宣传就业创业、人力资源市场服务相关法律、法规和政策措施开展集中性就业促进和技能宣传活动。广播、电视、报刊、互联网等媒体加大政策宣传解读力度、加强舆论引导推动形成正确的就业、用人和服务导向营造有利于就业创业的良好氛围。
辽宁省人力资源市场条例,,,第二章 人力资源市场建设,,第八条 省、市、县人民政府建立健全就业公共服务体系完善覆盖全民的就业公共服务制度促进服务资源向基层延伸、向农村覆盖逐步健全布局合理、服务规范、运行高效的就业公共服务网络实现就业事项一体化办理、精准化服务、智能化监管。省、市、县人民政府加强人力资源服务信息化建设建立覆盖城乡和各行业的人力资源市场供求信息系统完善市场信息发布制度推动做好人力资源信息采集、归类、分析和发布工作。
辽宁省人力资源市场条例,,,第二章 人力资源市场建设,,第九条 省、市、县人民政府积极运用区域、产业、土地、教育、财政、科技等政策推进人力资源市场建设发展专业性、行业性人力资源市场鼓励并规范高端人力资源服务等业态发展提高人力资源服务业发展水平。鼓励社会力量参与人力资源市场建设。
辽宁省人力资源市场条例,,,第二章 人力资源市场建设,,第十条 省、市、县人民政府及其有关部门引导和促进人力资源在机关、企业、事业单位、社会组织之间以及不同地区之间合理流动为人力资源跨领域、跨部门、跨区域流动提供便利条件。鼓励和支持人力资源向优先发展的行业、艰苦边远地区和基层一线流动。任何单位不得违反国家规定在户籍、地域、身份等方面设置限制人力资源流动的条件。人力资源流动应当遵守法律、法规对服务期、从业限制、保密等方面的规定。
辽宁省人力资源市场条例,,,第二章 人力资源市场建设,,第十一条 省、市、县人民政府及其有关部门充分发挥人力资源市场引才荐才的作用吸引集聚各类人才围绕国家重大战略、本省重大工程和项目根据重点产业、新兴产业、未来产业等方面的人才需求积极引育高层次、高技能和急需紧缺人才。
