文件名,编,分编,章,节,内容
辽宁省企业工资集体协商条例,,,第一章 总 则,,第一条 为了规范工资集体协商行为保障企业和职工的合法权益维护劳动关系和谐稳定根据《中华人民共和国劳动法》、《中华人民共和国工会法》、《中华人民共和国劳动合同法》和《中华人民共和国劳动争议调解仲裁法》等有关法律、法规结合本省实际制定本条例。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第二条 本省行政区域内各类企业开展工资集体协商适用本条例。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第三条 本条例所称工资集体协商是指职工方与企业方就企业工资分配及相关事项进行平等协商的行为。本条例所称工资专项集体合同是指职工方与企业方就工资分配及相关事项在协商一致的基础上签订的专项书面协议。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第四条 企业应当建立工资集体协商制度依法与职工开展工资集体协商。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第五条 工资集体协商遵循合法、公平、公开、诚信、平等和协商一致的原则兼顾企业和职工双方利益保障职工实际工资水平与企业劳动生产率、企业经济效益、地区物价水平及社会经济发展水平相适应。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第六条 企业与职工个人订立的劳动合同中约定的劳动报酬等相关标准不得低于工资专项集体合同规定的标准。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第七条 省、市、县人民政府含县级市、区下同应当制定和完善相关政策建立工资集体协商激励机制促进工资集体协商依法有序进行。人力资源和社会保障主管部门负责对工资集体协商和工资专项集体合同的订立、履行情况进行监督检查协调处理解决工资集体协商中的争议。各级总工会、产业工会、行业工会可以参与、指导企业工会开展工资集体协商和签订工资专项集体合同对企业工资专项集体合同履行情况进行监督。工商业联合会、企业联合会、企业家协会和行业协会等企业代表组织可以指导、帮助企业方开展工资集体协商。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第八条 人力资源和社会保障主管部门、工会组织和企业代表组织应当建立会商机制确定本区域内年度工资集体协商指导意见研究处理工资集体协商方面的重要事项组织工资专项集体合同履约情况的检查评估。
辽宁省企业工资集体协商条例,,,第一章 总 则,,第九条 省、市、县人民政府应当将企业订立、履行工资专项集体合同情况列入企业信用监管体系。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十条 工资集体协商的双方协商代表人数应当对等每方为三至九人不得相互兼任。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十一条 职工方协商代表应当由企业工会组织职工竞选或者工会推选产生候选人由职工代表大会选举产生协商代表。没有建立工会的企业职工方协商代表由上级工会组织指导职工竞选或者民主推选产生。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十二条 职工首席协商代表由工会主席担任也可以由工会主席书面委托其他职工方协商代表担任。没有建立工会或者工会主席兼任企业领导职务的其职工首席协商代表从协商代表中民主推选产生。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十三条 企业方协商代表由法定代表人指派。企业首席协商代表由企业法定代表人担任也可以由其书面委托其他管理人员担任。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十四条 协商代表产生后应当向全体职工公告。协商代表出缺的按照本条例进行补选或者重新指派。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十五条 人力资源和社会保障主管部门、同级总工会、企业代表组织可以对聘任的工资集体协商指导员和协商代表进行培训。双方首席协商代表也可以聘请工资集体协商指导员作为本方协商顾问参加工资集体协商。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十六条 双方协商代表履行以下职责
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十七条 企业应当为双方协商代表履行职责提供必要的工作时间和工作条件。协商代表履行代表职责应当视为正常工作。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十八条 协商代表的任期自协商代表产生之日起至工资专项集体合同履行期满之日止。双方协商代表在任期内除法律、法规和规章的规定外企业不得解除其劳动合同或者降低其工资、奖金、津贴、补贴、社会保险等福利待遇不得在晋级、晋职等方面予以限制。
辽宁省企业工资集体协商条例,,,第二章 工资集体协商代表,,第十九条 在协商期间企业和职工双方协商代表不得采取威胁、收买、欺骗等不正当手段或者过激、歧视性行为干扰工资集体协商。
辽宁省企业工资集体协商条例,,,第三章 工资集体协商内容,,第二十条 工资集体协商一般包括以下内容
辽宁省企业工资集体协商条例,,,第三章 工资集体协商内容,,第二十一条 协商事项综合参考下列因素确定平均工资水平、最低工资标准平位预测
辽宁省企业工资集体协商条例,,,第三章 工资集体协商内容,,第二十二条 职工方与企业方开展工资集体协商根据实际情况双方均可以提出工资升降的协商要求。
辽宁省企业工资集体协商条例,,,第三章 工资集体协商内容,,第二十三条 协商确定的职工工资调整幅度、平均工资水平、最低工资不得低于行业、区域、产业协商确定的标准没有行业、区域协商标准的正常经营企业的职工工资调整幅度应当参照政府公布的工资指导线。企业工资集体协商确定的最低工资不得低于当地政府确定的最低工资标准。
辽宁省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十四条 协商双方均有权以书面形式向对方提出工资集体协商要约拟定协商的时间、地点和协商主要议题等事项。职工方的协商要约通过企业工会提出没有建立工会的企业职工可以在上一级工会的指导和帮助下提出集体协商要约。接受协商要约方应当自收到要约书之日起二十日内以书面形式答复无正当理由不得拒绝、拖延。
辽宁省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十五条 企业方应当在正式协商五日前向职工方协商代表提供与工资集体协商有关的真实情况和资料。企业不得以保守商业秘密等理由拒绝、隐瞒或者拖延。
辽宁省企业工资集体协商条例,,,第四章 工资集体协商程序,,第二十六条 正式协商十日前职工方和企业方可以分别向上一级工会和上一级企业代表组织报告。上一级工会和上一级企业代表组织可以派员指导。
