文件名,编,分编,章,节,内容
辽宁省公共卫生应急管理条例,,,第一章 总则,,第一条 为了提高公共卫生应急能力预防和减少公共卫生事件发生控制、减轻和消除其社会危害保障公众生命安全和身体健康维护公共安全和社会秩序根据《中华人民共和国传染病防治法》《中华人民共和国突发事件应对法》和相关法律法规结合本省实际制定本条例。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第二条 本省行政区域内公共卫生社会治理以及公共卫生事件预防与应急准备、监测预警、应急处置、医疗救治、保障监督、大数据应用等活动适用本条例。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第三条 公共卫生应急管理工作应当坚持党的领导坚持人民至上、生命至上坚持预防为主、健康优先的方针遵循统一领导、分级负责属地管理、联防联控依法科学、精准施策群防群治、群专结合的原则。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第四条 建立和完善公共卫生应急管理体系建设各方参与的公共卫生社会治理体系、集中统一的公共卫生应急指挥体系、专业现代的疾病预防控制体系、协同综合的公共卫生监测预警体系和平战结合的医疗救治体系。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第五条 省人民政府统一领导本省公共卫生应急管理工作。市、县、乡人民政府、街道办事处负责本辖区内的公共卫生应急管理工作落实上一级人民政府及其相关部门制定的公共卫生应急管理措施。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第六条 卫生健康主管部门负责组织公共卫生日常管理和公共卫生事件监测预警、应急处置、医疗救治等相关工作。发展改革、工业和信息化、商务、粮食物资储备、药品监管等部门按照各自职责负责组织实施相关药品、医疗器械、防护用品等应急物资的储备、征用、应急生产、紧急采购以及基本生活必需品的调度供应等工作。民政、教育、科技、大数据、财政、公安、应急、交通运输、司法行政、人力资源社会保障、生态环境、住房城乡建设、农业农村、外事、市场监管、医保、药监、海关等相关部门在各自职责范围内做好公共卫生事件应急处理相关工作。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第七条 各级人民政府及其相关部门应当采取应对公共卫生事件的措施应当与公共卫生事件可能造成的社会危害的性质、程度和范围相适应有多种措施可供选择的应当选择有利于最大程度地保护自然人、法人和非法人组织权益的措施。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第八条 任何组织和个人应当遵守相关法律、法规规定服从各级人民政府及其相关部门发布的决定、命令、通告配合各级人民政府及其相关部门依法采取的各项公共卫生事件预防与处置措施。
辽宁省公共卫生应急管理条例,,,第一章 总则,,第九条 任何组织和个人不得歧视正在接受治疗或者已被治愈的传染病患者、疑似传染病患者、病原携带者及其家属不得歧视来自或者途经疫区、疫情高风险地区的人员不得泄露和非法使用医疗健康、行踪轨迹等个人信息。
辽宁省公共卫生应急管理条例,,,第二章 公共卫生社会治理,,第十条 本省建立健全公共卫生社会治理体系发挥各级党组织作用建立党委领导、基层党组织为基础的工作机制落实属地责任、部门责任、单位责任、个人责任通过联防联控、群防群控机制将区域治理、部门治理、社区治理、单位治理、行业治理有机结合形成跨部门、跨层级、跨区域的公共卫生事件预防与处置体系。
