文件名,编,分编,章,节,内容
辽宁省农作物种子管理条例,,,第一章 总 则,,第一条 为了保护和合理利用农作物种质资源规范品种选育、种子生产经营和管理行为加强种业科学技术研究鼓励育种创新保护植物新品种权维护种子生产经营者、使用者的合法权益提高农作物种子以下简称种子质量发展现代种业推动种业振兴保障粮食安全根据《中华人民共和国种子法》等法律、法规结合本省实际制定本条例。
辽宁省农作物种子管理条例,,,第一章 总 则,,第二条 本省行政区域内从事农作物种质资源保护利用、品种选育、种子生产经营和管理等活动适用本条例。
辽宁省农作物种子管理条例,,,第一章 总 则,,第三条 省、市、县含县级市、区下同人民政府应当加强对种子工作的组织领导制定和实施促进农作物种业发展的政策措施建立种子工作保障机制将所需经费列入同级财政预算。省、市、县人民政府农业农村主管部门以下简称农业农村主管部门主管本行政区域内种子工作。发展改革、财政、科技、公安、教育、市场监管、知识产权等部门按照各自职责做好相关工作。
辽宁省农作物种子管理条例,,,第一章 总 则,,第四条 省人民政府应当根据乡村振兴战略和现代农业发展的需要制定农作物种业发展规划并组织实施。
辽宁省农作物种子管理条例,,,第一章 总 则,,第五条 省人民政府按照国家规定建立种子储备制度储备的种子主要用于发生灾害时的生产需要及余缺调剂保障农业生产安全。对储备的种子应当定期检验和更新。
辽宁省农作物种子管理条例,,,第一章 总 则,,第六条 省、市、县人民政府有关部门应当加强植物新品种保护工作鼓励和扶持种业科技创新、植物新品种培育及成果转化健全知识产权保护机制。
辽宁省农作物种子管理条例,,,第二章 种质资源保护与利用,,第七条 任何单位和个人不得侵占和破坏农作物种质资源。禁止采集或者采伐国家重点保护的农作物天然种质资源。因科研等特殊情况需要采集或者采伐的应当依法经国家或者省农业农村主管部门批准。
辽宁省农作物种子管理条例,,,第二章 种质资源保护与利用,,第八条 省农业农村主管部门应当按照国家有关规定开展农作物种质资源的普查、收集、整理、鉴定、登记、保存、交流和利用建立健全农作物种质资源档案确定并定期公布本省可供利用的农作物种质资源目录。
辽宁省农作物种子管理条例,,,第二章 种质资源保护与利用,,第九条 省农业农村主管部门根据需要建立农作物种质资源库圃、种质资源保护区和保护地确定农作物种质资源保护单位重点保护下列种质资源省农业农村主管部门应当在农作物种质资源库圃、种质资源保护区和保护地设立保护标志任何单位和个人不得破坏或者擅自移动保护标志。
辽宁省农作物种子管理条例,,,第二章 种质资源保护与利用,,第十条 农作物种质资源保护单位应当开展下列种质资源保护与利用工作评价、更新、交流和共享利用的管理制度并组织实施开展种质资源鉴定、评价发掘优异基因撑稳定壮大专业人才队伍。农作物种质资源保护单位可以利用农作物种质资源库圃、种质资源保护区和保护地开展科普教育活动因地制宜设置科普教育服务设施。
