文件名,编,分编,章,节,内容
辽宁省娱乐饮食服务场所治安管理条例,,,,,第一条 为了加强对娱乐、饮食、服务场所的治安管理维护社会治安秩序预防违法犯罪保障公民、法人和其他组织的合法权益根据有关法律、法规结合我省实际制定本条例。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第二条 凡在我省行政区域内的营业性的娱乐、饮食、服务场所的治安管理均适用本条例。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第三条 各级公安机关是本行政区域内娱乐、饮食、服务场所治安管理的主管部门依照公安机关的法定职责和本条例行使职权。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第四条 娱乐场所取得营业执照后应当在 15 日内向所在地县级公安部门备案。娱乐场所改建、扩建营业场所或者变更场地、主要设施设备、投资人员或者变更娱乐经营许可证载明的事项的应当依法向公安部门备案。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第五条 营业场所应当就下列内容向公安机关备案
辽宁省娱乐饮食服务场所治安管理条例,,,,,第六条 娱乐、饮食、服务场所的法定代表人或者经营负责人对本营业场所的治安管理负有下列责任负责监督其遵守治安管理的法律、法规法犯罪行为及时报告公安机关并协助查处场所内的人身、财产的安全。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第七条 娱乐、饮食、服务场所招用从业人员应当查看并登记被招用人的居民身份证属于流动人口的应当同时查看居住证没有居民身份证或者居住证的不得招用招用保安人员应当经过专门培训。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第八条 电子游戏厅不得经营国家和省明令禁止使用的游戏机种。禁止利用电子游戏机进行赌博和传播淫秽音像。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第九条 营业场所的服务人员不得进行卖淫和色情陪侍等违法犯罪活动不得为消费人员的违法行为提供条件。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十条 消费人员不得进行嫖娼、接受色情陪侍、赌博、吸毒、殴斗、寻衅滋事等违法犯罪活动不得携带枪支、管制刀具和易燃、易爆等危险物品。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十一条 公安人员对娱乐、饮食、服务场所进行治安检查时应当二人以上并出示《公共场所治安检查证》否则营业场所的经营者有权拒绝接受检查。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十二条 违反本条例第七条规定的依照《娱乐场所管理条例》的规定处罚。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十三条 凡在营业场所内发生卖淫、嫖娼、赌博和色情陪侍等违法犯罪行为的依照下列规定处理法规处罚元以下罚款理条例》的规定处罚。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十四条 被处罚的当事人和被处罚的营业场所的法定代表人或者经营负责人对依照本条例处罚不服的依据行政复议程序和行政诉讼程序行使权利。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十五条 人民警察不得经营或者变相经营娱乐、饮食、服务场所不得为营业场所的非法经营活动提供保护。违反前款规定的给予行政处分构成犯罪的依法追究刑事责任。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十六条 公安人员违反本条例规定滥用职权、玩忽职守、徇私舞弊尚不构成犯罪的由其所在单位或者上级主管部门给予行政处分。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十七条 《公共场所治安检查证》由省公安机关统一印制。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十八条 本条例具体应用中的问题由省公安机关负责解释。
辽宁省娱乐饮食服务场所治安管理条例,,,,,第十九条 本条例自颁布之日起施行。
