文件名,编,分编,章,节,内容
辽宁省边境沿海地区边防管理条例,,,第一章 总 则,,第一条 为加强我省边境、沿海地区的边防管理维护边境、沿海地区安全和社会稳定保障改革开放和社会主义现代化建设的顺利进行制定本条例。
辽宁省边境沿海地区边防管理条例,,,第一章 总 则,,第二条 本条例所称的边境地区是指北起丹东浑江口南至鸭绿江入海口沿国界线最宽处不超过二千米的地域及界河沿海地区是指东起鸭绿江入海口西至葫芦岛红石嘴的沿海岸线最宽处不超过二千米的陆地及国家领海海域。具体范围由省人民政府划定。
辽宁省边境沿海地区边防管理条例,,,第一章 总 则,,第三条 凡在我省边境、沿海地区从事活动的单位和个人必须遵守本条例。法律、法规另有规定的除外。
辽宁省边境沿海地区边防管理条例,,,第一章 总 则,,第四条 公安边防机关是边境、沿海地区边防管理的主管机关外事、水产、交通、林业、工商行政管理等部门依照法定职责做好边防管理工作。
辽宁省边境沿海地区边防管理条例,,,第一章 总 则,,第五条 任何单位或者个人有权制止和向公安边防机关报告、检举违反本条例的行为。
辽宁省边境沿海地区边防管理条例,,,第二章 入口及出入境管理,,第六条 边境、沿海地区的常住人口按照《中华人民共和国户口登记条例》管理。
辽宁省边境沿海地区边防管理条例,,,第二章 入口及出入境管理,,第七条 在边境、沿海地区非营业性住所拟暂住三十日以上其中从事劳务、经营活动拟暂住十日以上的外来人员必须在到达暂住地七日内持有效证件到暂住地公安边防派出所或者公安派出所登记并申领《暂住证》。未取得《暂住证》的外来人员不得从事劳务和经营活动任何单位和个人不得招用。
辽宁省边境沿海地区边防管理条例,,,第二章 入口及出入境管理,,第八条 在边境地区从事流筏、水文作业和随船作业的人员必须持单位介绍信和本人身份证到公安边防机关申领《流筏固定代表证》、《水文作业证》或者《船员证》。停止作业的人员应当在三日内到发证机关办理缴销手续。
辽宁省边境沿海地区边防管理条例,,,第二章 入口及出入境管理,,第九条 在集体、个人所有或者承包的船舶含各类艇以下简称船舶上从事生产、营运的人员应当持《出海船舶户口簿》、本人身份证或者暂住人口《暂住证》到县公安边防机关办理《出海船民证》《临时出海船民证》或者《船员证》。停止作业的人员应当在三日内到发证机关办理缴销手续。《出海船舶户口簿》《出海船民证》和《船员证》每个年度审验一次。
辽宁省边境沿海地区边防管理条例,,,第二章 入口及出入境管理,,第十条 公安边防机关应当在接到申请办理《流筏固定代表证》《水文作业证》《船员证》《出海船民证》和《临时出海船民证》之日起七日内作出答复符合规定的予以发证。
