文件名,编,分编,章,节,内容
辽源市电动车停放充电消防安全管理规定,,,,,第一条 为了加强电动车消防安全管理预防和减少火灾等事故保护人身、财产安全维护公共安全根据《中华人民共和国消防法》、《吉林省消防条例》等法律法规结合本市实际制定本规定。
辽源市电动车停放充电消防安全管理规定,,,,,第二条 在本市行政区域内电动车停放充电消防安全及其监督管理适用本规定。
辽源市电动车停放充电消防安全管理规定,,,,,第三条 本规定所称电动车是指以车载蓄电池为能源实现电助力或者电驱动的电动自行车、电动轻便摩托车、电动摩托车、电动三轮车、低速电动四轮车等。
辽源市电动车停放充电消防安全管理规定,,,,,第四条 电动车停放充电消防安全管理工作贯彻预防为主、防消结合的方针按照政府统一领导、部门依法监管、单位全面负责、公民积极参与的原则实行消防安全责任制建立健全社会化的消防工作网络。
辽源市电动车停放充电消防安全管理规定,,,,,第五条 市、县区人民政府应当加强对电动车停放充电消防安全管理工作的领导组织有关部门依法履行职责。消防救援机构依法对电动车停放场所和充电设施的消防安全情况以及违反消防安全规定的电动车停放充电行为进行监督管理。建设主管部门应当会同消防救援机构等部门参照国家和省有关设计标准提出电动车停放场所和充电设施建设指南指导停放场所和充电设施建设完善老旧小区电动车停放场所和充电设施设置。城乡规划主管部门负责电动车停放场所和充电设施建设的规划管理工作。应急管理、公安、教育、邮政管理、商务等主管部门按照各自职责做好电动车停放场所和充电设施安全管理和监督检查工作。
辽源市电动车停放充电消防安全管理规定,,,,,第六条 乡镇人民政府、街道办事处应当落实消防安全网格化管理措施指导、支持和帮助村居民委员会开展电动车停放充电消防安全检查等工作指导督促物业服务人对其服务管理区域内电动车停放场所和充电设施等涉及消防安全的管理工作。
辽源市电动车停放充电消防安全管理规定,,,,,第七条 村居民委员会应当制定电动车消防安全公约开展消防安全检查和日常巡查及时发现电动车消防安全隐患劝阻和制止违法违规行为。
辽源市电动车停放充电消防安全管理规定,,,,,第八条 住宅小区的电动车停放场所和充电设施的消防安全由物业服务人负责管理无物业服务人的由依法确定的管理人负责管理。
辽源市电动车停放充电消防安全管理规定,,,,,第九条 机关、团体、企业、事业等单位以及住宅小区以外居住人员较为集中的集体宿舍、公寓等场所的管理责任人对管理区域内的电动车停放场所和充电设施的消防安全进行管理。
辽源市电动车停放充电消防安全管理规定,,,,,第十条 新建住宅小区以及其他建设项目在规划、建设时应当明确并落实电动车停放场所和充电设施的配置要求。已建住宅小区应当对现有停放场所和充电设施开展安全化改造可以根据实际需要增设相对集中的停放场所和充电设施。确因客观条件无法在住宅小区内增设的可以在符合国土空间规划的前提下依法申请利用小区周边闲置空地等区域统筹设置相关设施。机关、团体、企业、事业等单位以及住宅小区以外居住人员较为集中的集体宿舍、公寓等场所应当根据使用需求设置符合安全要求的电动车停放场所和充电设施。
辽源市电动车停放充电消防安全管理规定,,,,,第十一条 电动车停放场所和充电设施应当符合有关技术标准和下列要求全距离并按照消防技术标准配备消防设施、器材不得占用防火间距、消防车通道和消防车登高操作场地建筑内停车场中的应当符合相关消防安全要求规定设置专用充电配电箱充电设施应当具备过充断开、过流保护、短路保护等功能按照规范配备监控、报警、灭火等设备在室内场所设置的还应当采取防火防烟分隔措施
辽源市电动车停放充电消防安全管理规定,,,,,第十二条 电动车所有人、使用人应当遵守相关法律法规规定保证电动车停放充电安全。禁止下列行为防通道等处停放电动车、存放电动车蓄电池或者为电动车、电动车蓄电池充电放电动车蓄电池或者为电动车、电动车蓄电池充电地下室、半地下室内停放电动车或者为电动车、电动车蓄电池充电
辽源市电动车停放充电消防安全管理规定,,,,,第十三条 使用电动车从事巡逻保洁等公共服务、物流外卖等生产经营活动的单位和企业应当履行下列职责明确消防安全责任人、管理人门管理人员求组织开展消防安全宣传教育
辽源市电动车停放充电消防安全管理规定,,,,,第十四条 电动车租赁企业应当履行下列职责管理规章制度明确消防安全责任人、管理人理人员事项和报修电话等信息
辽源市电动车停放充电消防安全管理规定,,,,,第十五条 电动车和电动车蓄电池集中充电设施所有人、管理人应当履行下列职责省、市有关规范标准和要求同时与居民住宅保持安全距离安全要求责任加强检查巡查建立健全应急预案定期开展应急疏散演练设施、电池符合安全要求其中电池还应当符合电动车电池出厂核定电压要求。
辽源市电动车停放充电消防安全管理规定,,,,,第十六条 任何单位和个人有权利对违反本规定的停放充电行为予以劝阻、举报。管理单位和管理人对违反本规定的不安全停放充电行为劝阻、制止无效的应当及时向消防救援机构、公安部门或者乡镇人民政府、街道办事处报告有关单位应当依法及时予以处理。
辽源市电动车停放充电消防安全管理规定,,,,,第十七条 消防救援机构应当会同公安、应急管理、住房和城乡建设等部门建立数字化、全流程的信息共享和执法协作机制。
辽源市电动车停放充电消防安全管理规定,,,,,第十八条 违反本规定的行为由相关执法部门依照有关法律法规规定予以处罚。
辽源市电动车停放充电消防安全管理规定,,,,,第十九条 本规定自 2025 年 1 月 1 日起施行。
