文件名,编,分编,章,节,内容
连山壮族瑶族自治县自治条例,,,第一章 总则,,第一条 根据《中华人民共和国宪法》、《中华人民共和国民族区域自治法》和有关法律法规的规定结合连山壮族瑶族自治县的政治、经济、文化的特点制定本条例。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第二条 连山壮族瑶族自治县以下简称自治县是广东省行政区域内以连山壮族瑶族聚居区为基础建立的民族自治地方。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第三条 自治县的自治机关以下简称自治机关是自治县的人民代表大会和人民政府。自治机关设在吉田镇。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第四条 自治机关行使宪法规定的县级地方国家机关的职权同时依照法律行使自治权。自治机关行使职权、自治权实行民主集中制的原则。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第五条 自治机关坚持在中国共产党的领导下团结和带领自治县各族人民高举中国特色社会主义伟大旗帜以邓小平理论和三个代表重要思想为指导深入贯彻落实科学发展观集中力量进行社会主义经济建设、政治建设、文化建设、社会建设和生态文明建设把自治县建设成为团结、繁荣、民主、文明、和谐的民族自治地方。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第六条 自治机关贯彻依法治国的基本方略实行依法治县保证宪法和法律在自治县的遵守和执行。自治机关应当把国家的整体利益放在首位积极完成上级国家机关交给的各项任务。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第七条 自治机关根据自治县的实际情况依法制定经济和社会发展的方针、政策和计划加快自治县经济和社会各项事业的发展。上级国家机关的决议、决定、命令和指示如有不适合自治县实际情况的自治机关可以报经该上级国家机关批准变通执行或者停止执行。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第八条 自治机关加强对各民族公民的思想政治教育、职业道德教育、科学技术和文化知识教育不断提高各民族公民的思想道德素质和科学文化水平。自治县的机关工作人员应当遵纪守法廉洁奉公尽职尽责密切联系群众接受人民的监督全心全意为人民服务。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第九条 自治机关维护和发展平等、团结、互助的社会主义民族关系禁止民族歧视、破坏民族团结和制造民族分裂的行为。
连山壮族瑶族自治县自治条例,,,第一章 总则,,第十条 自治机关加强社会主义民主法制建设保障各民族公民享有宪法和法律规定的公民权利教育各民族公民履行应尽的义务。
