文件名,编,分编,章,节,内容
遵义市湘江保护条例,,,第一章 总 则,,第一条 为了加强湘江水资源保护强化河湖岸线管理和水污染防治促进经济社会与资源环境协调可持续发展根据《中华人民共和国环境保护法》《中华人民共和国水法》《中华人民共和国水污染防治法》等有关法律、法规的规定结合本市实际制定本条例。
遵义市湘江保护条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内湘江的水资源保护、河湖岸线管理、水污染防治等活动。湘江沿岸的市辖区集中式饮用水水源的保护适用《遵义市市辖区集中式饮用水水源保护条例》的相关规定。
遵义市湘江保护条例,,,第一章 总 则,,第三条 本条例所称湘江包括湘江干流和支流。湘江干流是指自湘江发源地汇川区毛石镇乐遥村白云台三皮枧流经中心城区至河口播州区铁厂镇三星村汇入乌江干流的河段湘江支流包括大板水、高坪河、高桥河高泥河、洛江、虾子河、蚂蚁河舟水河、坪桥河、礼仪河小河、深溪河老木沟、三坝河、仁江、上水、瓜园河、鱼剑河、团溪河、湄江、流水溪、三岔河、马家河、黄泥沟、干溪河、板水沟、螃蟹河、四衙水、忠庄河、亮石河、双仙河、大厂沟、麻沟、后水河、洪江、复兴河、卜水河、天成河、湄水河、鱼泉河、青龙河、陶泥河、茅官河、洛安江等河流。
遵义市湘江保护条例,,,第一章 总 则,,第四条 湘江保护应当坚持统筹规划、系统保护、分类施策、综合治理、人水和谐的原则。
遵义市湘江保护条例,,,第一章 总 则,,第五条 湘江保护实行统一管理与属地分段管理相结合的管理体制属地分段管理应当服从统一管理。
遵义市湘江保护条例,,,第一章 总 则,,第六条 市人民政府负责湘江保护工作落实河湖长制、领导干部自然资源资产离任审计制分级制定湘江保护属地责任制和保护目标每年组织检查考核考核结果纳入年度目标责任考核内容和领导干部政绩评价体系并向社会公开。相关县、乡两级人民政府和市新区管理机构、街道办事处负责本辖区内的湘江保护工作承担属地管理责任。相关村居民委员会采取村规民约等方式规范村居民行为引导、鼓励村居民参与湘江保护。
遵义市湘江保护条例,,,第一章 总 则,,第七条 市和相关县级人民政府水行政主管部门分级负责湘江水资源保护和利用的统一监督管理。市人民政府水行政主管部门应当会同其他有关部门编制湘江水资源保护规划和河湖岸线利用管理规划报市人民政府批准后实施。
遵义市湘江保护条例,,,第一章 总 则,,第八条 市和相关县级人民政府生态环境行政主管部门分级负责湘江水污染防治的统一监督管理。市人民政府生态环境行政主管部门应当会同其他有关部门编制湘江水污染防治规划、畜禽养殖污染防治规划报市人民政府批准后实施。
遵义市湘江保护条例,,,第一章 总 则,,第九条 市和相关县级人民政府其他有关部门按照各自职责共同做好湘江保护工作。
遵义市湘江保护条例,,,第一章 总 则,,第十条 编制湘江相关规划应当符合本市国民经济和社会发展规划、国土空间总体规划和环境保护规划的要求并进行环境影响评价。经批准的湘江相关规划应当依法向社会公开任何单位和个人不得擅自改变。确需调整的应当按照规划编制程序报原批准机关批准。
遵义市湘江保护条例,,,第一章 总 则,,第十一条 市人民政府应当建立湘江保护联动协调机制统筹湘江保护中的重大事项加强与毗邻市、州人民政府的沟通协调定期组织开展湘江保护研讨或者联合执法行动。
遵义市湘江保护条例,,,第一章 总 则,,第十二条 市人民政府应当建立健全湘江生态保护补偿机制落实生态红线保护制度对因承担生态保护责任而使经济社会发展受到限制的区域予以补偿。
遵义市湘江保护条例,,,第一章 总 则,,第十三条 市人民政府可以发起设立湘江保护公益基金。鼓励公民、法人和其他组织向湘江保护公益基金进行捐赠。湘江保护公益基金收支使用情况应当向社会公布。
遵义市湘江保护条例,,,第一章 总 则,,第十四条 任何单位和个人都有保护湘江的义务有权制止、检举破坏湘江水资源和水生态环境的行为。鼓励和支持法律规定的机关和有关组织依法提起湘江环境公益诉讼。
遵义市湘江保护条例,,,第一章 总 则,,第十五条 市和相关县级人民政府应当建立完善湘江保护监督管理信息共享机制将湘江水质、排污口设置、重点排污单位、水污染防治、水工程建设、水资源利用、突发水环境事件以及行政许可、行政处罚等信息纳入生态文明建设信息共享平台依法及时向社会公布接受社会公众监督。其他有关部门应当向征信机构提供企业事业单位和其他生产经营者涉及湘江的环境保护信息和行政处罚信息。
遵义市湘江保护条例,,,第一章 总 则,,第十六条 每年 6 月 18 日为遵义市湘江保护日。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第十七条 湘江实行最严格的水资源管理制度建立水资源消耗总量和强度双控管理制度。湘江水资源开发利用应当符合水资源保护规划优先满足城乡居民生活用水兼顾农业、工业、生态环境等用水需要。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第十八条 经批准的取水单位或者个人应当在取水口安装取水计量设施严格执行计划用水接受水行政主管部门监督管理。取水单位和个人年度取水总量超过取水许可量时水行政主管部门应当责令其停止取水。未经依法批准不得在湘江新建、改建、扩建蓄水、取水工程。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第十九条 在城乡公共供水管网覆盖的区域应当使用城乡公共供排水管网取水和排水未经审批不得从湘江河湖以及地下直接取水。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十条 湘江水量调度应当符合湘江水资源保护规划并进行科学论证统筹兼顾调出和调入区域的用水需求防止对水生态环境造成破坏。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十一条 市和相关县级人民政府应当加强节水型社会建设实施农业、工业和城乡生活节水技术改造提高用水效率加强节水监督建立有利于水资源节约和合理配置的水价调控机制。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十二条 市和相关县级人民政府应当建立健全非常规水源利用激励机制加强非常规水源工程建设鼓励社会开展非常规水源利用提高非常规水源利用率。绿化、环卫、景观等用水应当优先使用非常规水源提高中水回用率采取提水补水等方式实现湘江上游水量增加、河道自净能力增强。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十三条 建立健全湘江水土流失预防和监督管理机制实施生态清洁小流域建设。湘江水源地、重要河湖功能区应当采取植树造林、封山育林、退耕还林等措施增加森林植被覆盖增强水源涵养能力。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十四条 湘江的水库、电站等水利工程的管理单位应当在保证防汛、抗旱的前提下合理安排下泄水量和泄流时段保障河流生态用水流量维护水体自然净化能力。已建成的水库、水电站不符合生态流量管理要求的由水行政主管部门会同其他有关部门责令限期整改经整改后仍不符合要求的依法关闭并拆除。
遵义市湘江保护条例,,,第二章 水资源保护与水生态修复,,第二十五条 加强湘江渔业资源保护修建人工巢、渔礁等设施保护鱼类自然繁殖和生长开展人工增殖放流投放滤食性鱼类净化天然水体依法划定禁渔区设立禁渔标志实施禁渔期制度。禁止在禁渔区、禁渔期从事捕捞或者收购、销售非法捕捞的渔获物禁止使用炸鱼、毒鱼、电鱼等方法和小于最小网目尺寸规定的网具等渔具进行捕捞禁止制造、销售、使用禁用的渔具以及法律、法规禁止的其他渔业活动。禁止在湘江投放可育杂交种、转基因种和其他不符合生态要求的水生生物物种。
遵义市湘江保护条例,,,第三章 河湖岸线管理,,第二十六条 建立湘江河湖岸线管理制度依法划定河湖岸线管理范围落实规划岸线分区管理要求强化岸线保护和节约集约利用严格水域岸线等水生态空间保护。
遵义市湘江保护条例,,,第三章 河湖岸线管理,,第二十七条 湘江河湖岸线利用管理规划应当划定城市蓝线和河道控制线明确岸线功能区界线并向社会公布。
遵义市湘江保护条例,,,第三章 河湖岸线管理,,第二十八条 湘江沿岸城镇建设空间应当结合城镇总体规划因地制宜建设生态岸线。对河湖岸线乱占滥用等行为应当依法整治恢复河湖水域岸线生态功能。
