文件名,编,分编,章,节,内容
郑州市住房租赁管理条例,,,第一章 总 则,,第一条 为了规范住房租赁活动维护租赁当事人合法权益促进住房租赁市场健康发展根据有关法律、法规结合本市实际制定本条例。
郑州市住房租赁管理条例,,,第一章 总 则,,第二条 本市行政区域内的住房租赁活动及其监督管理适用本条例。直管公有住房、公共租赁住房、保障性租赁住房以及按日或者小时出租的短租住房租赁活动及其监督管理不适用本条例。
郑州市住房租赁管理条例,,,第一章 总 则,,第三条 本市建立健全市级统筹、部门联动、条块结合、居村协助、行业自律的住房租赁管理机制将住房租赁活动纳入基层治理范围推动形成管理有序、服务规范、租赁关系稳定的住房租赁体系。从事住房租赁活动应当遵守法律、法规的规定遵循自愿、公平、诚信的原则不得危害国家安全、损害公共利益和他人合法权益不得违背公序良俗。
郑州市住房租赁管理条例,,,第一章 总 则,,第四条 市人民政府应当加强对住房租赁工作的领导统筹协调住房租赁管理工作研究决定住房租赁管理工作重大事项。县市、区人民政府应当落实住房租赁属地管理责任推进本辖区住房租赁管理工作。市、县市、区人民政府应当将住房租赁管理工作经费纳入同级财政预算保障经费投入。
郑州市住房租赁管理条例,,,第一章 总 则,,第五条 市住房保障和房地产管理部门是本市住房租赁的主管部门负责住房租赁监督管理制定住房租赁相关规划和政策。县市、区住房租赁主管部门负责本辖区住房租赁具体监督管理工作指导街道办事处、乡镇人民政府开展住房租赁管理相关工作。市场监督管理部门负责住房租赁有关市场主体登记查处涉及住房租赁的不正当竞争、无照经营以及广告、价格等方面的违法行为。公安部门负责住房租赁的治安管理工作。发展改革、自然资源和规划、城乡建设、城市管理、财政、税务、教育、公积金管理、网信、农业农村、应急管理、消防救援等部门和单位按照各自职责做好相关工作。
郑州市住房租赁管理条例,,,第一章 总 则,,第六条 街道办事处、乡镇人民政府应当配合住房保障等有关部门加强对住房租赁活动的监督管理。居民委员会、村民委员会协助做好住房租赁相关工作预防和化解矛盾纠纷。
郑州市住房租赁管理条例,,,第一章 总 则,,第七条 综合运用大数据、物联网、云计算等先进技术建立健全全市统一的房屋租赁监管服务平台推进数据共享提升住房租赁管理和服务信息化、智能化水平。
郑州市住房租赁管理条例,,,第一章 总 则,,第八条 市住房租赁、房地产经纪等行业组织应当加强行业自律建立健全住房租赁服务标准、行为规范和自律准则开展行业纠纷调解、行业服务质量评价和职业培训等工作促进市场主体诚信经营、公平竞争。
郑州市住房租赁管理条例,,,第一章 总 则,,第九条 建立健全住房租赁矛盾纠纷多元化解机制。因住房租赁发生纠纷的由租赁当事人协商解决不愿协商或者协商不成的可以向人民调解组织或者有关部门申请调解也可以依法申请仲裁或者提起诉讼。有关部门应当依法对住房租赁矛盾纠纷的调解提供支持和指导。住房租赁企业、房地产经纪机构、互联网信息平台应当建立投诉处理机制及时妥善化解租赁矛盾纠纷。
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十条 出租住房应当遵守下列规定屋安全等方面的标准和要求建形式改变住房内部结构定储藏室等非居住空间不得出租用于居住禁止将违法建筑以及其他依法不得出租的房屋用于出租。
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十一条 出租人和承租人应当依法订立住房租赁合同。住房租赁合同一般包括以下内容联系方式全责任市住房保障和房地产管理部门应当会同市市场监督管理部门制定和完善住房租赁合同示范文本。鼓励订立长期住房租赁合同建立稳定的租赁关系。
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十二条 出租人应当自住房租赁合同订立之日起三十日内通过房屋租赁监管服务平台或者到房屋所在地的县市、区住房租赁主管部门办理住房租赁合同备案备案重要内容发生变更的出租人应当自变更之日起三十日内办理变更手续。住房租赁企业租赁住房或者房地产经纪机构促成住房租赁合同的由住房租赁企业或者房地产经纪机构按照规定办理住房租赁合同备案。办理住房租赁合同备案应当提交房屋权属证明、住房租赁合同、租赁当事人身份证明等材料。租赁当事人不得隐瞒真实情况或者提供虚假材料。鼓励租赁当事人通过房屋租赁监管服务平台完成住房租赁合同网上签约自动提交合同备案。
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十三条 出租人应当遵守下列规定有住房的需经其他共有人同意人组织出租住房备告知承租人安全使用事项与承租人约定进行安全检查关部门并配合相关工作意降低服务标准等方式或者采取暴力、威胁等非法方式强迫承租人变更、解除住房租赁合同提前收回租赁住房
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十四条 承租人应当遵守下列规定房用途、结构、设施或者实施违法搭建行为意
郑州市住房租赁管理条例,,,第二章 出租与承租,,第十五条 鼓励租赁当事人投保租赁住房财产保险和人身意外保险。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第十六条 住房租赁企业、房地产经纪机构应当依法办理市场主体登记。从事住房租赁经营的其名称和经营范围应当注明地产经纪。个人转租住房达到规定数量的应当依法办理市场主体登记其名称和经营范围应当注明住房租赁。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第十七条 住房租赁企业应当自领取营业执照之日起三十日内向县市、区住房租赁主管部门备案。房地产经纪机构应当自领取营业执照之日起三十日内向市住房保障和房地产管理部门备案注册地在县市、上街区的向县市、上街区住房租赁主管部门备案。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第十八条 住房租赁企业、房地产经纪机构应当具备与经营规模相适应的自有资金、从业人员、管理能力建立健全信息查验、安全保障、定期检查等管理制度并组织落实依法开展住房租赁业务。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第十九条 住房租赁企业、房地产经纪机构应当在经营场所、网络服务端依法公示以下信息
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第二十条 实行住房租赁企业、房地产经纪机构从业人员实名从业制度每名从业人员从业信息编号具有唯一性。住房租赁企业、房地产经纪机构应当为从业人员办理从业信息卡。从业人员应当持从业信息卡实名从业并在其提供服务的住房租赁合同、房地产经纪合同上注明从业信息卡编号。从业信息卡的内容和样式由市住房保障和房地产管理部门统一制定。住房租赁企业、房地产经纪机构应当加强对从业人员的管理督促其诚信、规范从业。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第二十一条 住房租赁企业、房地产经纪机构等对外发布房源信息的应当对房屋权属证明和基本状况进行核验确保房源信息真实有效。对已成交或者取消委托的房源信息应当即时撤销。住房租赁企业、房地产经纪机构通过互联网信息平台发布房源信息的应当同时注明企业备案信息和从业人员信息。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第二十二条 通过互联网信息平台发布房源信息的互联网信息平台经营者应当要求信息发布者提交身份、地址、联系方式以及房源核验情况等信息信息发布者为住房租赁企业、房地产经纪机构的还应当要求其提交企业备案信息及从业人员信息。互联网信息平台不得为未备案、备案异常或者被依法列入严重失信名单的住房租赁企业、房地产经纪机构及其从业人员提供服务。互联网信息平台经营者应当对信息发布者提交的材料进行核实并建立档案留存不少于三年。
郑州市住房租赁管理条例,,,第三章 住房租赁经营,,第二十三条 互联网信息平台经营者知道或者应当知道信息发布者提供虚假材料、发布虚假信息的应当及时采取删除、屏蔽相关信息等必要措施未采取必要措施的依法承担责任。住房租赁企业、房地产经纪机构两年内因违法发布房源信息受到三次以上行政处罚或者在停业整顿期间的互联网信息平台经营者应当在一定期限内限制其发布相关信息。
