文件名,编,分编,章,节,内容
郑州市农村财务管理条例,,,第一章 总则,,第一条 为加强农村财务管理保障农村集体资产不受损失维护农民的合法权益促进农村集体经济健康发展根据国家有关法律、法规结合本市实际情况制定本条例。
郑州市农村财务管理条例,,,第一章 总则,,第二条 本条例所称农村财务管理是指村民委员会和村民小组的财务管理。本市行政区域内农村财务管理均适用本条例。
郑州市农村财务管理条例,,,第一章 总则,,第三条 市、县市、区农业行政管理部门对农村财务管理工作进行指导和监督负责本条例的组织实施。乡镇人民政府主管本乡镇的农村财务管理工作日常工作由乡镇农业经济管理机构负责。农村会计工作应接受财政部门的监督、指导。
郑州市农村财务管理条例,,,第一章 总则,,第四条 农村财务管理的原则是正确处理国家、集体、个人三者之间的利益关系实行财务公开、民主管理坚持为发展集体经济服务。
郑州市农村财务管理条例,,,第一章 总则,,第五条 农村财务管理工作的主要任务是依法、合理筹集资金加强经济核算搞好收益分配监督指导所属企业事业单位的财务活动。
郑州市农村财务管理条例,,,第一章 总则,,第六条 在农村财务管理工作中取得显着成绩的单位和个人由人民政府或农业行政管理部门给予表彰、奖励。
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第七条 村民委员会应配备财会人员。村民小组根据实际情况配备财会人员也可建立联组会计分组设立账目。会计不得兼任出纳。村民委员会、村民小组的主要负责人及其近亲属不得担任本单位的财会人员。
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第八条 农村财会人员的职责是务计划的执行情况
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第九条 会计、出纳实行持证上岗制度。会计、出纳应经会计业务培训并按照国家有关规定取得会计从业资格证书。
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第十条 因有提供虚假财务会计报告、做假帐、隐匿或者故意销毁会计资料、贪污、挪用公款、职务侵占等与会计职务有关的违法行为被依法追究刑事责任的人员不得从事财会工作。
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第十一条 村民委员会、村民小组的会计的任免应分别经村民会议或者村民代表会议、村民小组会议讨论通过并按国家有关规定报县市、区农业行政管理部门备案。
郑州市农村财务管理条例,,,第二章 财会人员与职责,,第十二条 财会人员离任时必须与接管人员办清交接手续。办理交接手续时由村民委员会或村民小组的主要负责人、民主理财组织成员和乡镇农业经济管理机构派员监交。
郑州市农村财务管理条例,,,第三章 财务管理,,第十三条 村民委员会、村民小组应当根据国家和省会计制度的规定设置会计科目使用借贷记账方法采用统一的会计凭证、会计账簿和会计报表。农村财务的会计核算事项必须取得合法的原始凭证。手续不完备或不符合财务制度的凭证不得入账。
郑州市农村财务管理条例,,,第三章 财务管理,,第十四条 村民委员会、村民小组应当按国家和省有关规定加强对库存现金和存款的管理及时核算现金收支做到日清月结账款相符。农村财务实行账款分管制度非出纳人员不得经管现金。
郑州市农村财务管理条例,,,第三章 财务管理,,第十五条 农村财务管理必须建立健全财务开支审批制度。财务开支由村民委员会、村民小组主管财务的负责人审批。但下列开支项目应经领导成员会议提出意见分别由村民代表会议、村民小组会议讨论决定
郑州市农村财务管理条例,,,第三章 财务管理,,第十六条 村民委员会、村民小组应根据国家有关规定结合当地实际情况提取公积金、公益金等专用基金。村民委员会、村民小组每年度终了应向村民会议、村民小组会议报告专用基金的管理和使用情况。
郑州市农村财务管理条例,,,第三章 财务管理,,第十七条 村民委员会、村民小组的有价证券由出纳保管除在会计分类账上设立账户外应设立证券登记簿。有价证券兑付后本息及时转入现金账。
郑州市农村财务管理条例,,,第三章 财务管理,,第十八条 村民委员会、村民小组应当建立固定资产明细账定期盘点做到账物相符。村民委员会、村民小组按规定提取固定资产折旧费。固定资产折旧费应用于固定资产损耗价值的补偿和重置更新。
郑州市农村财务管理条例,,,第三章 财务管理,,第十九条 村民委员会、村民小组的大、中型固定资产的变卖和报废处理应分别经村民代表会议、村民小组会议讨论决定。
郑州市农村财务管理条例,,,第三章 财务管理,,第二十条 村民委员会、村民小组的固定资产实行承包经营或租赁经营的应当根据入账价值或评估价值合理确定承包金或租金并把固定资产的保值、增值纳入承包或租赁合同。村民委员会、村民小组的主要生产经营项目或固定资产的承包方案及承包指标应分别经村民代表会议、村民小组会议讨论通过。
郑州市农村财务管理条例,,,第三章 财务管理,,第二十一条 村民委员会、村民小组应建立资产登记制度并确定专人管理。
郑州市农村财务管理条例,,,第三章 财务管理,,第二十二条 村民委员会、村民小组每年年终应全面核算本年度的收入和支出清理财产和债权、债务搞好承包合同的结算和兑现准确地计算出可分配收益总额按国家有关规定编制收益分配方案。收益分配方案应经村民会议或村民小组会议讨论通过。
郑州市农村财务管理条例,,,第三章 财务管理,,第二十三条 村民委员会、村民小组财会人员应当在每个会计年度终结将财会资料分类整理及时归档。不得散失、损坏、涂改或擅自销毁财务档案。财务档案的销毁应按国家有关规定办理。
郑州市农村财务管理条例,,,第四章 财务监督,,第二十四条 村民委员会、村民小组必须在每季度终了之日起十五日内向全体村民张榜公布财务收支情况年度终了向村民会议、村民小组会议报告年度财务决算情况并张榜公布。
郑州市农村财务管理条例,,,第四章 财务监督,,第二十五条 村民委员会、村民小组应成立民主理财组织负责财务监督工作。民主理财组织的成员由村民会议或村民小组会议选举或推举产生。
郑州市农村财务管理条例,,,第四章 财务监督,,第二十六条 民主理财组织对本单位的下列财务活动进行监督
郑州市农村财务管理条例,,,第四章 财务监督,,第二十七条 民主理财组织在监督中发现有违反财经纪律和财务制度的有权要求调查处理。调查处理结果应向民主理财组织通报。
郑州市农村财务管理条例,,,第四章 财务监督,,第二十八条 市、县市、区农业行政管理部门、乡镇人民政府应当有计划地对本行政区域内的村民委员会和村民小组财务制度的建立、执行情况进行检查。
郑州市农村财务管理条例,,,第四章 财务监督,,第二十九条 市、县市、区农业行政管理部门、乡镇人民政府负责本行政区域内的农村财务审计工作。农村财务审计的具体工作由乡镇农业经济管理机构负责。对重大问题的审计、由市、县市、区农业行政管理部门负责。
郑州市农村财务管理条例,,,第四章 财务监督,,第三十条 农村财务审计的范围助费等专项资金的使用及决算情况组企业上交资金和承包金、租金等收入及使用情况
郑州市农村财务管理条例,,,第四章 财务监督,,第三十一条 农村财务审计结束后应向同级人民政府提出审计报告。重大审计事项的审计报告还应当按规定报送上级农业行政管理部门和有关部门。
郑州市农村财务管理条例,,,第四章 财务监督,,第三十二条 负责审计的单位应当根据审计报告作出审计结论提出处理意见报经同级人民政府同意通知被审计单位并向被审计单位的全体村民公布。被审计单位应当按处理意见纠正违法、违纪行为。被审计单位对处理意见有异议的可按规定申请复核。
郑州市农村财务管理条例,,,第五章 法律责任,,第三十三条 违反本条例规定有下列行为之一的 由乡纠正对单位和有关责任人员给予通报批评的事项而未提请讨论擅自决定的职责的大补贴范围的他用的
郑州市农村财务管理条例,,,第五章 法律责任,,第三十四条 违反本条例规定有下列行为之一的由乡镇人民政府或市、县市、区农业行政管理部门责令限期纠正追还被侵占或挪用的资金对有关责任人员给予通报批评可以并处一百元以上一千元以下罚款造成损失的责令其赔偿损失对多次违反拒不纠正的可建议免去或撤销其职务构成犯罪的依法追究刑事责任纪行为的。
郑州市农村财务管理条例,,,第五章 法律责任,,第三十五条 违反本条例的行为同时又违反其他法律、法规的有关主管部门还应按照有关法律、法规的规定处罚。但同一违法行为不得重复罚款。罚款一律缴同级财政。
郑州市农村财务管理条例,,,第五章 法律责任,,第三十六条 从事农村财务管理工作的国家工作人员玩忽职守滥用职权徇私舞弊贪污受贿泄露秘密的由其所在单位或者上级主管部门给予行政处分构成犯罪的依法追究刑事责任。
郑州市农村财务管理条例,,,第五章 法律责任,,第三十七条 当事人对乡镇人民政府和农业行政管理部门的行政处罚决定不服的可以依法申请复议或提起行政诉讼。
郑州市农村财务管理条例,,,第六章 附则,,第三十八条 市人民政府可根据本条例制定实施细则。
郑州市农村财务管理条例,,,第六章 附则,,第三十九条 本条例自 1996 年 4 月 1 日起施行。
