文件名,编,分编,章,节,内容
郑州市教育督导条例,,,第一章 总则,,第一条 为加强对教育工作的监督、指导保障教育法律、法规的实施和教育目标的实现根据《中华人民共和国教育法》等有关法律、法规结合本市实际情况制定本条例。
郑州市教育督导条例,,,第一章 总则,,第二条 本条例所称教育督导是指市、县市、区人民政府依法对本辖区内中等以下含中等下同教育工作及其相关工作进行监督、检查、评估、指导的活动。
郑州市教育督导条例,,,第一章 总则,,第三条 教育督导的对象是本级人民政府的教育及其他有关行政部门、下级人民政府及其教育行政部门、本级管辖的中等以下各类教育机构。
郑州市教育督导条例,,,第一章 总则,,第四条 教育督导应当以有关教育法律、法规、规章为依据坚持实事求是、客观公正的原则。
郑州市教育督导条例,,,第一章 总则,,第五条 市、县市、区人民政府对教育督导工作成绩显着的单位和个人给予表彰和奖励。
郑州市教育督导条例,,,第二章 教育督导机构及职责,,第六条 市、县市、区人民政府教育督导机构代表本级人民政府负责本辖区内的教育督导工作在业务上接受上级教育督导机构的指导。
郑州市教育督导条例,,,第二章 教育督导机构及职责,,第七条 市、县市、区人民政府教育督导机构的主要职责是工作督导教育工作职责的情况进行督导展情况进行督导评估育情况进行督导评估机构教育收费情况进行督导政府报告和反映情况提出意见和建议督导学校校长的任免向有关主管部门提出建议项。
郑州市教育督导条例,,,第二章 教育督导机构及职责,,第八条 市、县市、区人民政府应当保证教育督导机构开展教育督导工作所需经费并提供必要的工作条件。
郑州市教育督导条例,,,第三章 督学,,第九条 督学是履行教育督导职责的人员。督学应当具备下列条件爱教育事业高的理论政策水平悉教育、教学业务具有一定的教育科研能力和相应的管理经验
郑州市教育督导条例,,,第三章 督学,,第十条 督学分为专职督学和兼职督学。专职督学由本级人民政府任免兼职督学由本级人民政府聘任。专职督学和兼职督学享有同等职权。兼职督学每届聘期三年。
郑州市教育督导条例,,,第三章 督学,,第十一条 督学在教育督导中可以行使下列职权行为提出批评与整改建议常教学秩序等情况有权予以制止并建议有关主管部门进行处理映情况提出意见和建议议。
郑州市教育督导条例,,,第三章 督学,,第十二条 督学由本级人民政府颁发证书并持证履行职责。督学应当接受教育法律、法规和教育管理、教育督导、教育评估等方面的培训。
郑州市教育督导条例,,,第三章 督学,,第十三条 督学履行职责时如与被督导单位有利害关系可能影响教育督导工作正常进行的督学应当自行回避被督导单位有权申请督学回避。被督导单位申请督学回避的经教育督导机构负责人批准后督学应当回避。
郑州市教育督导条例,,,第四章 教育督导的实施,,第十四条 市、县市、区人民政府教育督导机构应当根据国家有关教育的法律、法规和方针、政策以及上级教育督导机构、本级人民政府的要求结合本地实际情况制定年度教育督导计划并组织实施。
郑州市教育督导条例,,,第四章 教育督导的实施,,第十五条 教育督导分为综合督导、专项督导和随访督导。
郑州市教育督导条例,,,第四章 教育督导的实施,,第十六条 综合督导和专项督导应有两名以上督学参加并按下列程序进行督导导单位发出书面通知导结果通知书。
郑州市教育督导条例,,,第四章 教育督导的实施,,第十七条 教育督导机构可以划分督导责任区。督学负责对本责任区内的教育工作及其相关工作进行随访督导。对随访督导中发现的重要问题应当在督导后及时向本级教育督导机构报告督导情况。教育督导机构可根据情况统一安排组织督学进行随访督导。
郑州市教育督导条例,,,第四章 教育督导的实施,,第十八条 教育督导机构和督学在教育督导中可以采取下列方式
郑州市教育督导条例,,,第四章 教育督导的实施,,第十九条 教育督导机构和督学在教育督导中不得妨碍正常的教育、教学活动。
郑州市教育督导条例,,,第四章 教育督导的实施,,第二十条 教育督导机构根据工作需要可以邀请人事、财政、审计、教育、税务、物价、监察等有关行政部门人员或有关专业技术人员参与教育督导活动。
郑州市教育督导条例,,,第四章 教育督导的实施,,第二十一条 被督导单位应当配合教育督导机构开展督导工作。对教育督导机构提出的整改意见应及时采取相应的改进措施并在规定期限内将改进情况书面报告教育督导机构。
郑州市教育督导条例,,,第四章 教育督导的实施,,第二十二条 督导结果应当作为对被督导单位及其主要负责人奖惩、考核的主要依据之一。必要时经本级人民政府批准督导结果可向社会公布。
郑州市教育督导条例,,,第四章 教育督导的实施,,第二十三条 被督导单位对督导结果有异议的可以在收到督导结果通知书之日起十五日内向下达督导结果通知书的教育督导机构申请复查。教育督导机构应当在收到复查申请后三十日内做出复查决定。对教育督导机构复查决定仍有异议的可向其上一级教育督导机构或本级人民政府申诉。
郑州市教育督导条例,,,第四章 教育督导的实施,,第二十四条 教育督导机构应当定期向本级人民政府和上一级教育督导机构报告教育督导工作情况提出改进教育工作的意见和建议。
郑州市教育督导条例,,,第五章 法律责任,,第二十五条 被督导单位及有关人员有下列情形之一的教育督导机构可以建议其主管部门对被督导单位及其直接责任人员和单位负责人给予通报批评或行政处分构成犯罪的依法追究刑事责任击报复的
郑州市教育督导条例,,,第五章 法律责任,,第二十六条 教育督导机构及督学在教育督导中发现被督导单位有其他违反法律、法规的行为的建议有关部门依法处理。
郑州市教育督导条例,,,第五章 法律责任,,第二十七条 督学有下列情形之一的由教育督导机构给予批评教育或建议其所在单位、有关部门给予批评教育或者行政处分情节严重的由本级人民政府取消其督学资格构成犯罪的依法追究刑事责任动的
郑州市教育督导条例,,,第六章 附则,,第二十八条 本条例自 2001 年 12 月 1 日起施行。
