文件名,编,分编,章,节,内容
郑州市机动车维修市场管理条例,,,第一章 总则,,第一条 为规范机动车维修市场秩序维护机动车托修、承修双方的合法权益保证机动车维修质量促进机动车维修行业发展根据国家有关法律、法规规定结合本市实际制定本条例。
郑州市机动车维修市场管理条例,,,第一章 总则,,第二条 本条例所称机动车维修是指汽车、摩托车、农用运输车、轮式专用机械车等机动车辆的整车大修、总成修理、二级维护、一级维护、小修和专项修理。
郑州市机动车维修市场管理条例,,,第一章 总则,,第三条 凡在本市行政区域内从事经营性机动车维修及其相关活动的单位和个人均应遵守本条例。专业从事农业机械维修的站点的管理不适用本条例。
郑州市机动车维修市场管理条例,,,第一章 总则,,第四条 市、县市、上街区人民政府交通行政主管部门负责组织领导本行政区域的机动车维修市场管理工作机动车维修管理机构负责具体实施机动车维修市场管理工作。工商行政、环境保护、质量技术监督、公安、价格、税务、市政、城市管理执法、农业等部门应在各自职责范围内配合做好机动车维修市场相关的监督管理工作。
郑州市机动车维修市场管理条例,,,第一章 总则,,第五条 机动车维修市场管理应当遵循统一规划、合理布局、规范经营、依法管理的原则鼓励、支持机动车维修行业实行特约维修和连锁经营。机动车维修经营活动应当遵守诚实信用、优质服务、保证质量的原则。
郑州市机动车维修市场管理条例,,,第一章 总则,,第六条 市、县市、上街区交通行政主管部门应当会同有关部门编制当地的机动车维修行业发展规划报同级人民政府批准后公布实施。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第七条 从事机动车维修经营应当具备下列条件厂房和停车场地备和符合国家规定的计量器具技术工人、质量检验人员和管理人员
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第八条 申请从事机动车维修业务的单位和个人应当持有关证明材料向市或者县市、上街区机动车维修管理机构提出申请。机动车维修管理机构应当自受理申请之日起十五日内完成审核、勘验对符合规定条件的予以许可发给相应类别机动车维修经营许可证明对不符合条件的不予许可并书面说明理由。机动车维修经营者设立分支机构或者以连锁经营形式从事机动车维修业务的应当按前款规定办理经营许可手续。外商在本市投资从事机动车维修业务的按国家有关规定办理。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第九条 从事机动车维修经营的单位和个人应当持许可证明依法向工商行政管理机关办理有关登记手续。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第十条 机动车维修经营按照国家规定实行分类管理。一类汽车维修企业可以从事机动车大修、总成修理和机动车维护、小修及专项修理二类汽车维修企业可以从事机动车二级维护、一级维护及小修三类汽车维修业户可以从事机动车专项修理。一类摩托车维修企业可以从事摩托车总成大修、维护及小修二类摩托车维修业户可以从事摩托车维护及小修。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第十一条 从事机动车维修的专业技术人员、技术工人、质量检验人员应经专业技能培训并按国家有关规定取得相应资格证书后方可上岗。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第十二条 机动车维修经营者合并、分立、停业、歇业或者变更名称、作业场地、经营范围的应当到原许可机关办理变更或者注销手续。
郑州市机动车维修市场管理条例,,,第二章 从业资格管理,,第十三条 严禁伪造、涂改、转借、买卖机动车维修经营许可证。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十四条 机动车维修经营者必须按照许可的维修类别从事机动车维修业务不得超越许可的维修类别和范围维修机动车辆。机动车维修经营者应当在业务受理场所的显着位置明示维修类别和范围、维修工时定额、配件及材料价格、收费标准、监督电话等内容。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十五条 机动车维修经营者承修机动车辆应当明确告知托修方维修的类别、范围及有关部门公布的维修工时定额和收费标准。机动车辆大修、总成修理、二级维护以及维修预算费用达一千元以上的维修业务承修方应当告知托修方并与之签订书面合同。其他维修作业托修方要求签订书面合同的承修方应当与托修方签订书面合同。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十六条 机动车维修作业不得占用城市道路和公共场所不得随意丢弃、排放废水、废油等废弃物不得妨碍居民正常生活。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十七条 机动车维修经营者不得有下列行为机动车辆车架号码机动车辆
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十八条 机动车维修应当按照合同约定进行不得擅自更换零部件。维修中发现确需增加维修项目的应当事先通知托修人重新约定。机动车维修过程中换掉的零部件应当交还托修方。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第十九条 托修方有权自行选择维修厂点任何单位和个人不得强制或者变相强制指定维修厂点。经公安交通管理机关处理的事故车辆维修由托修方持公安交通管理机关出具的有关证明自行选择维修厂点。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第二十条 机动车维修经营者应当对承修的机动车辆予以登记建立档案如实记载承修车辆基本情况、送修人基本情况、维修项目、送修时间、作业人员、维修结果等内容。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第二十一条 机动车维修经营者应当向托修方开具机动车维修业专用发票并随发票交付工时、配件及材料费清单。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第二十二条 机动车维修经营者未按合同约定时间交付维修车辆的应当按合同约定支付违约金托修方不按约定期限验收接车的机动车维修经营者应当通知托修方限期验收接车车辆的保管费和自然损坏的修复费由托修方承担逾期仍不验收接车的按合同约定处理。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第二十三条 机动车维修经营者不得制作、悬挂与其经许可的维修类别、范围不符的匾额、标示牌不得制作、发布与其经许可的维修类别、范围不符的广告、宣传资料。
郑州市机动车维修市场管理条例,,,第三章 经营行为管理,,第二十四条 机动车维修经营者不得采用不正当竞争手段招揽业务。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第二十五条 机动车维修经营者应当建立健全维修质量保证体系。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第二十六条 机动车维修经营者必须严格执行国家标准、行业标准和地方标准并按机动车维修技术标准和规范维修。没有标准的可以参照原车维修手册、使用说明书和有关维修技术规范维修。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第二十七条 机动车维修经营者对机动车辆维修前必须由质量检验人员进行检测或者检验对机动车辆的大修、总成修理和二级维护应当填写检验报告单经托修方确认后方可维修。机动车辆大修、总成修理和二级维护竣工后必须进行出厂技术检测或者委托具有相应资质等级的机动车辆综合性能检测机构检测。经检测合格的出具检测合格报告并由质量检验负责人根据检测合格报告签发竣工出厂合格证检测不合格的不得交付使用。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第二十八条 机动车辆综合性能检测机构对其出具的检测报告的真实性、准确性、合法性负责。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第二十九条 机动车维修使用的配件及材料必须符合下列要求应有许可证或质量认证的编号、批准日期和有效日期。禁止使用假冒伪劣和报废配件及材料。使用的旧件必须合格并须征得托修方同意。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第三十条 进行机动车辆大修、发动机总成修理、二级维护和尾气专项治理应当按照规定对机动车尾气排放进行检测不符合排放标准的不得交付使用。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第三十一条 机动车维修实行质量保证期制度。在质量保证期内因维修质量原因造成机动车无法正常使用的承修方应当无偿返修。质量保证范围和期限按照国家有关规定执行。
郑州市机动车维修市场管理条例,,,第四章 质量管理,,第三十二条 机动车托修、承修双方因维修质量或者履行维修合同发生争议时当事人可以协商解决协商不成的可以向消费者协会、机动车维修管理机构申请调解也可以依据仲裁协议申请仲裁或者依法向人民法院起诉。
郑州市机动车维修市场管理条例,,,第五章 监督检查,,第三十三条 市、县市、上街区人民政府交通行政主管部门应当加强对机动车维修管理机构实施机动车维修市场管理工作的指导监督。机动车维修管理机构应当依法对机动车维修经营活动实施管理对机动车维修经营者的经营资质进行检查及时查处违法行为。机动车维修经营者应当自觉接受监督检查如实提供有关资料。
郑州市机动车维修市场管理条例,,,第五章 监督检查,,第三十四条 机动车维修管理机构应当建立机动车维修投诉、举报受理制度对接到的投诉、举报应当在二十日内调查处理完毕并将结果告知投诉人、举报人。
郑州市机动车维修市场管理条例,,,第五章 监督检查,,第三十五条 机动车维修管理机构应当建立机动车维修市场公告制度定期将机动车维修违法经营行为的查处情况和投诉情况向社会公布。
郑州市机动车维修市场管理条例,,,第五章 监督检查,,第三十六条 机动车维修管理机构工作人员执行公务时必须出示行政执法证件文明执法依法行政。
郑州市机动车维修市场管理条例,,,第五章 监督检查,,第三十七条 机动车维修管理机构在查处违法经营行为时对可能灭失或者以后难以取得的证据经机动车维修管理机构负责人批准可以先行登记保存并在七日内作出处理决定。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第三十八条 违反本条例规定的行为有关法律、法规已有处罚规定的从其规定没有处罚规定的按照本条例规定执行。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第三十九条 机动车维修经营者超越许可的维修类别进行维修的由市、县市、上街区机动车维修管理机构责令改正没收违法所得并处以一千元以上三千元以下罚款。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第四十条 机动车辆大修、发动机总成修理、二级维护和尾气专项治理后检测不合格交付使用的由市、县市、上街区机动车维修管理机构责令改正每车次处以五百元罚款。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第四十一条 机动车维修经营者违反本条例第十七条第机构责令改正处以五千元以上一万元以下罚款情节严重的吊销机动车维修经营许可证书构成犯罪的依法追究刑事责任。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第四十二条 机动车辆综合性能检测机构出具虚假检测报告的由市、县市、上街区机动车维修管理机构责令改正处以三千元以上一万元以下罚款情节严重的建议有关部门吊销其资质证书。
郑州市机动车维修市场管理条例,,,第六章 法律责任,,第四十三条 机动车维修管理机构工作人员有下列行为之一的由其所在单位或者有关部门给予行政处分构成犯罪的依法追究刑事责任的
郑州市机动车维修市场管理条例,,,第七章 附则,,第四十四条 机动车非经营性维修活动的管理参照本条例有关规定执行。
郑州市机动车维修市场管理条例,,,第七章 附则,,第四十五条 本条例自 2004 年 9 月 1 日起施行。
