文件名,编,分编,章,节,内容
郑州市规范城市客运行为若干规定,,,,,第一条 为了规范本市客运市场秩序保障客运安全和乘客合法权益依法查处非法客运行为根据有关法律、法规结合本市实际制定本规定。
郑州市规范城市客运行为若干规定,,,,,第二条 本市市区范围内的客运行为及其管理活动适用本规定。本规定所规范的客运行为是指巡游出租汽车、网络预约出租汽车及电动自行车、机电动摩托车、三轮车、老年代步车等车辆的经营服务行为。本规定所称巡游出租汽车是指以在道路上巡游揽客、站点候客以符合条件的车辆和驾驶员为乘客提供运输服务按照乘客意愿行驶根据行驶里程和时间计费的方式经营的客运出租汽车。本规定所称网络预约出租汽车是指以互联网技术为依托构建服务平台整合供需信息使用符合条件的车辆和驾驶员以预约方式为乘客提供运输服务的方式经营的客运出租汽车。
郑州市规范城市客运行为若干规定,,,,,第三条 从事客运经营的经营者、车辆和驾驶人员应当依法取得许可。未经许可不得从事客运经营。
郑州市规范城市客运行为若干规定,,,,,第四条 禁止利用电动自行车、机电动摩托车、三轮车、老年代步车等车辆从事客运经营。具体车辆类型由市交通运输行政主管部门会同公安机关交通管理部门确定并向社会公告。
郑州市规范城市客运行为若干规定,,,,,第五条 禁止巡游出租汽车以外的其他车辆喷涂巡游出租汽车专用车身配色和图案标识、安装营运标识和设施假冒巡游出租汽车。
郑州市规范城市客运行为若干规定,,,,,第六条 市交通运输行政主管部门和公安机关交通管理部门查处非法客运行为可以实行联合执法。城市管理、市场监督管理等有关部门和单位应当按照各自职责协同做好非法客运行为查处工作。查处非法客运行为有关部门和单位应当建立沟通协调机制依法共享车辆信息、执法信息等数据。
郑州市规范城市客运行为若干规定,,,,,第七条 市交通运输行政主管部门、公安机关交通管理部门应当重点检查铁路车站、飞机场、长途客运站、地铁站、医院、高等院校、商业中心、宾馆周边等人员密集场所加强巡查查处非法客运行为。
郑州市规范城市客运行为若干规定,,,,,第八条 市交通运输行政主管部门、公安机关依法收集的录音、录像等视听资料和证人证言、检查笔录等可以作为认定非法客运行为的证据。
郑州市规范城市客运行为若干规定,,,,,第九条 从事巡游出租汽车、网络预约出租汽车客运经营有下列情形之一的由市交通运输行政主管部门扣押车辆责令停止经营没收违法所得并按照以下规定给予处罚车运输证的处三千元以上一万元以下罚款下罚款。
郑州市规范城市客运行为若干规定,,,,,第十条 违反本规定第四条规定从事客运经营的由公安机关交通管理部门负责道路检查收集有关证据后将案件材料移送市交通运输行政主管部门由市交通运输行政主管部门处一千元以上五千元以下罚款。
郑州市规范城市客运行为若干规定,,,,,第十一条 违反本规定第五条规定的由市交通运输行政主管部门扣押车辆按照下列规定处罚责令限期改正处二万元罚款安装的专用营运标识、设施处五千元以上一万元以下罚款安装巡游出租汽车专用营运标识、设施的没收假冒车辆及安装的专用营运标识、设施可处一万元以上三万元以下罚款。
郑州市规范城市客运行为若干规定,,,,,第十二条 驾驶机动车非法从事出租汽车客运的由公安机关交通管理部门暂扣其机动车驾驶证三个月至六个月。
郑州市规范城市客运行为若干规定,,,,,第十三条 被没收的非法客运经营车辆和物品由市交通运输行政主管部门依法上缴财政。被扣押的非法客运经营车辆经调查当事人下落不明或者无法确定涉案车辆所有人的由市交通运输行政主管部门以公告送达方式告知领取。公告六十日期满仍无人领取的将涉案车辆依法上缴财政。
郑州市规范城市客运行为若干规定,,,,,第十四条 本市建立非法客运行为举报奖励制度并向社会公开举报受理部门和举报方式。举报经查证属实的应当给予举报人奖励。具体办法由市人民政府另行制定。
郑州市规范城市客运行为若干规定,,,,,第十五条 郑州航空港经济综合实验区、郑州高新技术产业开发区、郑州经济技术开发区、郑东新区范围内的客运行为及其管理活动按照本规定执行。县市、上街区范围内的客运行为及其管理活动参照本规定执行。
郑州市规范城市客运行为若干规定,,,,,第十六条 本规定自 2019 年 12 月 1 日起施行。
