文件名,编,分编,章,节,内容
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第一条 为了加强危险化学品安全管理预防和减少危险化学品事故保障危险化学品领域安全发展保护人民群众生命财产安全保护环境依照《中华人民共和国安全生产法》等有关法律、法规结合本市实际制定本条例。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第二条 本市行政区域内危险化学品生产、储存、使用、经营、运输和废弃处置的安全管理适用本条例。本条例所称危险化学品是指具有毒害、腐蚀、爆炸、燃烧、助燃等性质对人体、设施、环境具有危害的剧毒化学品和其他化学品。危险化学品的种类按照国家有关部门公布的目录执行。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第三条 危险化学品安全管理工作应当以人为本坚持人民至上、生命至上坚持安全第一、预防为主、综合治理的方针从源头上防范化解重大安全风险。危险化学品安全管理工作坚持管行业必须管安全、管业务必须管安全、管生产经营必须管安全强化危险化学品生产、储存、使用、经营、运输和废弃处置单位以下统称危险化学品单位的安全生产主体责任与政府监督管理责任。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第四条 市、旗区人民政府应当加强对危险化学品安全管理工作的领导协调解决重大问题将危险化学品安全管理所需经费列入本级财政预算。经济技术开发区园区管理机构负责园区内危险化学品安全监督管理工作。苏木乡镇人民政府、街道办事处应当按照职责加强对本辖区内危险化学品安全生产的监督检查协助市、旗区人民政府及其有关部门依法履行安全监督管理职责。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第五条 市、旗区人民政府应急管理部门负责危险化学品安全监督管理的综合工作履行下列职责险化学品长输管道的建设项目进行安全条件审查用许可证和危险化学品经营许可证险化学品专业救援力量
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第六条 市、旗区人民政府相关部门在危险化学品安全监督管理工作中应当履行下列职责易制爆危险化学品的流向核发剧毒化学品购买许可证、剧毒化学品道路运输通行证并负责危险化学品运输车辆的道路交通安全管理督管理负责危险化学品及其包装物、容器不包括储存危险化学品的固定式大型储罐生产企业的工业产品生产许可证监督管理理。依照职责分工调查危险化学品环境污染事故和生态破坏事件负责危险化学品事故现场的应急环境监测监督管理负责危险化学品道路运输许可以及运输工具的安全监督管理负责危险化学品道路运输企业驾驶人员、押运人员的资格认定。铁路主管部门负责危险化学品铁路运输及其运输工具的安全监督管理。民用航空主管部门负责危险化学品航空运输以及航空运输企业及其运输工具的安全监督管理业健康监督管理负责医疗卫生机构危险化学品使用、储存的安全监督管理负责组织、协调危险化学品事故受伤人员的医疗救援工作工园区、储存危险化学品的专门区域和周边安全控制距离等有关内容纳入国土空间规划存的行业规划、布局绿色氢氨醇产业园区规划布局指导重点区域、重点产业、重点企业的运行和协调负责化工园区认定相关工作推动落后工艺、产能退出除生产、储存危险化学品的建设项目土木工程、建筑工程、线路管道、设备安装和装修工程的安全生产监督管理负责危险化学品建设项目消防设计审查、消防验收工作燃气管道和油气田集输管网、炼油、化工企业厂区内管道安全生产监督管理监督管道企业落实安全生产责任制负责制定和实施绿氢产业发展规划和产业政策措施负责可再生能源制氢、绿氢长输管道、绿氢加氢站建设项目核准或者备案负责绿氢长输管道保护工作设项目的审批、核准和备案学实验室等涉及危险化学品使用的安全监督管理业的监督管理进出境危险化学品及其包装实施合格评定。教育体育、科学技术、农牧、商务、文化和旅游、林业和草原、水行政等部门应当按照各自职责做好危险化学品的安全监督管理工作。相关安全监督管理职责未明确部门时由市、旗区人民政府安全生产委员会提出意见报本级人民政府批准后确定监督管理部门。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第七条 负有危险化学品安全监督管理职责的部门应当把本部门负责监督管理的危险化学品单位其他配套和附属设施纳入安全监管范围。其他有关部门应当把本部门主管行业领域的生产经营单位涉及危险化学品的配套和附属设施等纳入安全监管范围。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第八条 危险化学品单位是危险化学品安全生产的责任主体。危险化学品单位的主要负责人是本单位危险化学品安全生产第一责任人对危险化学品安全生产工作负全面领导责任分管安全生产的负责人对危险化学品安全生产工作负综合管理领导责任其他负责人对分管范围内的危险化学品安全生产工作负直接领导责任。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第九条 鼓励危险化学品单位按照新的国家标准或者行业标准更新、改造涉及危险化学品的工艺、技术、设备、设施。对在危险化学品安全管理工作中取得显著成绩的单位和个人给予奖励。
鄂尔多斯市危险化学品安全管理条例,,,第一章 总 则,,第十条 新闻、出版、广播、电视、报刊、网络等单位应当开展危险化学品安全生产公益性宣传教育。
