文件名,编,分编,章,节,内容
鄂温克族自治旗森林草原防火条例,,,,,第一条 为了有效预防和扑救森林草原火灾保障人民生命财产安全保护森林草原资源维护生态安全根据国务院《草原防火条例》《森林防火条例》和《内蒙古自治区森林草原防火条例》等有关法律、法规结合鄂温克族自治旗以下简称自治旗实际制定本条例。
鄂温克族自治旗森林草原防火条例,,,,,第二条 本条例适用于自治旗行政区域内森林草原火灾的预防和扑救城市市区除外。
鄂温克族自治旗森林草原防火条例,,,,,第三条 森林草原防灭火工作实行各级人民政府行政首长负责制和部门、单位主要领导负责制。森林草原防灭火工作纳入各级人民政府年度考核体系。
鄂温克族自治旗森林草原防火条例,,,,,第四条 自治旗森林草原防灭火指挥部以下简称自治旗防灭火指挥部负责组织协调和指导全旗森林草原防灭火工作。指挥部办事机构设在应急管理局负责日常工作。其他有关部门按照职能分工负责森林草原防灭火相关工作。
鄂温克族自治旗森林草原防火条例,,,,,第五条 在自治旗行政区域内的中国内蒙古森林工业集团有限责任公司所属公司及红花尔基林业局森林草原防灭火指挥机构负责其经营管理范围内的森林草原防灭火工作。苏木乡镇人民政府应当设立森林草原防灭火指挥机构配备专职或者兼职工作人员负责本行政区域的森林草原防灭火工作。嘎查、林场、社区、各级自然保护地应当设立森林草原防灭火组织负责本行政区域或者本施业区内的森林草原防灭火工作。野外工矿企业、施工单位应当设立森林草原防灭火组织负责本责任区内的森林草原防灭火工作。
鄂温克族自治旗森林草原防火条例,,,,,第六条 自治旗林业和草原主管部门应当编制全旗森林草原防火规划报自治旗人民政府批准后组织实施。各苏木乡镇人民政府应当编制本行政区的森林草原防火规划经自治旗防灭火指挥部批准后分期组织实施。
鄂温克族自治旗森林草原防火条例,,,,,第七条 自治旗防灭火指挥部应当按照有关规定结合实际编制森林草原火灾应急预案并报上一级防灭火指挥部备案。自治旗人民政府及有关单位应当每年组织开展森林草原火灾应急预案演练。各苏木乡镇人民政府、林场、农场、牧场、各级自然保护地、旅游景区、工矿企业等森林草原防灭火重点单位应当制定森林草原火灾应急方案并报自治旗防灭火指挥部备案。
鄂温克族自治旗森林草原防火条例,,,,,第八条 自治旗人民政府应当建立专业森林草原消防队伍负责自治旗境内的森林草原防灭火工作自治旗林业和草原主管部门所属林场应当建立专业森林草原消防队伍负责本施业区森林草原防灭火工作。自治旗专业森林草原消防队伍工作经费办公、油料、装备、保险、森林脑炎疫苗接种、基础设施建设费等应当统一纳入自治旗财政预算。
鄂温克族自治旗森林草原防火条例,,,,,第九条 自治旗各级森林草原防灭火组织应当配备一定数量的防灭火机具负责本责任区的森林草原防灭火工作。作业区及外围一公里范围为作业单位防火责任区。
鄂温克族自治旗森林草原防火条例,,,,,第十条 自治旗境内毗邻的行政区域或者林业施业区应当建立森林草原防火联防机制确定联防区域建立联防组织和联防制度实现信息共享。
鄂温克族自治旗森林草原防火条例,,,,,第十一条 自治旗人民政府及苏木乡镇人民政府应当组织有关部门开展防火宣传活动普及森林草原防灭火知识提高公民的森林草原防火意识和自我保护能力。气象部门应当及时提供森林草原火险天气长、短期预测预报服务。广播、电视、报纸、互联网等媒体和电信业务经营单位应当开展森林草原防火公益宣传。交通运输、铁路部门应当将监测到的森林草原火情及时通报自治旗森林草原防灭火指挥机构。学校应当加强森林草原防火安全教育。
鄂温克族自治旗森林草原防火条例,,,,,第十二条 雇用他人的单位和个体经营者应当对所雇用人员加强防灭火安全教育并承担防灭火管理责任。无民事行为能力人和限制民事行为能力人的监护人应当履行监护责任防止被监护人引发火灾。
鄂温克族自治旗森林草原防火条例,,,,,第十三条 途经自治旗行政区域内的铁路经营单位负责铁路沿线的森林草原防火工作并配合沿线地方人民政府做好铁路沿线森林草原防火基础设施建设工作。
鄂温克族自治旗森林草原防火条例,,,,,第十四条 在林牧区依法开办工矿企业、设立旅游区或者新建开发区的其森林草原防灭火设施应当与该建设项目同步规划、同步设计、同步施工和验收。在林牧区成片造林的应当同时配套建设森林草原防灭火设施。
鄂温克族自治旗森林草原防火条例,,,,,第十五条 自治旗人民政府应当组织有关部门和单位按照森林草原防火规划的要求设置林缘机耕防火隔离带自治旗林业和草原主管部门应当对林缘机耕防火隔离带进行质量验收并履行监督检查职责。
鄂温克族自治旗森林草原防火条例,,,,,第十六条 铁路、公路、电力、石油、燃气、化工及供热管道管理单位和工矿企业在日常维护或者在野外施工作业中应当在易引发火灾的地段或者地带设置防火隔离带和防火警示宣传标志并做好防火责任区内的防灭火工作。
鄂温克族自治旗森林草原防火条例,,,,,第十七条 森林草原防火区内的油库、仓库等重要设施周围应当开设防火隔离带蒙古包、篷车、板房等应当设置倒灰坑配备灭火工具。
鄂温克族自治旗森林草原防火条例,,,,,第十八条 自治旗人民政府及苏木乡镇人民政府应当定期组织有关部门单位开展森林草原防灭火督查工作发现森林草原火灾隐患等问题及时消除整改。
鄂温克族自治旗森林草原防火条例,,,,,第十九条 森林草原高火险期间自治旗人民政府可以根据需要发布命令禁止一切野外用火。
鄂温克族自治旗森林草原防火条例,,,,,第二十条 防火期内严格执行火源管理制度禁止野外擅自用火。确需野外生产用火的单位由自治旗林业和草原主管部门批准。在自治旗行政区域内的中国内蒙古森林工业集团有限责任公司所属公司及红花尔基林业局施业区的生产用火由其森林草原防灭火指挥部批准。
鄂温克族自治旗森林草原防火条例,,,,,第二十一条 防火期内禁止在森林草原防火区烧灰积肥、烧荒烧炭、焚烧垃圾点烧田埂、牧草、秸秆吸烟、烧纸、烧香、烤火、野炊和燃放烟花爆竹、孔明灯等野外用火。在森林草原防火区内严禁倾倒任何未燃尽的生产生活用火的一切材料。
鄂温克族自治旗森林草原防火条例,,,,,第二十二条 进入林牧区的铁路机车、汽车、拖拉机等机动车辆应当安装防火装置配备灭火器材。驾驶员和乘务人员应当注意瞭望发现火情应当立即报告就近车站或者当地防火部门。禁止驾驶员、乘务人员和旅客向车外丢弃火种。
鄂温克族自治旗森林草原防火条例,,,,,第二十三条 防火期内进入自治旗划定的森林草原防火戒严管制区的人员必须持有森林草原防火通行证。自治旗防火通行证实行实名制办理。
鄂温克族自治旗森林草原防火条例,,,,,第二十四条 森林草原消防专用车辆应当按照规定喷涂标志图案安装警报器、标志灯具。
鄂温克族自治旗森林草原防火条例,,,,,第二十五条 森林草原防灭火专用车辆免交车辆购置税、车辆通行费。为执行扑火任务临时抽调、征用的车辆在扑火期间免交车辆通行费。
鄂温克族自治旗森林草原防火条例,,,,,第二十六条 森林草原火灾的扑救工作由自治旗防灭火指挥部统一组织和实施。自治旗境内所有单位、个人以及驻自治旗各企业应当接受自治旗防灭火指挥部的统一调度和指挥。自治旗森林消防大队执行预防和扑救森林草原火灾任务时大队指挥员应当担任地方联指副总指挥参与指挥行动按照联指明确的任务要求组织队伍开展灭火行动执行自治旗以外扑火任务时应当告知自治旗防灭火指挥部以便进行统筹安排。
鄂温克族自治旗森林草原防火条例,,,,,第二十七条 根据扑救森林草原火灾的需要自治旗防灭火指挥部可以依法采取征用调用设备、车辆现场开设防火隔离带、清除障碍物、应急取水、交通管制等应急措施。
鄂温克族自治旗森林草原防火条例,,,,,第二十八条 气象部门应当及时提供森林草原火险天气预报服务和火场增雨作业通讯主管部门应当组织提供应急通信保障应急管理部门应当及时设置避难场所和救灾物资供应点紧急转移并妥善安置灾民开展受灾群众救助工作财政部门应当及时拨付扑火应急资金交通运输管理部门应当保障公路畅通无阻卫生健康部门应当做好应急救援、灾后防疫等工作公安部门应当做好车辆调集和维护火场治安工作自治旗人民政府指定的有关部门、单位应当及时做好人员、财产的疏散、转移等工作。
鄂温克族自治旗森林草原防火条例,,,,,第二十九条 各苏木乡镇人民政府和驻自治旗各企业应当将火灾发生及扑救情况及时向自治旗防灭火指挥部报告。
鄂温克族自治旗森林草原防火条例,,,,,第三十条 火灾扑灭后扑火队伍应当对火灾现场进行清理和看守经前线防灭火指挥部批准方可撤出。
