文件名,编,分编,章,节,内容
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第一条 为了保护和改善鄱阳湖生态经济区环境发挥鄱阳湖调洪蓄水、调节水资源、降解污染、保护生物多样性等多种生态功能促进环境保护与经济社会的协调发展根据《中华人民共和国环境保护法》等有关法律、行政法规的规定结合本省实际制定本条例。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第二条 在鄱阳湖生态经济区范围内从事影响环境的生产、经营、建设、旅游、科学研究、管理等活动应当遵守本条例。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第三条 鄱阳湖生态经济区分为湖体核心保护区、滨湖控制开发带和高效集约发展区。鄱阳湖生态经济区包括南昌、景德镇、鹰潭三个设区的市以及九江、新余、抚州、宜春、上饶、吉安六个设区的市的部分县市、区共三十八个县市、区具体范围按照国务院批准的《鄱阳湖生态经济区规划》界定。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第四条 鄱阳湖生态经济区环境保护应当坚持统筹规划、生态优先、科学发展的原则以水资源、水环境、湿地资源和生物多样性保护为目标以鄱阳湖体、沿湖岸线和长江江西段岸线资源保护与生态廊道建设为重点加强宏观管理和综合协调统筹湖区及其流域上下游、干支流的生态建设和环境保护提高环境容量和生态功能增强可持续发展能力。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第五条 在鄱阳湖生态经济区内鼓励发展循环经济和低碳经济促进清洁生产推进生态工业园建设建设资源节约型、环境友好型社会。鼓励环境科学技术研究和先进适用的环境保护技术的推广应用。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第六条 各级人民政府及其有关部门和单位以及广播、电视、报刊、网络等媒体应当加强鄱阳湖生态经济区环境保护宣传增强全民环境保护意识。鼓励社会组织和个人开展形式多样的鄱阳湖生态经济区环境保护宣传活动。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第七条 单位和个人都有保护鄱阳湖生态经济区环境的义务并有权对破坏鄱阳湖生态经济区环境的行为进行批评、检举和控告。
鄱阳湖生态经济区环境保护条例,,,第一章 总 则,,第八条 对在鄱阳湖生态经济区环境保护工作中做出显著成绩的单位和个人各级人民政府及有关部门应当给予表彰和奖励。
鄱阳湖生态经济区环境保护条例,,,第二章 管 理,,第九条 省人民政府领导鄱阳湖生态经济区的环境保护工作成立由生态环境、发展改革、财政、工业和信息化、农业农村、林业、水利、自然资源、住房和城乡建设、交通运输、科学技术、文化和旅游、统计等部门组成的鄱阳湖生态经济区环境保护综合协调机构以下简称综合协调机构。综合协调机构履行下列职责鄱阳湖生态经济区环境保护中的重大事项和行政执法争议和督促鄱阳湖生态经济区内各设区的市、县市、区人民政府和有关部门依法开展环境保护工作任并组织对鄱阳湖生态经济区内各设区的市、县市、区人民政府和有关部门目标责任的完成情况进行检查、督促和考核。综合协调机构设在省人民政府生态环境主管部门。
鄱阳湖生态经济区环境保护条例,,,第二章 管 理,,第十条 鄱阳湖生态经济区内县级以上人民政府应当将环境保护工作纳入国民经济和社会发展规划采取有利于环境保护的政策和措施加大对环境保护的投入促进环境保护、经济建设和社会发展相协调。
