文件名,编,分编,章,节,内容
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第一条 为做好长江三峡工程重庆库区的移民工作维护移民合法权益保障三峡工程建设顺利进行促进三峡库区经济和社会发展根据《长江三峡工程建设移民条例》结合本市实际制定本办法。
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第二条 本市行政区域内三峡工程建设移民适用本办法。
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第三条 市人民政府负责本市行政区域内三峡工程建设移民工作。区县自治县人民政府负责本辖区内三峡工程建设移民工作。市和区县自治县人民政府移民行政部门负责本辖区内的移民综合管理工作。市和区县自治县人民政府有关行政部门应按照职能分工各负其责认真做好移民管理工作。乡镇人民政府、街道办事处承担区县自治县人民政府及其行政部门委托的移民管理工作。
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第四条 移民迁建单位和移民依法享有获得补偿的权利承担搬迁的义务。
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第五条 市和区县自治县人民政府应按照库区环境保护建设规划和本市三峡库区生态经济区发展规划坚持可持续发展战略加强库区水土保持、环境保护和生态环境建设。
重庆市实施《长江三峡工程建设移民条例》办法,,,第一章 总则,,第六条 移民工作实行目标责任制。市人民政府与区县自治县人民政府区县自治县人民政府与乡镇人民政府、街道办事处应当签订阶段和年度移民工作目标责任书实行阶段和年度考核、验收、奖惩。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第七条 区县自治县人民政府应当按照《长江三峡工程水库淹没处理及移民安置规划大纲》和全市移民安置规划编制本辖区的移民安置规划报市人民政府审批并根据批准后的移民安置规划编制移民安置实施计划和以户为单位的移民安置方案。市人民政府及其移民行政部门应当加强对移民安置规划实施情况的监督。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第八条 农村移民应首先在本区县自治县内安置。本区县自治县安置不了的由市人民政府在本市行政区域内其他区县自治县安置或根据国家规划在其他省、自治区、直辖市安置。农村移民外迁安置由区县自治县人民政府组织按照移民规划和年度计划实施。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第九条 农村移民在本市行政区域内以农业生产形式安置的安置地的区县自治县人民政府应采取调整、开发、改造等措施给农村移民每人安排一份不低于安置地人均标准的耕地。城郊安置移民人均耕地不足零点零三三公顷零点五亩的经移民本人书面申请乡镇人民政府或街道办事处批准可实行兼业安置。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十条 农村移民在本区县自治县内安置的由安置地农村集体经济组织与区县自治县移民行政部门或其委托的乡民政府鉴证。农村移民在本市行政区域内其他区县自治县安置的由迁出地和安置地的区县自治县人民政府签订协议。农村移民在本市行政区域外安置的由市人民政府与安置地省级人民政府按国家有关规定签订协议。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十一条 二、三产业安置农村移民应由移民本人向乡乡镇人民政府、街道办事处经审核并报区县自治县移民行政部门同意后应将生产安置费发给移民本人由移民本人与接收单位签定安置就业合同。接收移民的单位应当办理移民职工的失业保险和养老保险。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十二条 具备从事个体经营条件的农村移民经本人申请村、组同意乡镇人民政府或街道办事处审查区县自治县移民行政部门批准后可以自谋职业生产安置费发给移民本人。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十三条 因三峡工程建设移民迁建土地被征用并在二、三产业安置或自谋职业的农村移民经本人书面申请由有关区县自治县人民政府批准可以转为非农业户口。当地公安机关应依法办理相关手续。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十四条 农村移民投亲靠友自主外迁安置的接收地乡具接收证明接收地的区县自治县公安机关应出具户口准迁证明接收地的区县自治县人民政府应当签注意见。农村移民投亲靠友自主外迁安置在迁出地应由移民本人申请经迁出的村、组和乡镇人民政府或街道办事处同意区县自治县移民行政部门审查批准迁出地的区县自治县人民政府出具证明。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十五条 丧失劳动能力的农村移民经乡镇人民政府或街道办事处确认可用生产安置费办理养老安置。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十六条 按规划新建的农村移民居民点的道路、供水、供电等基础设施由乡镇或街道、村统一组织施工。移民在本区县自治县农村移民居民点内自主建房的基础设施费按规定标准分别拨付给乡镇、街道、村和移民户用于道路、供水、供电、宅基地等建设。移民在本区县自治县内自主分户建房的基础设施费按规定的标准拨付给移民户。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十七条 农村移民以农业生产方式安置的其生产安置费、建房宅基地征用费由乡镇人民政府或街道办事处拨付给安置地的村、组。学校及医疗网点增容费由安置地乡镇人民政府或街道办事处统筹使用。农村移民的房屋及附属设施补偿费、零星林木补偿费、搬迁运输费、过渡期生活补助费发给移民本人。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十八条 市内跨区县自治县和出市外迁移民的安置补偿费、补助费、搬迁运输费按国家规定执行。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第十九条 区县自治县人民政府及迁建单位和居民应当按照城镇迁建规划进行迁建未经原规划审批机关批准任何单位和个人不得擅自调整或修改迁建规划。迁建单位的用地面积由移民行政部门按被淹没的建设用地面积核定并出具迁建用地通知书。规划、土地行政主管部门应依法办理相关手续。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十条 移民迁建复建的选址定点高程必须符合三峡库区规划的要求严格执行移民安置规划。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十一条 三峡工程建设移民迁建用地按照规划批准的规模审批、划拨并依法办理土地权属变更登记手续。在完成移民迁建任务前移民迁建用地不得转让不得用于非移民项目。移民迁建征地补偿费标准按照国家移民行政部门的规定执行。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十二条 移民工程严格执行项目法人负责制以及招标投标制、合同制、监理制、竣工验收制等管理制度。禁止无资质证书或超越资质等级承担业务禁止对移民项目进行转包或违法分包。市和区县自治县人民政府及有关行政部门应加强对迁建复建项目的全过程管理、监督。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十三条 城镇迁建中的单位搬迁提倡采取组合迁建方式。居民房屋搬迁可根据不同情况按下列方式之一进行积价差找补结算
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十四条 城镇迁建项目和专业设施复建项目应当在验收合格后的六个月内办理固定资产移交并完备移交手续。迁建城镇的各种市政设施和公用设施由区县自治县人民政府负责组织新城建设管理委员会指挥部或移民行政部门移交给相关行业主管部门或单位管理。由业主或行业主管部门负责复建的各类专业设施工程按国家规定程序直接转为固定资产管理。移民行政部门应对移交的各类移民工程项目与迁建业主单位或主管部门签订淹没迁建复建补偿销号合同。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十五条 城镇迁建规划区内的占地移民生产安置费统一按三峡工程库区淹没线下农村移民生产安置补偿标准执行。占地移民生产安置费在迁建城镇基础设施费中列支。占地移民生产安置可实行一次性货币安置也可就近调整土地实行农业安置。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十六条 淹没企业应通过改组、改制等方式推进资产重组和结构调整。鼓励产品质量好、有市场、符合环保要求的企业通过接受对口支援、与名优企业合作、合资实行组合搬迁。符合破产条件的淹没国有企业可以依法实施破产。各区县基本生活做好再就业和社会保险工作。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十七条 淹没企业合并、分立等应依法进行。由此导致移民补偿资金所有权发生变更的由区县自治县人民政府审批。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十八条 收购、兼并淹没迁建企业被收购或兼并企业的资产评估总值应包含移民补偿额。不得利用收购、兼并、联营等手段骗取移民补偿资金。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第二十九条 淹没企业或承担企业迁建任务的单位作为项目法人应按照国家有关法规和产业政策自行承担建设和生产经营风险按时完成企业迁建任务。
重庆市实施《长江三峡工程建设移民条例》办法,,,第二章 移民安置,,第三十条 淹没企业搬迁补偿资金实行包干使用。移民部门应按规定对项目法人的资金使用计划进行审查按工程建设进度和其他渠道资金的到位情况拨付移民资金。其它渠道资金未到位不得拨付移民资金。企业迁建项目竣工验收合格并安置好全部职工以后的包干节余资金归企业所有。在未完成企业生产和生活迁建任务并形成相应生产能力前任何部门和企业不得用移民补偿资金归还企业集资和各种贷款。补偿额度较小或部分淹没的企业经区县自治县移民行政部门批准补偿资金可一次性拨付。
