文件名,编,分编,章,节,内容
重庆市水文条例,,,第一章 总 则,,第一条 为了加强和规范水文管理工作发展水文事业为防灾减灾、水资源的开发利用与节约保护、城乡饮用水和水生态安全服务促进经济社会的可持续发展根据《中华人民共和国水文条例》结合本市实际制定本条例。
重庆市水文条例,,,第一章 总 则,,第二条 在本市行政区域内从事水文站网规划与建设水文监测与预报水资源调查评价水文监测资料汇交与使用水文设施与水文监测环境保护水文监督管理等活动适用本条例。国家流域管理机构在本市行政区域内的水文活动可以参照本条例执行。
重庆市水文条例,,,第一章 总 则,,第三条 水文事业是国民经济和社会发展的基础性公益事业。市、区县自治县人民政府应当将水文事业纳入本级国民经济和社会发展规划所需经费纳入本级财政预算并随着经济社会的发展逐步增加对水文事业的投入。
重庆市水文条例,,,第一章 总 则,,第四条 市水行政主管部门主管本市水文工作其直属的市水文机构具体负责组织实施管理工作。区县自治县水行政主管部门主管并组织实施本行政区域内除国家流域管理机构和市管权限以外的水文工作。专用水文测站和从事水文活动的其他单位应当接受市水文机构的行业管理。
重庆市水文条例,,,第一章 总 则,,第五条 市水文机构的职责是监督和管理本市范围内水文活动测资料的汇交、管理和使用审查报预报及发布区县自治县水文机构的职责是监测和水文情报预报及发布护工作。
重庆市水文条例,,,第一章 总 则,,第六条 市、区县自治县发展和改革、国土、建设、环保、交通、气象、测绘等有关部门在各自职责范围内依法配合做好有关水文工作。
重庆市水文条例,,,第一章 总 则,,第七条 市、区县自治县人民政府鼓励和支持水文科学技术的研究推广和水文科技人才的培养。市、区县自治县人民政府按照国家有关规定对在水文工作中做出突出贡献的单位和个人给予表彰和奖励。
重庆市水文条例,,,第二章 规划与建设,,第八条 市水行政主管部门按照国家有关规定会同市发展和改革等部门组织编制本市水文事业发展规划报市人民政府批准实施并报国务院水行政主管部门备案。区县自治县水行政主管部门应当根据本市水文事业发展规划结合当地国民经济和社会发展规划会同区县自治县发展和改革等部门组织编制当地水文事业发展规划报本级人民政府批准实施并报市水行政主管部门备案。水文事业发展规划主要包括水文事业发展目标、水文站网建设、水文监测和情报预报设施建设、水文信息网络和业务系统建设以及保障措施等内容。
重庆市水文条例,,,第二章 规划与建设,,第九条 水文站网建设实行统一规划。市水文机构应当根据本市水文事业发展规划按照流域与区域相结合、区域服从流域布局合理、防止重复兼顾当前和长远需要的原则组织编制本市水文站网建设规划报市水行政主管部门批准后按照国家固定资产投资项目建设程序组织实施。修改水文站网建设规划应当按照规划编制程序报原批准机关批准。
重庆市水文条例,,,第二章 规划与建设,,第十条 洪水灾害频发河流和防洪重要城镇应当规划建设必要的水文测站或者监测设施。大中型水库、水电站、航运枢纽、城市防洪工程和易发洪水灾害的旅游景区经营管理单位应当配套建设必要的专用水文测站或者设置水文监测设施。水文监测应当采取水量与水质同步驻测与巡测、自动遥测与人工监测相结合的方式逐步提高自动化监测水平。
重庆市水文条例,,,第二章 规划与建设,,第十一条 水文测站实行分类分级管理。水文测站分为国家基本水文测站和专用水文测站国家基本水文测站分为国家重要水文测站、市级水文测站和一般水文测站。国家重要水文测站的设立和调整由市水行政主管部门报国务院水行政主管部门直属水文机构批准其他基本水文测站的设立和调整由市水行政主管部门批准并报国务院水行政主管部门直属水文机构备案。
重庆市水文条例,,,第二章 规划与建设,,第十二条 国家重要水文测站和市级水文测站建设应当纳入市级基本建设计划所需经费由市级财政统筹安排。一般水文测站建设应当纳入各区县自治县基本建设计划所需经费由本级财政统筹安排。专用水文测站的建设和运行管理经费应当分别纳入其所服务的工程建设概算和运行管理经费。
重庆市水文条例,,,第二章 规划与建设,,第十三条 设立专用水文测站应当按照国家规定报市水文机构批准撤销专用水文测站应当报原批准机关批准。
重庆市水文条例,,,第二章 规划与建设,,第十四条 申请设立专用水文测站应当具备下列条件专用水文测站由设立单位建设和管理设立单位可以委托市水文机构管理。
