文件名,编,分编,章,节,内容
重庆市邮政条例,,,第一章 总 则,,第一条 为了保障邮政普遍服务规范邮政市场秩序维护通信与信息安全保护用户通信自由和通信秘密及其他合法权益促进邮政业健康发展根据《中华人民共和国邮政法》《快递暂行条例》等法律、行政法规结合本市实际制定本条例。
重庆市邮政条例,,,第一章 总 则,,第二条 本市行政区域内邮政设施的规划和建设邮政服务、快递业务以及相关监督管理活动适用本条例。
重庆市邮政条例,,,第一章 总 则,,第三条 市、区县自治县人民政府应当将邮政业发展纳入国民经济和社会发展规划承担邮政领域地方财政事权和支出责任加强邮政监管体系建设支持邮政企业提供邮政普遍服务对邮政企业提供邮政普遍服务、特殊服务给予补贴持续优化快递服务营商环境保障邮政业与经济社会发展相适应。
重庆市邮政条例,,,第一章 总 则,,第四条 市邮政管理部门负责本市行政区域内邮政普遍服务和邮政市场监督管理工作制定和实施本市邮政业发展专项规划完善市场机制保障邮政服务实施和通信安全、畅通。市邮政管理部门按照国务院规定设立的邮政监管派出机构在市邮政管理部门的领导下负责其所辖区域的邮政普遍服务和邮政市场监督管理工作。发展改革、教育、公安、国家安全、民政、财政、人力社保、规划自然资源、生态环境、住房城乡建设、城市管理、交通、商务、卫生健康、应急、市场监管、口岸物流、税务、海关等部门在各自职责范围内协助做好邮政市场监督管理工作并采取措施支持邮政企业提供邮政普遍服务。
重庆市邮政条例,,,第一章 总 则,,第五条 市邮政管理部门和本条例第四条第二款规定的邮政监管派出机构以下统称邮政管理部门对邮政市场实施监督管理应当遵循公开、公平、公正以及鼓励竞争、促进发展的原则。
重庆市邮政条例,,,第一章 总 则,,第六条 市、区县自治县人民政府、邮政管理部门应当加快培育邮政业新业态和新模式支持邮政企业、快递企业按照规定探索无人机、无人车等运载工具的场景应用推动邮政业数字化发展。鼓励邮政企业、快递企业加大科技研发投入推广应用先进技术和设备提高智能化水平。
重庆市邮政条例,,,第一章 总 则,,第七条 邮政管理、商务、发展改革、交通、口岸物流、海关等部门应当建立邮件快件进出境协作机制推动进出境邮件快件便捷通关。鼓励经营快递业务的企业开拓跨境寄递领域业务拓展国际网络建设在中欧班列、西部陆海新通道、国际航线沿线重点市场布局海外仓促进跨境寄递服务高质量发展。
重庆市邮政条例,,,第一章 总 则,,第八条 市、区县自治县人民政府及商务、邮政管理等部门应当采取措施加强邮政业环境污染治理促进邮政业绿色发展。邮政企业、快递企业应当按照规定使用环保包装材料优先采用可重复使用、易回收利用的包装物优化邮件快件包装减少包装物的使用并积极回收利用包装物。支持邮政企业、快递企业优先使用新能源交通工具。
重庆市邮政条例,,,第一章 总 则,,第九条 邮政企业应当加强服务质量管理完善安全保障措施按照国家规定的业务范围、服务标准为用户提供迅速、准确、安全、方便的服务。
重庆市邮政条例,,,第一章 总 则,,第十条 任何单位和个人都有权制止、举报破坏邮政设施、危害邮政通信安全的行为。任何单位和个人不得损毁邮政设施或者影响邮政设施的正常使用。
重庆市邮政条例,,,第二章 邮政设施,,第十一条 提供邮政普遍服务的邮政设施等组成的邮政网络是国家重要的通信基础设施。市、区县自治县人民政府应当将邮政设施的布局和建设纳入国土空间规划保证邮政设施的布局和建设满足保障邮政普遍服务的需要。农村地区提供邮政普遍服务的设施建设应当纳入当地镇、乡和村规划。
重庆市邮政条例,,,第二章 邮政设施,,第十二条 邮政设施应当按照国家规定的标准设置。建设城市新区、独立工矿区、开发区、商业区、住宅区或者对旧城区进行改建应当按照国土空间规划同时建设配套的提供邮政普遍服务的邮政设施。较大的车站、机场、港口、高等院校和宾馆应当设置提供邮政普遍服务的邮政营业场所。
重庆市邮政条例,,,第二章 邮政设施,,第十三条 市、区县自治县人民政府应当按照基本公共服务均等化的要求重点扶持农村边远地区、三峡库区、脱贫地区和少数民族地区邮政设施的建设。
重庆市邮政条例,,,第二章 邮政设施,,第十四条 邮政企业设置、撤销、变更邮政营业场所应当提前书面告知邮政管理部门。邮政企业撤销提供邮政普遍服务的邮政营业场所应当事前向邮政管理部门提出书面申请邮政管理部门应当在收到申请之日起二十日内作出批准或者不予批准的决定经邮政管理部门负责人批准可以延长十日作出决定作出撤销决定的邮政企业应当在收到批准决定之日起十日内向社会公告。
重庆市邮政条例,,,第二章 邮政设施,,第十五条 邮政设施建设用地应当符合国土空间规划。符合划拨条件的按照国家有关规定予以划拨。未经批准不得改变土地用途。按照第十二条第二款规定配套建设的提供邮政普遍服务的邮政设施用房由建设单位按照房屋综合成本造价出售给邮政企业。建设提供邮政普遍服务的邮政营业场所、邮件处理场所按照规定程序审批后免缴城市建设配套费。
重庆市邮政条例,,,第二章 邮政设施,,第十六条 邮政企业应当按照国土空间规划在城市街道、广场、公园、旅游景区景点等公共场所设置邮筒箱等邮政设施。设置邮筒箱免缴城市道路占用费。
重庆市邮政条例,,,第二章 邮政设施,,第十七条 机关、企业事业单位应当设置收发传达室等接收邮件的场所建设城镇居民楼应当设置接收邮件的信报箱农村地区应当逐步设置村邮站或者其他接收邮件的场所。
