文件名,编,分编,章,节,内容
铜川市养犬管理条例,,,,,第一条 为了加强养犬管理规范养犬行为保障公民人身安全和健康维护公共秩序和市容环境卫生提升社会文明程度根据有关法律、法规结合本市实际制定本条例。
铜川市养犬管理条例,,,,,第二条 本条例适用于本市城市建成区、县城建成区和市、县区人民政府确定实行城镇化管理的其他区域具体范围由市、县区人民政府向社会公布。军用、警用、应急救援、科研、残疾人辅助等特定用途犬只的管理按照国家有关规定执行。
铜川市养犬管理条例,,,,,第三条 市、县区人民政府应当加强对养犬管理工作的领导建立工作协调机制研究解决养犬管理工作中的重大问题养犬管理工作经费纳入同级财政预算。市、县区人民政府应当根据实际设立犬只收容留检场所配备无害化处理设施。县区人民政府应当定期组织开展本辖区内流浪犬集中收容行动。乡镇人民政府、街道办事处按照国家有关规定做好辖区内的养犬管理工作。
铜川市养犬管理条例,,,,,第四条 公安机关是养犬管理工作的主管部门主要履行下列职责城市管理执法部门负责查处未即时清理犬只粪便、随意丢弃犬只尸体、占道经营犬只等影响市容环境卫生的相关违法行为。农业农村部门负责犬只免疫、检疫、疫情处置、犬只尸体无害化处理等工作依法实施动物诊疗许可。发展改革、民政、财政、自然资源、住房和城乡建设、文化和旅游、卫生健康、市场监管、行政审批服务等部门按照各自职责做好养犬管理相关工作。
铜川市养犬管理条例,,,,,第五条 市、县区人民政府及其相关部门、乡镇人民政府、街道办事处、村居民委员会应当通过多种形式开展依法养犬、文明养犬、狂犬病防治知识宣传教育。新闻媒体、物业服务人、相关社会组织等应当加强依法养犬、文明养犬、狂犬病防治知识公益宣传。
铜川市养犬管理条例,,,,,第六条 禁止个人饲养烈性犬和大型犬。烈性犬、大型犬名录和认定标准由市公安机关会同市农业农村部门确定并公布与本条例同步实施。个人养犬应当具有完全民事行为能力、有独立固定住所每住户饲养犬只不得超过一只。单位养犬应当有健全的养犬安全管理制度和专职人员并配备有效的安全防护设施以及警示标识。
铜川市养犬管理条例,,,,,第七条 依法实行犬只狂犬病强制免疫制度。养犬人应当自饲养犬只之日起十五日内、犬龄满三个月之日起十五日内或者犬只免疫有效期满前为犬只接种狂犬病疫苗取得犬只免疫接种证明。养犬人应当自取得犬只狂犬病免疫证明后十五日内申请办理养犬登记。未经登记不得养犬。养犬登记证每年检验一次。公安机关和农业农村部门应当依托养犬管理服务信息系统实行信息共享为犬只免疫与登记、发放养犬登记证和犬牌、植入电子标识提供一站式便民服务。
铜川市养犬管理条例,,,,,第八条 养犬登记证、犬牌遗失或者损毁的养犬人应当自遗失或者损毁之日起三十日内申请补办。养犬人登记信息变更的应当自信息变更之日起三十日内申请办理变更登记。犬只死亡的应当及时送犬只收容留检场所进行无害化处理不得随意丢弃犬只尸体并自犬只死亡之日起三十日内办理注销登记。
铜川市养犬管理条例,,,,,第九条 犬只收容留检场所应当建立、健全犬只防疫、鼓励领养及无害化处理等管理制度不得从事犬只繁殖、非法营利活动对收容的犬只能够查明的应当及时通知养犬人在十五日内认领未认领的视为遗弃犬无人领养的无主犬由犬只收容留检场所处理。
铜川市养犬管理条例,,,,,第十条 养犬人应当遵守下列规定道、地下室、车库、绿化带等公共区域和单位集体宿舍、开放式阳台以及城市绿地、道路等公共区域饲养犬只
