文件名,编,分编,章,节,内容
银川市防空地下室建设和管理办法,,,第一章 总 则,,第一条 为了加强银川市防空地下室建设和管理提高城市防空抗毁能力保护国家和人民生命财产安全根据《中华人民共和国人民防空法》和《宁夏回族自治区实施〈中华人民共和国人民防空法〉办法》等法律、法规的规定结合本市实际制定本办法。
银川市防空地下室建设和管理办法,,,第一章 总 则,,第二条 本办法所称防空地下室是指结合住宅、旅馆、招待所、商店、院校和办公、科研、医疗等民用建筑修建的战时可用于防空的地下室。
银川市防空地下室建设和管理办法,,,第一章 总 则,,第三条 本市行政区域内防空地下室的建设和管理适用本办法。
银川市防空地下室建设和管理办法,,,第一章 总 则,,第四条 银川市人民防空主管部门以下简称市人防主管部门按照有关法律、法规负责本市行政区域内防空地下室建设和管理工作。
银川市防空地下室建设和管理办法,,,第一章 总 则,,第五条 防空地下室建设和管理应当坚持长期准备、重点建设、平战结合的方针贯彻与经济建设协调发展与城市建设相结合的原则。
银川市防空地下室建设和管理办法,,,第一章 总 则,,第六条 本市鼓励、支持社会团体、企业、事业单位和个人建设防空地下室。防空地下室平时由投资者管理使用收益归投资者所有。战时由市人防主管部门统一管理使用。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第七条 新建民用建筑建设单位应当按照国家规定的标准修建防空地下室。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第八条 凡符合本办法第七条规定的防空地下室建设项目自然资源主管部门应当纳入项目总体规划建设单位应当将人防建设经费列入建设项目总投资。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第九条 承担防空地下室设计任务的单位应当具有人防工程设计资质。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十条 防空地下室工程应当按照市人防主管部门批准的建设规模、防护要求和使用效能进行设计并符合国家规定的设计规范和设计标准。防空地下室工程的出入口以及采光、采暖、通风、防火、供电、照明、给排水、噪声处理等设计应当采取相应措施符合平时使用的要求并在设计中同步完成。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十一条 防空地下室的建设单位应当将防空地下室的初步设计报送市人防主管部门审查批准未经批准不得颁发建设工程规划许可证和建筑工程施工许可证。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十二条 建设单位需要变更防空地下室设计的一般性技术变更应当经原设计单位同意任何单位和个人不得批准减少应当建设防空地下室面积或者降低防空地下室的防护标准。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十三条 防空地下室的施工由具有相应资质的施工单位承担严格按照批准的设计图进行并符合国家规定的防护标准和质量标准。安装、使用的防空地下室专用设备和防水材料应当符合国家规定的标准。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十四条 防空地下室工程竣工后由市人防主管部门会同有关部门按照基本建设程序进行验收未经市人防主管部门验收或者验收不合格的防空地下室不得交付使用。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十五条 防空地下室竣工验收实行备案制度。自防空地下室竣工验收合格之日起十五日内建设单位应当向市人防主管部门报送防空地下室竣工验收报告和竣工验收备案资料。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十六条 新建民用建筑因地质、施工等客观条件不适于修建防空地下室的按照《宁夏回族自治区实施〈中华人民共和国人民防空法〉办法》第十二条的规定报批和缴纳防空地下室易地建设费。防空地下室易地建设费应当全额纳入人防经费预算管理统筹安排并专项用于易地建设人防工程。
银川市防空地下室建设和管理办法,,,第二章 防空地下室的建设,,第十七条 依法应当缴纳防空地下室易地建设费的由市人防主管部门对建筑面积和缴费金额进行审核。建设单位应当在办理建设工程规划许可证之前全额缴纳防空地下室易地建设费。
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第十八条 防空地下室的管理单位应当确定专职或者兼职管理人员建立健全防空地下室维护管理的各项制度发现安全隐患及时处理并向市人防主管部门报告。市人防主管部门应当定期对防空地下室及其附属设施进行检查。对可能造成防空地下室重大安全隐患的行为市人防主管部门应当予以制止。
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第十九条 防空地下室的维护管理应当达到下列标准要求正常
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第二十条 严禁下列侵害防空地下室的行为性和放射性等危险物品地下室安全的行为
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第二十一条 因城市建设或者特殊需要有下列行为的经市人防主管部门批准并采取相应的防范措施后方可进行
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第二十二条 任何单位和个人不得破坏或者擅自拆除防空地下室及其附属设施确需拆除的应当经市人防主管部门批准并由拆除者补建、维修或者补偿。
银川市防空地下室建设和管理办法,,,第三章 防空地下室的管理,,第二十三条 单位和个人在防空地下室进行经营活动的应当报经市人防主管部门审查批准。
银川市防空地下室建设和管理办法,,,第四章 法律责任,,第二十四条 违反本办法规定的依照《中华人民共和国人民防空法》和《宁夏回族自治区实施〈中华人民共和国人民防空法〉办法》的规定予以处罚。
银川市防空地下室建设和管理办法,,,第四章 法律责任,,第二十五条 当事人对作出的行政处罚决定不服的可以依法申请行政复议或者提起行政诉讼逾期不申请行政复议也不提起行政诉讼、又不履行行政处罚决定的由作出行政处罚决定的机关申请人民法院强制执行。
银川市防空地下室建设和管理办法,,,第四章 法律责任,,第二十六条 市人防主管部门工作人员玩忽职守、滥用职权、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
银川市防空地下室建设和管理办法,,,第五章 附 则,,第二十七条 本办法自 2002 年 1 月 1 日起施行。
