文件名,编,分编,章,节,内容
长春市城市房地产交易管理条例,,,第一章 总 则,,第一条 为加强城市房地产交易管理规范房地产交易行为保障房地产交易当事人的合法权益促进房地产业健康发展根据《中华人民共和国城市房地产管理法》等法律、法规的有关规定结合本市实际制定本条例。
长春市城市房地产交易管理条例,,,第一章 总 则,,第二条 在本市行政区域内的城市规划区国有土地范围内从事房地产交易应当遵守本条例。本条例所称房地产交易是指房地产转让、房屋租赁、房地产抵押等房地产经营行为不包括土地出让。
长春市城市房地产交易管理条例,,,第一章 总 则,,第三条 市、县市人民政府房地产行政主管部门以下简称房地产行政主管部门是本行政区域内城市房地产交易的行政主管部门。规划、国土资源管理、工商行政、税务、财政、国有资产管理、建设、公安、民政、安全生产管理、环保、卫生、教育及发展和改革委员会局等部门应当按照职责分工共同做好与房地产交易相关的管理工作。
长春市城市房地产交易管理条例,,,第二章 一般规定,,第四条 从事房地产交易应当在房地产所在地依法设立的房地产交易场所办理相关手续。申请办理房地产交易手续应当符合下列规定份证明上的姓名定名称申请。
长春市城市房地产交易管理条例,,,第二章 一般规定,,第五条 申请办理房地产交易手续申请人可以委托他人代理。法人或者非法人组织委托代理的应当提交有法定代表人或者负责人签字并加盖公章的委托书、受托人的法定身份证明和复印件。自然人委托代理的应当提交经公证的委托书、受托人的法定身份证明和复印件。委托人是境外的委托书应当公证并认证。
长春市城市房地产交易管理条例,,,第二章 一般规定,,第六条 申请人办理房地产交易相关手续应当如实向房地产行政主管部门提交有关材料和反映真实情况并对材料实质内容的真实性负责。
长春市城市房地产交易管理条例,,,第二章 一般规定,,第七条 申请办理房地产交易相关手续因申请材料不全或者不符合法定形式的房地产行政主管部门应当当场或者在 5 日内一次告知当事人需补正的全部内容逾期不告知的自收到申请材料之日起即为受理。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第八条 本条例所称房地产转让是指房地产权利人依法将其房地产转移给他人的行为。主要包括的房地产权属发生转移的以房地产偿还债务的
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第九条 实行房地产成交价格申报制度。房地产转让权利人应当向房地产行政主管部门和税务机关如实申报成交价格不得瞒报或者作不实的申报。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十条 下列房地产不得转让他形式限制房地产权利的二以上的按份共有人或者全体共同共有人同意的
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十一条 房地产转让当事人到房地产行政主管部门申请办理房地产转让手续应当提交下列资料房地产行政主管部门应当自受理之日起 30 日内予以办结。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十二条 商品房预售实行许可制度。商品房预售是指房地产开发企业以下简称开发企业将其开发的商品房在竣工验收前出售由买受人按照合同约定支付定金或者购房款预售人按照合同约定交付商品房的行为。开发企业进行商品房预售应当向房地产行政主管部门申请预售许可取得商品房预售许可证。未取得商品房预售许可证的不得进行商品房预售或者以任何名目收取具有预售款性质的费用不得发布商品房预售广告。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十三条 开发企业申请办理商品房预售许可证应当向房地产行政主管部门提交下列资料置、面积、竣工交付日期等内容。房地产行政主管部门应当自受理之日起 10 日内核发商品房预售许可证不予核发的应当书面说明理由。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十四条 商品房预售工程形象进度应当具备下列条件构工程应当完成基础和首层结构工程无地下室工程的应当完成基础和 4 层结构工程。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十五条 广告主和广告发布者在发布商品房预售广告时应当注明开发企业的名称、商品房坐落地点、商品房预售许可证批准预售的项目名称、预售范围及批准文号。委托代理销售商品房的还应当明示代理销售机构。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十六条 商品房预售开发企业应当与买受人签订商品房买卖合同。开发企业应当自签约之日起 30 日内持商品房预售许可证、商品房买卖合同及商品房面积明细资料到房地产行政主管部门和国土资源管理部门申请办理商品房买卖合同登记备案手续。房地产行政主管部门应当实行商品房买卖合同网上登记备案。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十七条 按套内建筑面积或者建筑面积计价的当事人应当在合同中载明合同约定面积与产权登记面积发生误差的处理方式。合同未作约定的按以下原则处理算房价款受人退房的开发企业应当在买受人提出退房之日起 30 日内将买受人已付房价款退还给买受人同时支付已付房价款利息。买受人不退房的产权登记面积大于合同约定面积时面积误差比在3以内含 3部分的房价款由买受人补足超出 3部分的房价款由开发企业承担产权归买受人。产权登记面积小于合同约定面积时面积误差比绝对值在 3以内含 3部分的房价款由开发企业返还买受人绝对值超出 3部分的房价款由开发企业双倍返还买受人。面积误差比为产权登记面积与合同约定面积之差同合同约定面积之比乘以 100。
长春市城市房地产交易管理条例,,,第三章 房地产转让,,第十八条 以划拨方式取得土地使用权的转让房地产报批时有批准权的人民政府按照国务院规定决定可以不办理土地使用权出让手续的转让方应当按照国务院规定将转让房地产所获收益中的土地收益上缴国家或者作其他处理。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第十九条 本条例所称房屋租赁是指房屋出租人、转租人将房屋出租、转租给承租人使用并收取租金的行为。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十条 有下列情形之一的也应当纳入房屋租赁管理用取得固定收益或者分成收入而不承担经营风险的使用人支付约定租金的其他房屋提供给他人作为固定办公或者经营场所并经工商登记为注册地址由使用人支付约定租金的
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十一条 下列房屋不得出租他形式限制房地产权利的规定的
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十二条 房屋租赁当事人应当依法签订书面房屋租赁合同约定租赁期限、租赁用途、租赁价格、修缮责任等条款以及双方的其他权利和义务并向房地产行政主管部门登记备案。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十三条 房屋租赁当事人应当自房屋租赁合同签订之日起 5 日内到房地产行政主管部门申请登记备案并提交下列资料出租共有房屋的还应当提交其他共有人同意出租的书面证明。转租房屋的还应当提交出租人同意转租的书面证明。房地产行政主管部门应当自受理之日起 5 日内予以办结。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十四条 房屋租赁合同经登记备案的由房地产行政主管部门出具房屋租赁合同登记备案证明。依法取得的房屋租赁合同登记备案证明是承租人使用房屋的合法凭证。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十五条 工商部门在办理工商营业执照、民政部门在办理社会团体登记、税务机关在办理纳税登记、教育部门在办理社会办学许可、公安部门在办理暂住户口登记及暂住证时对于生产、经营、居住场所为出租房屋的应当查验房屋租赁合同登记备案证明。对没有办理房屋租赁合同登记备案证明的应当通报给房地产行政主管部门并重新查验。
长春市城市房地产交易管理条例,,,第四章 房屋租赁,,第二十六条 房屋所有权人以营利为目的将以划拨方式取得使用权的国有土地上建成的房屋出租的应当将租金中所含土地收益上缴国家。
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第二十七条 本条例所称房地产抵押是指债务人或者第三人以其土地使用权、房屋所有权和房屋期权以不转移占有的方式向债权人设定担保的行为。房屋期权包括房屋建设工程期权和预购商品房期权。
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第二十八条 下列房地产可以抵押权
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第二十九条 下列房地产不得抵押法人的教育设施、医疗卫生设施和其他公益设施物
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第三十条 房地产抵押当事人到房地产行政主管部门申请办理房地产抵押手续应当提交下列资料共有房地产抵押的除共有人之间另有约定的以外还应当提交占份额三分之二以上的按份共有人或者全体共同共有人同意的资料。在建建筑物抵押的应当提交建设项目的批准文件、建设工程规划许可证、建筑工程施工许可证。房地产行政主管部门应当自受理之日起 30 日内予以办结。
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第三十一条 以部分房地产设定抵押的抵押当事人应当在抵押合同中明确抵押部位。
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第三十二条 以预售商品房或者在建建筑物抵押的房地产行政主管部门应当在抵押合同上记载。抵押的房地产在抵押期间竣工的当事人应当在抵押人领取不动产权属证书后重新办理房地产抵押登记。
长春市城市房地产交易管理条例,,,第五章 房地产抵押,,第三十三条 抵押合同变更或者终止时当事人应当在变更或者终止之日起 15 日内到房地产行政主管部门申请办理变更或者注销抵押登记。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十四条 本条例所称房地产中介服务是指房地产咨询、房地产估价、房地产经纪等活动的总称。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十五条 从事房地产中介服务业务应当设立相应的房地产中介服务机构。房地产中介服务机构包括房地产咨询机构、房地产估价机构、房地产经纪机构等。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十六条 房地产估价机构自取得营业执照之日起 30 日内应当申请办理房地产估价机构资质证书。办理房地产估价机构资质证书应当向市房地产行政主管部门提交下列资料单纳凭证。市房地产行政主管部门应当自受理之日起 10 日内按照规定程序报批。未取得房地产估价机构资质证书不得从事房地产估价业务。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十七条 房地产估价机构资质升级时应当在年审前 6个月向市房地产行政主管部门申请办理资质升级初审。房地产估价机构资质升级初审除应当提交本条例第三十八条第二款规定的资料外还应当提交下列资料市房地产行政主管部门应当自受理之日起 10 日内按照规定程序报批。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十八条 设立房地产咨询、经纪机构及其分支机构当事人应当自取得营业执照之日起 30 日内到房地产行政主管部门备案并提交下列资料房地产经纪人执业资格的证明文件。市房地产行政主管部门应当自受理之日起 20 日内核发备案证明。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第三十九条 房地产估价人员和经纪人员实行资格认证制度。从事房地产估价和经纪的中介服务人员应当按照国家有关规定参加房地产中介服务执业资格考试取得房地产中介服务执业资格证书。取得房地产估价和经纪中介服务执业资格证书的人员应当按照国家有关规定申请办理注册手续领取注册证。从事房地产估价或者经纪中介服务人员执业资格注册有效期届满的其聘用单位或者持证者应当按照国家有关规定到原注册管理机构办理续期注册手续。在注册有效期内变更执业机构的应当办理变更手续。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第四十条 从事房地产估价和经纪的中介服务人员只能受聘于一个房地产中介服务机构。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第四十一条 房地产中介服务机构及从业人员在经营活动中应当履行下列义务督和检查。
长春市城市房地产交易管理条例,,,第六章 房地产中介服务管理,,第四十二条 对估价结果中需要保密的内容估价机构及工作人员均不得随意向他人提供。房地产估价人员与申办估价项目的当事人有直接利害关系的应当回避。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十三条 违反本条例第六条规定房地产交易当事人隐瞒真实情况提供虚假材料或者以欺诈手段申请办理房地产交易手续的当事人承担由此产生的法律责任。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十四条 违反本条例第十二条规定开发企业未取得商品房预售许可证而进行违法预售商品房活动向消费者收取任何名目的具有预售款性质费用的由房地产行政主管部门责令其停止预售活动补办手续没收违法所得并可以处以已收取的预售款 1以下的罚款开发企业未取得商品房预售许可证发布预售商品房广告的由房地产行政主管部门责令其限期改正。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十五条 违反本条例第二十一条规定出租权属来源未明确的房屋由房地产行政主管部门责令改正补交有关税费并处以年租金额 1以 3以下的罚款出租违法建筑的由房地产行政主管部门责令改正没收违法所得并处以500元以上2000元以下的罚款出租危险房屋的由房地产行政主管部门责令改正没收违法所得并处以 10000 元以上 30000 元以下的罚款造成人身损害、财产损失的依法承担法律责任。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十六条 违反本条例第二十二条规定租赁当事人未依法办理合同登记备案的由房地产行政主管部门责令限期办理。逾期仍未办理的可对住宅出租人处以 100 元以上 1000 元以下的罚款对非住宅出租人处以年租金额 1以上 3以下的罚款。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十七条 违反本条例第三十六条规定未取得房地产估价机构资质证书从事房地产中介服务业务的由房地产行政主管部门责令改正并处以 10000 元以上 30000 元以下的罚款。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十八条 违反本条例第三十九条规定未取得房地产中介服务执业资格证书从事中介服务业务的人员由房地产行政主管部门责令改正并处以 50 元以上 500 元以下的罚款。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第四十九条 违反本条例第四十一条第三项规定房地产中介服务机构超越业务范围从事房地产中介服务活动的由房地产行政主管部门责令改正并处以 10000 元以上 30000 元以下的罚款。
长春市城市房地产交易管理条例,,,第七章 法律责任,,第五十条 对妨碍房地产管理工作人员依法执行公务扰乱房地产交易秩序的由公安机关依法予以处罚构成犯罪的依法追究刑事责任。
