文件名,编,分编,章,节,内容
长春市城市房地产开发经营管理条例,,,第一章 总 则,,第一条 为了加强对城市房地产开发经营活动的监督管理规范房地产开发经营行为维护房地产权利人的合法权益保障和促进房地产业的健康发展根据法律、法规的有关规定结合本市实际制定本条例。
长春市城市房地产开发经营管理条例,,,第一章 总 则,,第二条 在本市市区内国有土地上进行房地产开发经营及其监督管理适用本条例。本条例所称房地产开发经营是指房地产开发企业以下简称开发企业在市区内国有土地上进行基础设施建设、房屋建设并转让房地产开发项目或者销售商品房的行为。
长春市城市房地产开发经营管理条例,,,第一章 总 则,,第三条 市住房保障和房屋管理主管部门负责本市房地产开发经营活动的监督管理工作。市发展和改革、规划和自然资源、建设、生态环境、市场监督管理、林业和园林、公安、人防等有关部门应当按照各自职责依法做好房地产开发经营活动的相关管理工作。
长春市城市房地产开发经营管理条例,,,第一章 总 则,,第四条 房地产开发经营应当按照经济效益、社会效益、环境效益相统一的原则实行全面规划、合理布局、综合开发、配套建设注重节约和合理利用土地保护和改善生态环境突出技术创新开发建设节能环保型建筑。
长春市城市房地产开发经营管理条例,,,第一章 总 则,,第五条 市住房保障和房屋管理主管部门应当建立健全房地产开发经营监督管理机制实行房地产开发企业信用评价制度加强房地产市场信息系统建设和开发企业信用档案管理定期公布房地产市场相关信息和开发企业诚信经营情况。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第六条 房地产开发经营应当由依法设立并具有房地产开发企业资质以下简称开发企业资质的企业进行其他任何单位或者个人均不得进行房地产开发经营活动。开发企业资质分为一、二两个资质等级。开发企业应当按照核定的资质等级承担相应的房地产开发项目。开发企业资质等级实行分级审批制度。市住房保障和房屋管理主管部门负责本市二级资质初审工作。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第七条 设立二级资质的开发企业除应当符合有关法律、行政法规规定的企业设立条件外还应当具备下列条件专业管理人员不少于五人其中专职会计人员不少于两人责人具有相应专业初级及以上职称配有统计人员外商投资设立开发企业的除应当符合本条第一款的规定外还应当符合外商投资法律、行政法规的规定。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第八条 开发企业应当自领取营业执照之日起三十日内向市住房保障和房屋管理主管部门申请二级资质初审并提交下列材料理人员等质量保证体系情况说明。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第九条 市住房保障和房屋管理主管部门应当自受理开发企业二级资质申请之日起十五个工作日内提出初审意见报省住房和城乡建设主管部门。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第十条 房地产开发企业申请二级资质续期的应当在资质证书有效期届满三十日前提出申请并提交下列材料理人员等质量保证体系情况说明。市住房保障和房屋管理主管部门应当自受理申请之日起十五个工作日内提出初审意见报省住房和城乡建设主管部门。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第十一条 开发企业申请注销二级资质的市住房保障和房屋管理主管部门应当自受理申请之日起十五个工作日内提出初审意见报省住房和城乡建设主管部门。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第十二条 二级资质开发企业变更企业名称、法定代表人、注册资本、企业类型、企业地址、营业执照注册号或者分立、合并的应当在向市场监督管理部门办理变更手续后三十日内向市住房保障和房屋管理主管部门提出申请。市住房保障和房屋管理主管部门应当提出初审意见报省住房和城乡建设主管部门办理相关手续。
长春市城市房地产开发经营管理条例,,,第二章 房地产开发企业,,第十三条 外地开发企业进入本市进行房地产开发经营活动的应当向市住房保障和房屋管理主管部门备案。在本市依法设立并取得开发企业资质的开发企业可以在本市各城区直接进行房地产开发经营活动。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十四条 市住房保障和房屋管理主管部门应当根据本市国土空间总体规划和房地产市场供求情况会同有关部门编制房地产开发规划报市人民政府批准。市住房保障和房屋管理主管部门应当会同有关部门根据房地产开发规划和年度建设用地计划制定房地产开发年度计划报市人民政府批准后实施。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十五条 编制房地产开发规划和制定房地产开发年度计划应当优先安排保障性住房、城市基础设施建设中征收补偿安置用房的开发项目。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十六条 房地产开发用地使用权出让或者划拨前市住房保障和房屋管理主管部门应当对房地产开发项目的性质、规模以及开发期限提出书面意见市规划和自然资源部门应当对城市规划设计条件、基础设施和公共设施的建设要求及产权界定提出书面意见。市住房保障和房屋管理、市规划和自然资源主管部门出具的书面意见作为土地使用权出让或者划拨的依据之一。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十七条 市住房保障和房屋管理主管部门应当对参与土地使用权出让或者通过划拨方式拟取得土地使用权的开发企业的资质等级及诚信经营情况进行审查。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十八条 在房地产开发企业签订土地使用权出让合同或者取得划拨土地使用权批准文件后市住房保障和房屋管理主管部门向开发企业发放《房地产开发项目手册》。开发企业应当将房地产开发项目建设过程中的主要事项记录在《房地产开发项目手册》中并定期向市住房保障和房屋管理主管部门报送。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第十九条 房地产开发项目实行资本金制度。资本金占项目总投资的比例按照国家规定执行。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第二十条 依法取得房地产开发项目的开发企业应当向市住房保障和房屋管理主管部门提交下列资料申请办理《房地产开发项目资本金审验书》市住房保障和房屋管理主管部门应当自受理开发企业申请之日起十五个工作日内完成项目资本金审验工作向开发企业出具项目资本金缴存通知书开发企业将项目资本金存入银行后持银行证明到市住房保障和房屋管理主管部门领取《房地产开发项目资本金审验书》。《房地产开发项目资本金审验书》是市发展和改革部门审核项目计划批准文件的依据之一。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第二十一条 项目资本金实行专款专用不得挪作他用。具体监管办法由市人民政府按照国家有关规定另行制定。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第二十二条 房地产开发项目竣工后应当按照有关规定进行验收并办理有关手续。未经验收或者验收不合格的不得交付使用。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第二十三条 开发企业在为买受人办理入住手续时应当向买受人提供《住宅质量保证书》和《住宅使用说明书》。
长春市城市房地产开发经营管理条例,,,第三章 房地产开发建设,,第二十四条 新建住宅小区项目整体竣工后开发企业应当向市住房保障和房屋管理主管部门书面报告领取《住宅质量保证书》和《住宅使用说明书》。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第二十五条 以出让方式取得土地使用权的房地产开发项目转让时应当符合下列条件并取得土地使用权证书上门批准项目的有关文件资本金以划拨方式取得土地使用权的房地产开发项目转让按照国家有关规定执行。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第二十六条 以出让方式取得土地使用权的房地产开发项目转让的项目转让人和受让人应当向市住房保障和房屋管理主管部门提交下列资料申请办理《房地产项目转让书》证明本金证明市住房保障和房屋管理主管部门应当自受理之日起十个工作日内对提供的资料予以审核。符合条件的核发《房地产项目转让书》当事人持《房地产项目转让书》到发展和改革、规划和自然资源、建设等相关部门办理项目变更手续不符合条件的不予核发告知申请人并书面说明理由。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第二十七条 开发企业转让房地产开发项目时尚未完成拆迁补偿安置的原拆迁补偿安置合同中有关的权利、义务随之转移给受让人已完成拆迁补偿安置的对可能出现的遗留问题应当在房地产项目转让合同中明确责任方。项目转让人和受让人应当共同书面通知被拆迁人并在转让合同签订后到市住房保障和房屋管理主管部门备案。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第二十八条 商品房销售包括商品房预售和商品房现售。开发企业预售商品房应当依法取得商品房预售许可证销售现房的应当到市不动产登记主管部门办理房屋首次登记。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第二十九条 开发企业销售商品房应当使用符合国家规定的商品房买卖合同示范文本。开发企业应当在商品房买卖合同签订之日起三十日内按照规定到市住房保障和房屋管理主管部门备案。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第三十条 商品房预售实行预售资金监管制度。具体监管办法由市人民政府制定。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第三十一条 开发企业应当自取得商品房预售许可证之日起十日内将批准预售的房屋全部同时公开预售不得分期分批或者变相分期分批预售。
长春市城市房地产开发经营管理条例,,,第四章 房地产经营,,第三十二条 开发企业应当在商品房销售场所公示下列资料件
