文件名,编,分编,章,节,内容
长春市市容和环境卫生管理条例,,,第一章 总 则,,第一条 为了加强市容和环境卫生管理创造整洁、优美的城市环境促进城市文明建设根据有关法律、法规结合本市实际制定本条例。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第二条 本条例适用于长春市建成区、县市人民政府所在地以及其他实行城市化管理区域的市容和环境卫生管理。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第三条 市、县市区人民政府应当将市容和环境卫生事业纳入国民经济和社会发展规划统筹安排配套建设综合管理保证市容和环境卫生事业发展的需要使市容和环境卫生事业与经济社会发展相适应。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第四条 市、县市区人民政府应当保障市容和环境卫生工作的资金投入促进城市环境卫生事业健康发展。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第五条 市容和环境卫生工作实行属地管理坚持统一领导与分级负责的原则。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第六条 市市容和环境卫生主管部门负责本市行政区域内的市容和环境卫生管理工作。县市区市容和环境卫生主管部门负责本辖区内的市容和环境卫生管理工作。乡镇人民政府和街道办事处负责本辖区内的市容和环境卫生管理工作。市、县市区人民政府有关部门应当按照各自的职责做好市容和环境卫生管理工作。市、县市区城市管理行政执法机构依法对辖区内市容和环境卫生方面的违法行为进行监督检查和处罚。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第七条 市容和环境卫生、教育、卫生和文化广播电视新闻出版等部门应当加强市容和环境卫生宣传教育工作提高公民的市容和环境卫生意识。广播、电视、报刊等宣传媒体和公共场所的广告应当安排市容和环境卫生方面的公益性宣传内容。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第八条 市、县市区人民政府应当加强市容和环境卫生基础设施建设鼓励、支持开展市容和环境卫生领域的科技创新积极引进、推广、应用先进技术提高市容和环境卫生水平。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第九条 市容和环境卫生设施建设以政府投资为基础建立多元化的投资、融资机制鼓励单位和个人投资鼓励境外投资并依法保障投资者的合法权益。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第十条 任何单位和个人对损害、破坏市容和环境卫生的行为有劝阻和举报的权利并有维护市容和环境卫生的义务。市容和环境卫生主管部门建立有奖举报制度对举报违法行为经查证属实的给予奖励。
长春市市容和环境卫生管理条例,,,第一章 总 则,,第十一条 对在市容和环境卫生工作中成绩显著的单位和个人市、县市区人民政府应当给予表彰和奖励。
长春市市容和环境卫生管理条例,,,第二章 市容和环境卫生管理责任,,第十二条 市容和环境卫生管理实行责任制。市容和环境卫生责任人以下简称责任人应当做好市容和环境卫生责任区以下简称责任区的市容和环境卫生工作。
长春市市容和环境卫生管理条例,,,第二章 市容和环境卫生管理责任,,第十三条 责任人按照下列规定确定清扫保洁作业单位为责任人人未实行物业管理的其所在街道办事处或者社区居民委员会组织的专人为责任人等场所其经营管理者为责任人单位为责任人营或者管理单位为责任人工地其建设单位为责任人位为责任人养护单位为责任人其单位为责任人。本条第一款规定以外的建筑物、构筑物或者设施、场所其所有人和使用人之间约定管理责任的责任方为责任人没有约定管理责任的使用人为责任人。责任人不明确的由市、县市区人民政府依法确定。
长春市市容和环境卫生管理条例,,,第二章 市容和环境卫生管理责任,,第十四条 责任区应当达到下列要求贴、涂写、刻画、悬挂等行为迹并按照规定清除冰雪责任人对在责任区内发生的损害、破坏市容和环境卫生的行为应当予以劝阻、制止并及时报告城市管理行政执法机构查处。
长春市市容和环境卫生管理条例,,,第二章 市容和环境卫生管理责任,,第十五条 责任区的具体范围和责任要求由县市区市容和环境卫生主管部门书面告知责任人。责任人应当按照规定的要求履行维护市容和环境卫生义务。违反第二款规定的予以警告、责令限期改正逾期不改正的处以二百元以上一千元以下的罚款。
长春市市容和环境卫生管理条例,,,第二章 市容和环境卫生管理责任,,第十六条 市容和环境卫生主管部门应当建立市容和环境卫生责任考评制度并组织检查。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第十七条 建筑物、构筑物的容貌应当符合下列规定晾晒有碍市容观瞻的任何物品整洁无堆放物料无乱搭建道两侧的建筑物、构筑物外立面应当按照有关规定及时粉刷、清洗、修饰和修复。违反前款第一项、第二项规定的责令改正处以五十元以上二百元以下的罚款。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第十八条 在公共场所、单位庭院、临街建筑设置的雕塑等建筑景观应当与周围景观相协调。出现破旧、污损的责任人应当及时修复、粉刷。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第十九条 道路两侧临街的建筑物前应当按照有关规定进行绿化。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十条 在道路及其他公共场所、建筑物上设置的交通、通讯、邮政、燃气、给排水、热力、地名、电力、环境卫生等各类设施、标志应当按照有关规定和规范的要求设置保持完好和整洁美观。出现破旧、污损的责任人应当及时维修、更换、清洗。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十一条 任何单位和个人不得擅自占用道路、桥梁、地下通道及其他公共场所生产加工、摆设摊点、开办集市、维修清洗车辆、堆放物料搭建建筑物、构筑物。临街的经营者不得擅自超出门、窗进行店外经营或者摆放物品。以机动车为工具占用城市道路从事经营活动的由市容和环境卫生主管部门会同公安交通管理部门依法予以处理。违反第一款规定擅自占用道路、桥梁、地下通道及其他公共场所生产加工、摆设摊点、维修清洗车辆、堆放物料责令限期改正并处以五十元以上三百元以下的罚款对开办集市的处以一万元以上两万元以下的罚款对擅自搭建建筑物、构筑物的交由有关部门依法处理。违反第二款规定的责令限期改正并处以三百元以上一千元以下的罚款。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十二条 经批准临时占用道路的单位和个人应当按照国家、省有关规定交纳占道费。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十三条 区人民政府根据实际情况可以在本辖区内划定临时设摊经营的区域。临时设摊区域内的经营者应当遵守相关管理规定。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十四条 在道路两侧及其他公共场所设置候车亭、书报亭、工作亭应当经市容和环境卫生主管部门同意后按照有关规定办理手续。经批准临时占用道路、广场等公共场所举办大型活动的应当保持周围市容和环境卫生整洁。活动结束后及时恢复原貌。违反第一款规定的责令停止违法行为限期清理、拆除或者采取其他补救措施对个人处一千元以上三千元以下的罚款对单位处五千元以上二万元以下的罚款。违反第二款规定的责令改正并处以二百元以上一千元以下的罚款。
长春市市容和环境卫生管理条例,,,第三章 市容管理,,第二十五条 禁止在道路两侧及其他公共场所的护栏、电线杆、树木、绿篱等处晾晒衣物或者悬挂物品。违反前款规定的责令改正逾期不改正的处以五十元的罚款。
