文件名,编,分编,章,节,内容
长春市散装水泥管理条例,,,,,第一条 为加强散装水泥管理节约资源保护和改善环境提高经济和社会效益促进经济与社会高质量可持续发展根据有关法律法规的规定结合本市实际制定本条例。
长春市散装水泥管理条例,,,,,第二条 在本市行政区域内从事水泥和预拌混凝土、预拌砂浆的生产、经营、运输、使用以及与其相关的监督管理活动适用本条例。
长春市散装水泥管理条例,,,,,第三条 本条例所称散装水泥是指不用包装直接通过专用设备出厂、运输、储存和使用的水泥。本条例所称预拌混凝土、预拌砂浆是指由水泥、集料、水以及根据需要掺入的外加剂和掺合料等成分按一定比例经集中计量搅拌后通过专用装备运输、使用的混凝土、砂浆拌合物。
长春市散装水泥管理条例,,,,,第四条 市散装水泥主管部门负责本行政区域内散装水泥和预拌混凝土、预拌砂浆的监督管理工作。市散装水泥管理机构负责本行政区域内散装水泥和预拌混凝土、预拌砂浆的日常监督管理和推广使用工作。其他有关部门按照各自职责依法做好散装水泥和预拌混凝土、预拌砂浆的相关管理工作。县市、双阳区、九台区人民政府确定的散装水泥主管部门负责本行政区域内散装水泥和预拌混凝土、预拌砂浆的监督管理工作。
长春市散装水泥管理条例,,,,,第五条 市人民政府应当将散装水泥和预拌混凝土、预拌砂浆推广应用工作纳入国民经济和社会发展规划。市散装水泥主管部门应当会同有关部门依照本市国民经济和社会发展规划编制本市散装水泥和预拌混凝土、预拌砂浆发展规划报市人民政府批准后组织实施。
长春市散装水泥管理条例,,,,,第六条 市、县市、双阳区、九台区人民政府应当对散装水泥和预拌混凝土、预拌砂浆的新技术开发、示范和推广工作中做出显著成绩的单位和个人给予表彰和奖励。
长春市散装水泥管理条例,,,,,第七条 水泥生产企业含水泥粉磨站和使用单位应当配置散装水泥发放和使用的设施、设备。
长春市散装水泥管理条例,,,,,第八条 新建、扩建和改建的水泥生产项目应当按照散装比例不低于百分之八十发放能力的要求进行设计和同步建设按期投入使用并依法进行环境影响评价。现有水泥生产企业散装水泥发放能力未达到总生产能力百分之七十的应当在规定的期限内逐步达到。
长春市散装水泥管理条例,,,,,第九条 散装水泥和预拌混凝土、预拌砂浆生产、经营、运输、使用单位和个人应当执行国家和省有关计量规定。
长春市散装水泥管理条例,,,,,第十条 散装水泥和预拌混凝土、预拌砂浆生产、经营、运输、使用单位和个人必须采取措施确保生产、装卸、运输、储存、使用的设施和场所符合安全和环境保护的要求。
