文件名,编,分编,章,节,内容
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第一条 为了防治和减轻海洋工程建设项目以下简称海洋工程污染损害海洋环境维护海洋生态平衡保护海洋资源根据《中华人民共和国海洋环境保护法》制定本条例。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第二条 在中华人民共和国管辖海域内从事海洋工程污染损害海洋环境防治活动适用本条例。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第三条 本条例所称海洋工程是指以开发、利用、保护、恢复海洋资源为目的并且工程主体位于海岸线向海一侧的新建、改建、扩建工程。具体包括道工程用工程的其他海洋工程。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第四条 国家海洋主管部门负责全国海洋工程环境保护工作的监督管理并接受国务院环境保护主管部门的指导、协调和监督。沿海县级以上地方人民政府海洋主管部门负责本行政区域毗邻海域海洋工程环境保护工作的监督管理。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第五条 海洋工程的选址和建设应当符合海洋功能区划、海洋环境保护规划和国家有关环境保护标准不得影响海洋功能区的环境质量或者损害相邻海域的功能。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第六条 国家海洋主管部门根据国家重点海域污染物排海总量控制指标分配重点海域海洋工程污染物排海控制数量。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第一章 总则,,第七条 任何单位和个人对海洋工程污染损害海洋环境、破坏海洋生态等违法行为都有权向海洋主管部门进行举报。接到举报的海洋主管部门应当依法进行调查处理并为举报人保密。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第二章 环境影响评价,,第八条 国家实行海洋工程环境影响评价制度。海洋工程的环境影响评价应当以工程对海洋环境和海洋资源的影响为重点进行综合分析、预测和评估并提出相应的生态保护措施预防、控制或者减轻工程对海洋环境和海洋资源造成的影响和破坏。海洋工程环境影响报告书应当依据海洋工程环境影响评价技术标准及其他相关环境保护标准编制。编制环境影响报告书应当使用符合国家海洋主管部门要求的调查、监测资料。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第二章 环境影响评价,,第九条 海洋工程环境影响报告书应当包括下列内容和评估及预测海洋工程可能对海岸生态环境产生破坏的其环境影响报告书中应当增加工程对近岸自然保护区等陆地生态系统影响的分析和评价。
防治海洋工程建设项目污染损害海洋环境管理条例,,,第二章 环境影响评价,,第十条 新建、改建、扩建海洋工程的建设单位应当编制环境影响报告书报有核准权的海洋主管部门核准。海洋主管部门在核准海洋工程环境影响报告书前应当征求海事、渔业主管部门和军队环境保护部门的意见必要时可以举行听证会。其中围填海工程必须举行听证会。
