文件名,编,分编,章,节,内容
陕西省实施《中华人民共和国农业技术推广法》办法,,,第一章 总 则,,第一条 为加强农业技术推广工作加快农业科研成果和实用技术的普及应用促进农业发展根据《中华人民共和国农业法》和《中华人民共和国农业技术推广法》的规定结合本省实际制定本办法。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第一章 总 则,,第二条 县级以上各级人民政府农业、林业、畜牧、渔业、水利等行政部门以下统称农业技术推广行政部门在本级人民政府的领导下按照各自的职责负责本行政区域内的农业技术推广工作。同级人民政府科学技术行政部门对农业技术推广工作进行指导。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第一章 总 则,,第三条 本办法所称农业技术推广机构是指县级以上农业技术推广行政部门和乡镇人民政府设立的从事农业技术推广工作的国家事业机构。县级以上农业技术推广机构受同级农业技术推广行政部门的领导和上级农业技术推广机构的业务指导。乡镇农业技术推广机构受乡镇人民政府的领导和上级农业技术推广机构的业务指导。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第一章 总 则,,第四条 各级人民政府对在推广农业科技成果和实用技术普及农业科技知识培训农民技术人员以及在农业技术推广管理工作中做出突出贡献的单位和个人给予表彰奖励。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第五条 农业技术推广实行以各级农业技术推广机构为主农业技术推广机构与农业科研单位、有关学校、群众性科技组织、村农业技术推广服务组织、农民技术人员、科技示范户相结合的推广体系。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第六条 各级农业技术推广机构的岗位设置应当以专业技术岗位为主。乡镇农业技术推广机构的岗位应当全部为专业技术岗位县级农业技术推广机构的专业技术岗位不得低于机构岗位总量的百分之八十其他农业技术推广机构的专业技术岗位不得低于机构岗位总量的百分之七十。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第七条 县级以上农业技术推广机构的职责是技术鉴定农民技术人员的农业技术推广活动。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第八条 乡镇农业技术推广机构的主要职责是农业先进技术和科技示范户的科技推广工作训
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第九条 农业科研单位和农业院校应当从农业生产的实际需要出发把农业生产中需要解决的技术问题列为研究课题进行农业技术开发和宣传培训加快先进技术在农业生产中的普及应用。
陕西省实施《中华人民共和国农业技术推广法》办法,,,第二章 农业技术推广体系,,第十条 教育部门应当将农业职业技术教育和农业技术培训列入教育规划、计划根据当地农业产业发展的需要兴办农村职业中学培训农村基层干部和农业劳动者。
