文件名,编,分编,章,节,内容
陕西省工会劳动法律监督条例,,,,,第一条 为了保障和规范工会劳动法律监督维护职工合法权益构建和谐劳动关系根据《中华人民共和国工会法》、《中华人民共和国劳动法》、《中华人民共和国劳动合同法》等法律、行政法规结合本省实际制定本条例。
陕西省工会劳动法律监督条例,,,,,第二条 本省行政区域内的工会劳动法律监督适用本条例。本条例所称工会劳动法律监督是指工会依法对用人单位遵守劳动法律法规保障职工合法权益情况进行的有组织的群众监督。
陕西省工会劳动法律监督条例,,,,,第三条 工会劳动法律监督应当遵循依法规范、客观公正、依靠职工、协调配合的原则。
陕西省工会劳动法律监督条例,,,,,第四条 县级以上人民政府应当把构建和谐劳动关系纳入国民经济和社会发展规划支持工会依法实施工会劳动法律监督。县级以上人民政府应当落实并完善与同级总工会联席会议制度在制定涉及职工劳动权益的重大政策处理涉及职工劳动权益的重大问题时应当听取同级总工会的意见。
陕西省工会劳动法律监督条例,,,,,第五条 县级以上总工会负责本行政区域内的工会劳动法律监督工作。产业工会负责本产业的工会劳动法律监督工作。乡镇街道工会、开发区工业园区工会、用人单位工会和区域性、行业性工会联合会等基层工会负责本区域、本单位、本行业的工会劳动法律监督工作。
陕西省工会劳动法律监督条例,,,,,第六条 县级以上人民政府人力资源社会保障、发展改革、公安、司法行政、住房城乡建设、卫生健康、应急管理、交通运输、市场监督管理等部门以及共青团、妇联、残联等组织按照各自职责支持工会依法开展工会劳动法律监督。县级以上人力资源社会保障等有关部门对劳动法律法规执行情况进行专项检查时可以邀请同级总工会参加在处理重大疑难劳动违法案件时应当听取同级总工会意见。
陕西省工会劳动法律监督条例,,,,,第七条 县级以上人力资源社会保障部门、总工会与企业联合会、工商业联合会等企业代表组织应当建立健全协调劳动关系三方机制共同研究解决有关劳动关系的重大问题。县级以上总工会应当与同级人民法院、人民检察院建立健全劳动法律监督协作机制共同维护劳动者合法权益。
陕西省工会劳动法律监督条例,,,,,第八条 用人单位应当遵守劳动法律法规自觉接受并配合工会依法实施劳动法律监督完善劳动纠纷协商调解制度加强对劳动纠纷的事前预防和协商解决。
陕西省工会劳动法律监督条例,,,,,第九条 工会应当加强普法宣传教育职工遵守劳动法律法规以及用人单位依法制定的规章制度引导职工依法表达诉求并为职工申请劳动仲裁和提起诉讼给予支持和帮助。
陕西省工会劳动法律监督条例,,,,,第十条 工会劳动法律监督委员会在同级工会的领导下开展劳动法律监督具体工作并接受上级工会劳动法律监督委员会的业务指导。会员不足二十五人的基层工会可以在职工中推选工会劳动法律监督员承担本单位工会劳动法律监督具体工作。
陕西省工会劳动法律监督条例,,,,,第十一条 工会劳动法律监督委员会由三名以上工会劳动法律监督员组成设主任一名主任由工会主席或者副主席担任。工会劳动法律监督员人数根据实际情况确定女职工人数较多的应当有适当比例的女性。县级以上总工会劳动法律监督委员会成员由相关业务部门的人员组成产业工会劳动法律监督委员会成员从工会工作者和职工中推选产生。县级以上总工会和产业工会可以聘请人大代表、政协委员、专家学者、律师、劳动模范等担任本级工会劳动法律监督委员会特邀监督员参与工会劳动法律监督工作。基层工会劳动法律监督委员会成员从工会工作者和职工中推选产生。工会劳动法律监督委员会任期与同级工会委员会任期相同。
陕西省工会劳动法律监督条例,,,,,第十二条 工会劳动法律监督员应当具有较高的政治觉悟熟悉劳动法律法规热心维护职工合法权益具有履行职责所需的业务能力。工会劳动法律监督员应当奉公守法、勤勉尽责、清正廉洁不得徇私舞弊、牟取不正当利益不得泄露在履职过程中知悉的个人信息和商业秘密。县级以上总工会、省级产业工会应当定期对工会劳动法律监督员进行培训提高其履职能力。工会劳动法律监督员管理办法由省总工会制定。
陕西省工会劳动法律监督条例,,,,,第十三条 工会开展劳动法律监督工作依法履行下列职责报正
陕西省工会劳动法律监督条例,,,,,第十四条 工会劳动法律监督包括下列内容情况况依法参与安全生产、职业病危害等事故的调查处理情况行情况定、修改和执行情况或者重大事项的决定和执行情况
陕西省工会劳动法律监督条例,,,,,第十五条 县级以上总工会产业工会区域性、行业性工会联合会新业态平台企业工会以及关联企业工会等应当加强对新业态平台企业以及关联企业遵守劳动法律法规情况的监督督促企业在制定规章制度等重大事项中遵守劳动法律法规。
陕西省工会劳动法律监督条例,,,,,第十六条 上级工会应当加强对下级工会劳动法律监督工作的指导和检查。下级工会应当及时办理上级工会交办的劳动法律监督事项并报告办理结果。涉及工会劳动法律监督的重大事项或者开展工会劳动法律监督工作有困难的下级工会应当及时向上级工会报告上级工会应当给予指导帮助。
陕西省工会劳动法律监督条例,,,,,第十七条 工会应当建立健全劳动法律监督投诉举报制度公布受理方式接受对用人单位违反劳动法律法规、侵害劳动者合法权益的情况反映并对投诉举报人个人信息予以保密。工会劳动法律监督委员会、工会劳动法律监督员可以通过实地检查、网络巡查、风险评估等方式对用人单位实施经常性监督对发现的劳动关系风险隐患按照有关规定作出处理。
陕西省工会劳动法律监督条例,,,,,第十八条 工会劳动法律监督委员会、工会劳动法律监督员发现用人单位违反劳动法律法规侵害职工合法权益的线索应当登记属于工会劳动法律监督范围的自登记之日起三十日内完成调查。工会劳动法律监督委员会、工会劳动法律监督员发现用人单位违反劳动法律法规侵害职工合法权益应当组织用人单位和职工进行协商经协商解决不成的由其所属工会向用人单位发出《工会劳动法律监督提示函》根据需要也可以由该工会提请上一级工会发出《工会劳动法律监督提示函》用人单位在收到《工会劳动法律监督提示函》之日起十日内应当作出书面说明。经《工会劳动法律监督提示函》提示或者协商无效的由其所属工会向用人单位发出《工会劳动法律监督意见书》根据需要也可以由该工会提请上一级工会向用人单位发出《工会劳动法律监督意见书》。用人单位收到或者应当收到《工会劳动法律监督意见书》之日起三十日内应当作出书面答复。未在规定期限内答复或者无正当理由拒不改正的由县级以上总工会向同级人力资源社会保障部门等相关部门发出《工会劳动法律监督建议书》并移交相关资料。县级以上总工会就本行政区域劳动领域存在的普遍性问题或者可能存在的风险可以发布《工会劳动法律监督提示函》。
陕西省工会劳动法律监督条例,,,,,第十九条 县级以上人力资源社会保障等相关部门收到《工会劳动法律监督建议书》经审查符合立案条件的按照有关规定予以处理。县级以上人力资源社会保障等相关部门应当在结案后十个工作日内将调查情况和处理结果书面告知同级工会。
陕西省工会劳动法律监督条例,,,,,第二十条 工会劳动法律监督委员会、工会劳动法律监督员对用人单位违反劳动法律法规侵犯职工合法权益的行为进行调查时应当充分听取用人单位和职工的意见查阅、复制有关资料核查事实如实记录用人单位和职工应当予以配合。
陕西省工会劳动法律监督条例,,,,,第二十一条 工会劳动法律监督工作所需经费应当纳入本级工会经费预算。县级以上总工会可以结合实际按照有关规定建立非公有制企业工会劳动法律监督员配套补助制度。
