文件名,编,分编,章,节,内容
雅安市文明行为促进条例,,,第一章 总 则,,第一条 为了培育和践行社会主义核心价值观传承中华传统美德促进文明行为提高文明素养推动绿色发展示范市建设根据有关法律、法规结合雅安市实际制定本条例。
雅安市文明行为促进条例,,,第一章 总 则,,第二条 本市行政区域内的文明行为促进及其相关工作适用本条例。本条例所称文明行为是指遵守宪法和法律、法规规定体现社会主义核心价值观符合社会主义道德和公序良俗要求推动社会进步的行为。
雅安市文明行为促进条例,,,第一章 总 则,,第三条 文明行为促进工作应当坚持党委领导、政府负责、社会协同、公众参与的原则建立健全法治与德治、倡导与约束、自律与他律相结合的长效工作机制。
雅安市文明行为促进条例,,,第一章 总 则,,第四条 文明行为促进工作应当传承中华民族优秀传统文化、革命文化和社会主义先进文化弘扬长征精神和抗震救灾精神发扬大熊猫文化和茶文化等本土特色优秀文化树立雅安文明形象。
雅安市文明行为促进条例,,,第一章 总 则,,第五条 市、县区精神文明建设指导机构统筹推进本行政区域内文明行为促进工作为促进工作文明行为促进工作相关政策协调、解决有关问题不文明行为推动相关部门依法治理人物评选奖励等活动。
雅安市文明行为促进条例,,,第一章 总 则,,第六条 每年三月为雅安市文明行为促进月集中开展文明行为宣传、实践活动。
雅安市文明行为促进条例,,,第二章 政府负责,,第七条 市、县区人民政府应当将文明行为促进工作纳入国民经济和社会发展规划建立文明行为促进工作目标责任制和考评制度保障文明行为促进工作经费推动文明行为促进工作与经济社会协调发展。市、县区人民政府有关部门以及依法设立的管理机构应当按照各自职责做好文明行为促进工作。乡镇人民政府、街道办事处应当负责做好辖区内文明行为促进工作。
雅安市文明行为促进条例,,,第二章 政府负责,,第八条 市、县区人民政府应当加强对红军长征遗址、纪念馆、博物馆等爱国主义教育基地以及革命纪念设施的保护、建设、管理和使用组织开展爱国主义、民族团结和革命传统等教育活动。
雅安市文明行为促进条例,,,第二章 政府负责,,第九条 市、县区人民政府及其有关主管部门、单位应当科学规划、合理布局、建设完善或者开放下列设施设备施遮阳避雨场所等公益设施等环卫设施性文化服务中心、农家职工书屋、公共阅报栏屏等公共文化设施有关部门和管理单位应当加强对前款设施设备的日常维护和管理保证设施设备完好、使用正常、整洁有序。
雅安市文明行为促进条例,,,第二章 政府负责,,第十条 各级人民政府应当加强国家机关工作人员家风建设和青少年品德教育推动形成爱国爱家、相亲相爱、向上向善和共建共享的社会主义家庭文明新风尚。
雅安市文明行为促进条例,,,第二章 政府负责,,第十一条 各级人民政府应当推进农村人居环境整治保护古树名木和乡村自然风貌全域打造美丽宜居乡村。加强农村群众性自治组织建设发挥村民议事会理事会、红白理事会、乡贤会等群众组织和村规民约作用开展乡风评议推进移风易俗破除陈规陋习。完善农村基本公共文化服务体系加大对农村公共文化设施建设的投入和农村非物质文化遗产保护力度推进乡风文明宣传教育。
雅安市文明行为促进条例,,,第二章 政府负责,,第十二条 各级人民政府应当加强生态环境保护抓好大气、水、土壤污染防治推进城乡生活垃圾分类推广使用清洁能源和可再生能源实施好天然林保护、退耕还林、野生动植物保护等生态工程发展生态经济筑牢长江上游生态屏障。
雅安市文明行为促进条例,,,第二章 政府负责,,第十三条 各级人民政府应当组织报刊、广播、电视、网络等新闻媒体以专栏、专题和公益广告等形式开展宣传教育工作褒扬文明行为先进事例批评不文明现象。
雅安市文明行为促进条例,,,第二章 政府负责,,第十四条 教育主管部门应当将家庭美德、文明行为和文明礼仪教育等纳入相关教育、教学以及培训内容。公安机关应当加强法治宣传依法打击违法犯罪、开展治安防范、实施道路交通安全管理和处置矛盾纠纷。交通运输主管部门应当加强对公共汽车、巡游出租汽车和网约预约出租车等客运经营单位和个人的监督管理通过宣传教育和组织培训等方式提升从业人员职业道德和文明素养提高文明服务水平。农业农村和林业等有关主管部门应当加强对大熊猫、珙桐等野生动植物保护、森林防火灭火法律法规以及有关知识的宣传教育和引导维护生物多样性和预防森林火灾。文化和旅游主管部门应当加强文化和旅游市场管理丰富群众文化生活规范旅游经营者和从业人员的经营服务行为推进文明旅游服务。城市管理主管部门应当加强市容环境秩序管理规范互联网租赁自行车车辆摆放及时制止和查处破坏市容和环境卫生、损坏绿化等不文明行为。生态环境、卫生健康和市场监管等主管部门应当建立日常检查制度及时发现、制止和查处相关领域不文明行为。
雅安市文明行为促进条例,,,第二章 政府负责,,第十五条 有关主管部门应当公布举报、投诉的方式和途径及时依法调查处理不文明行为对举报人、投诉人的信息应当保密。
雅安市文明行为促进条例,,,第三章 社会协同,,第十六条 工会、共青团和妇联等群团组织根据各自章程规定组织开展文明行为促进活动。鼓励国家机关、企业事业单位、社会组织将文明行为规范纳入职业规范要求将文明行为培训纳入入职培训、任职培训和岗位培训内容。鼓励村居民委员会加强文明行为的宣传、教育和引导将文明行为规范纳入村规民约居民公约组织开展多种形式的社会主义精神文明建设活动。鼓励住宅小区业主大会、新村聚居点居民会议或者居民代表会议将文明行为规范纳入管理规约、居民管理公约等引导做好文明行为促进工作。
雅安市文明行为促进条例,,,第三章 社会协同,,第十七条 国家机关、企业事业单位应当在管理区域内的公共聚集场所或者集中工作区通过显示屏、宣传栏等宣传引导文明行为。鼓励公共场所管理单位通过楼宇电视、显示屏、宣传栏等宣传引导文明行为。鼓励在公共交通工具上采取播放音视频、张贴宣传资料等方式宣传引导文明行为。鼓励单位和个人创新文明行为宣传方式积极参与文明行为公益宣传。
雅安市文明行为促进条例,,,第三章 社会协同,,第十八条 单位和个人有权劝阻、制止和投诉、举报不文明行为。国家机关、企业事业单位、社会团体、物业服务人和新村聚居点自主管理委员会以及其他组织应当对其工作场所、营业场所或者服务、管理区域范围内的不文明行为予以劝阻或者制止不听劝阻或者制止无效的应当及时报告有关主管部门。
雅安市文明行为促进条例,,,第三章 社会协同,,第十九条 县区、乡镇街道、村社区应当整合各类基层公共服务资源建立和完善文明实践活动场所和志愿服务站点组建和发展文明劝导员和文明实践志愿服务队伍。鼓励单位和个人为环卫工人、文明劝导员、垃圾分类督导员、文明实践志愿者以及其他户外工作人员提供便利服务。
雅安市文明行为促进条例,,,第三章 社会协同,,第二十条 鼓励单位和个人以提供资金、技术、人力资源、场所和媒介资源等方式支持文明行为促进活动。
雅安市文明行为促进条例,,,第四章 示范和引领,,第二十一条 国家机关、公共事业单位以及其他从事公共事务管理的组织应当开展具有行业特色的文明行为促进活动建立高效的投诉处理机制。
雅安市文明行为促进条例,,,第四章 示范和引领,,第二十二条 窗口服务行业和单位应当根据服务对象、服务范围合理设置服务网点和服务窗口优化办事流程提供便捷高效、文明礼貌的服务。优先、优惠服务老年人、残疾人、现役军人和国家综合性消防救援队伍等社会群体。
雅安市文明行为促进条例,,,第四章 示范和引领,,第二十三条 发挥国家工作人员、先进模范人物和社会公众人物等在文明行为促进工作中的表率作用。
雅安市文明行为促进条例,,,第四章 示范和引领,,第二十四条 国家工作人员应当着装规范、仪容整洁履职尽责、勤政廉洁文明执法。
雅安市文明行为促进条例,,,第五章 倡导与规范,,第二十五条 公民和组织应当忠于祖国自觉维护国家安全、尊严和荣誉维护国家统一和民族团结积极参与爱国主义教育实践活动尊重、爱护和正确使用国旗、国徽规范奏唱、播放和使用国歌。
雅安市文明行为促进条例,,,第五章 倡导与规范,,第二十六条 鼓励下列行为务活动和赈灾等公益活动织和遗体等活动件造成的损害
雅安市文明行为促进条例,,,第五章 倡导与规范,,第二十七条 倡导下列行为消费方式鼻科学佩戴口罩备音量主动为有需求的乘客让座
雅安市文明行为促进条例,,,第五章 倡导与规范,,第二十八条 遵守下列行为规范不擅自引进、释放或者丢弃外来物种不非法食用、买卖野生动物及其制品不违规垂钓和捕鱼不违规野外用火不露天焚烧废弃物设施维护公共场所干净整洁衣着得体、言行得当遵守公共服务秩序不得在禁止吸烟场所吸烟在非禁止吸烟场所吸烟时合理避开他人制噪音不得占用、堵塞、封闭疏散通道、安全出口、消防通道不向建筑物外抛物浪费和相互攀比保持房前屋后干净整洁不在公路上打场晒粮不违规焚烧秸秆和处置畜禽养殖废弃物注重师德师风不歧视、侮辱、体罚学生学生之间互爱互助杜绝校园欺凌年人和未成年人善待家庭成员杜绝家庭暴力约束家庭成员不良行为规范停靠低速通过积水路段不向车外抛物不追逐竞驶主动避让执行紧急任务的警车、救护车、消防车、工程抢险车等语、热情服务游客爱护文物古迹和景区花草树木尊重当地风俗习惯和文化传统的医德医风患者及其家属配合诊疗活动依法合理表达诉求抵制网络谣言和不良信息不造谣、不信谣、不传谣推行分餐制使用公筷公勺不酗酒喧哗
雅安市文明行为促进条例,,,第五章 倡导与规范,,第二十九条 重点整治下列不文明行为除犬只排泄物品绿化植物和雕塑道路停车泊位使用使用灯光、鸣喇叭过国家标准干扰周围居民生活
雅安市文明行为促进条例,,,第六章 法律责任,,第三十条 法律、法规对本条例规定的不文明行为已有处罚规定的从其规定。
雅安市文明行为促进条例,,,第六章 法律责任,,第三十一条 违反本条例规定应当受到罚款处罚的行为人可以向行政执法部门申请参加与文明行为促进工作相关的社会服务。行政执法部门可以根据违法行为和社会服务岗位设置的实际情况安排违法行为人参加一定时长的社会服务违法行为人参加并且完成相应的社会服务可以依法从轻、减轻或者不予罚款处罚。社会服务的具体办法由市人民政府制定。
