文件名,编,分编,章,节,内容
青岛市地下空间开发利用管理条例,,,第一章 总则,,第一条 为了加强地下空间管理促进地下空间资源合理开发和节约集约利用根据有关法律、法规结合本市实际制定本条例。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第二条 本市行政区域内地下空间的开发利用以及相关管理活动适用本条例。法律、法规对国防、人民防空、防灾减灾、文物保护、矿产资源、地下管线、轨道交通等涉及的地下空间开发利用另有规定的从其规定。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第三条 本条例所称地下空间是指地表以下的空间包括结建式地下空间和单建式地下空间。本条例所称结建式地下空间是指结合地表建筑开发建设的地下空间。本条例所称单建式地下空间是指独立开发建设的地下空间。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第四条 地下空间开发利用应当遵循统一规划、综合开发、合理利用、保护资源、保障安全、公共利益优先、地下与地上相协调的原则。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第五条 市、区市人民政府应当加强对地下空间开发利用管理工作的领导建立综合协调机制协调解决地下空间开发利用中的重大事项。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第六条 自然资源和规划主管部门负责地下空间的规划、用地和不动产登记管理工作。住房城乡建设主管部门负责地下空间工程建设的监督管理工作。人民防空主管部门负责地下空间涉及的人防工程规划、建设的监督管理工作。生态环境主管部门负责地下空间开发利用的环境污染防治的监督管理工作。应急管理部门负责地下空间安全生产工作的综合监督管理。交通运输、水务、工业和信息化、城市管理、文物、商品流通、行政审批等部门按照各自职责做好地下空间开发利用的相关管理工作。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第七条 市、区市人民政府应当组织相关部门开展地下空间普查对地下空间的自然状况、资源条件、地质环境、利用现状及开发利用制约因素等进行调查与评估。普查涉及的单位和个人应当予以配合。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第八条 市自然资源和规划主管部门应当会同住房城乡建设、人民防空等部门建立地下空间综合管理信息平台。有关部门和区市人民政府应当将涉及地下空间的普查成果、规划建设管理、档案管理等信息及时纳入管理信息平台实现地下空间信息共享和动态维护。地下空间信息管理应当符合保密工作有关规定。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第九条 市、区市人民政府应当将地下空间普查、地质调查、规划编制、综合管理信息平台建设运行维护等资金纳入本级财政预算。
青岛市地下空间开发利用管理条例,,,第一章 总则,,第十条 鼓励社会资本投资开发建设和运营管理地下空间。
青岛市地下空间开发利用管理条例,,,第二章 规划,,第十一条 市、县级市自然资源和规划主管部门应当会同住房城乡建设、人民防空、交通运输、生态环境等部门组织编制地下空间开发利用专项规划报本级人民政府批准。编制地下空间开发利用专项规划应当依据国民经济和社会发展规划符合国土空间总体规划。涉及地下空间的人民防空工程、市政设施、交通设施等专项规划应当与地下空间开发利用专项规划相衔接。
青岛市地下空间开发利用管理条例,,,第二章 规划,,第十二条 地下空间开发利用专项规划应当包括地下空间开发战略、规划目标、平面布局及空间管制、竖向分层划分、重点地区建设范围、地下地上空间一体化安排、开发步骤等内容并就资源保护、人民防空、环境保护、安全保障等方面作出要求。地下空间开发利用专项规划应当对近岸海域下的空间开发利用作出统筹安排合理确定海域下空间建设内容和建设规模预留建设条件。地下空间应当优先安排市政、交通、公共服务等设施满足人民防空、防灾减灾需要。
青岛市地下空间开发利用管理条例,,,第二章 规划,,第十三条 编制地下空间开发利用专项规划应当遵循竖向分层立体综合开发和横向相关空间连通的原则合理安排不同竖向分层的建设项目明确不同层次、不同项目之间的连通规则。深层地下空间应当作为远期开发资源加以保护并预留开发利用条件。
青岛市地下空间开发利用管理条例,,,第二章 规划,,第十四条 编制涉及地下空间安排的详细规划应当落实地下空间开发利用专项规划的强制性内容。涉及地下空间安排的详细规划应当包括地下空间开发范围、深度、强度、使用性质、出入口位置、连通方式、景观以及大型地下市政设施、交通设施的安全保护区范围等规划控制指标和要求。详细规划应当明确地下交通设施之间、地下交通设施与相邻地下公共活动场所之间互连互通的要求。
青岛市地下空间开发利用管理条例,,,第二章 规划,,第十五条 自然资源和规划主管部门应当依据详细规划提出地下空间开发利用的规划条件作为地下空间土地供应文件的组成部分。规划条件应当包括地下空间开发利用的位置、使用性质、建设规模、与相邻设施的连通要求等分层开发利用的还应当明确共用出入口、通风口和排水口等设施。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第十六条 地下空间建设应当依法办理规划许可和建设用地使用审批手续并取得地下建设用地使用权。禁止擅自进行地下空间建设。结建式地下空间建设应当随地上建设一并办理规划许可、建设用地使用审批手续。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第十七条 地下空间建设项目符合划拨用地条件的可以采用划拨方式取得地下建设用地使用权。除划拨外地下建设用地使用权应当依法通过出让等有偿使用方式取得。有下列情形之一的地下建设用地使用权出让可以采用协议方式地下空间立开发条件的地下建设项目
青岛市地下空间开发利用管理条例,,,第三章 建设,,第十八条 穿越市政道路、公共绿地、公共广场等公共用地或者连接已设定产权用地建设的地下公共连通通道属于非营利性的可以采取划拨方式供地公共连通通道配建的经营性建筑不超过通道总建筑面积百分之二十的可以按照公共连通通道用途采取协议方式出让。相邻人民防空工程之间、人民防空工程与其他地下工程之间按照规划要求修建的连通通道符合人民防空工程设计、施工等相关规范的通道面积可以计入人民防空工程建设面积。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第十九条 地下空间国有建设用地使用权出让年限按照批准的使用用途依法确定。使用集体经营性建设用地开发利用地下空间的按照国家有关规定办理。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十条 鼓励区域地下空间整体开发建设。相邻地块地下空间具备整体开发条件的可以由建设单位按照统一规划实施整体设计、统一建设。市、区市人民政府应当统筹推进地下空间重点开发区域的开发建设。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十一条 地下空间建设项目的工程设计、施工图设计应当满足人民防空、消防、抗震、防渗漏、防洪排涝、防止地质灾害、防治环境污染以及设施运行、维护等方面的要求使用功能与出入口设计应当与地上建设相衔接。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十二条 地下空间建设项目的规划条件对项目有连通要求的其设计方案应当明确与相邻建筑的连通方案。建设项目应当按照规划预留连通接口相邻建筑已经按照规划预留连通位置的建设项目的连通通道应当与之相衔接。建设单位未按照规划要求预留连通接口或者未对连通通道进行衔接的自然资源和规划主管部门不得核发建设工程规划许可证不得予以规划核实认可。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十三条 地下空间建设项目的规划条件未明确连通要求的建设单位可以与相邻设施产权单位就连通位置、连接通道标高、实施建设主体和建设用地使用权等内容达成协议将连通方案纳入地下空间建设项目的设计方案并依法按照程序报批。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十四条 地下空间的工程建设应当遵守基本建设程序符合工程质量标准、规范和施工安全要求。结建式地下空间建设项目应当遵守先地下后地上的建设时序。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十五条 地下空间建设项目施工前建设单位应当查明施工区域及周边现有建构筑物、市政设施、地下管线、交通设施、人民防空工程、文物、古树名木等情况制定应急预案采取必要的防护措施并在施工过程中进行监测。地下空间建设项目竣工验收后建设单位应当在三个月内将符合规定的建设工程档案移交城建档案管理机构。
青岛市地下空间开发利用管理条例,,,第三章 建设,,第二十六条 地下空间建设不得危及地表及地下相邻建构筑物、设施的安全。地下空间建设因通行、通风、通电、排水等必须利用相邻建设用地的相邻建设用地使用权人应当提供必要的便利。建设单位的通行、通风、通电、排水等应当符合相关法律法规、标准和规范的要求避免对相邻建设用地使用权人造成损害造成损害的应当依法给予赔偿。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第二十七条 地下建设用地使用权及地下建构筑物的权属登记按照不动产登记的相关规定办理。单建式地下建构筑物可以单独办理地下建设用地使用权和建构筑物所有权首次登记。结建式地下建构筑物应当与其地上部分一并办理建设用地使用权和建构筑物所有权首次登记。地下公共停车场、公共连通通道等设施不得进行分割登记。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第二十八条 地下建设用地使用权登记以宗地为单位并通过水平投影坐标、竖向高程和水平投影最大面积确定其权属范围。分层设立的地下建设用地使用权应当在宗地图上注明层次和标高范围。地下空间不动产登记时应当在登记簿及权利证书中注明地下空间并注明用途属人民防空工程的还应当注明人民防空工程。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第二十九条 地下空间的产权人、使用人以及其他负有管理维护责任的单位和个人以下统称地下空间管理维护人应当按照规定对地下空间进行日常管理和维护保障公共连通通道及出入口的畅通保持消防、报警、通风、照明、监控、通信、无障碍、人民防空等设施正常运行规范设置地下空间的标识和指引并配合城市基础设施维护单位对相关设施进行日常维护保养。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第三十条 使用地下空间应当符合安全生产、消防、人民防空、防洪排涝、市容环卫等方面的标准、规范和要求。禁止擅自改动地下空间建筑结构禁止擅自改变地下建构筑物使用性质或者用途。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第三十一条 地下空间管理维护人应当制定应急预案并组织演练突发事件发生时应当立即采取应急处置措施并向有关部门报告。对公众开放的地下生产、经营场所或者其他地下公共活动场所应当按照规定配备报警装置和必要的应急救援设施、设备消防安全重点单位应当根据需要建立微型消防站。管理维护人应当对配备的设施、设备进行定期检查、维护和更新确保其完好。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第三十二条 平战结合的地下空间管理维护人应当保证各项防护设施的状态良好并确保战时能迅速投入使用。战备需要时地下空间管理维护人应当无条件服从统一调度。
青岛市地下空间开发利用管理条例,,,第四章 不动产登记和使用,,第三十三条 为了公共利益的需要政府可以依照法定的权限和程序征收、征用地下空间并依法给予补偿。
青岛市地下空间开发利用管理条例,,,第五章 法律责任,,第三十四条 对违反本条例规定的行为有关规划、土地、消防、人民防空、建设工程等法律、法规已规定法律责任的适用其规定。
青岛市地下空间开发利用管理条例,,,第五章 法律责任,,第三十五条 违反本条例规定未取得建设工程规划许可证或者未按照建设工程规划许可证的规定进行地下工程建设的按照相对集中行政处罚权的规定由综合执法部门责令停止建设尚可采取改正措施消除对规划实施的影响的限期改正并处建设工程造价百分之五以上百分之十以下的罚款无法采取改正措施消除影响的限期拆除不能拆除的没收实物或者违法收入可以并处建设工程造价百分之十以下的罚款。
青岛市地下空间开发利用管理条例,,,第五章 法律责任,,第三十六条 违反本条例规定擅自改动地下空间房屋建筑结构的由房屋行政主管部门责令限期改正处五万元以上十万元以下的罚款擅自改动地下空间其他建构筑物结构的由相关主管部门依法处罚。前款规定的行政处罚已实施相对集中行政处罚权的由综合执法部门处罚。
青岛市地下空间开发利用管理条例,,,第五章 法律责任,,第三十七条 违反本条例规定擅自改变地下建构筑物使用性质或者用途的按照相对集中行政处罚权的规定由综合执法部门责令限期改正处三万元以上十万元以下的罚款。
青岛市地下空间开发利用管理条例,,,第五章 法律责任,,第三十八条 有关行政管理部门未依法履行职责或者有其他滥用职权、玩忽职守、徇私舞弊行为的由本级人民政府或者上级人民政府有关部门依据职权责令改正通报批评对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任。
青岛市地下空间开发利用管理条例,,,第六章 附则,,第三十九条 本条例自 2020 年 7 月 1 日起施行。
